dummy,evals,expr,fitness,len
0,5,(log_v_k_nu * log_v_k_nu),-8.953596,3
0,3,(abs((1 / (-0.24343106))) ^ (1 / log_v_k_nu)),-3.4028235e+38,5
0,4,(((log_v_k_nu * 0.25231278) / ((-0.97942197) / 0.12112516)) * ((1 / log_v_k_nu) - (-0.99630857))),-3.4028235e+38,12
0,7,((1 / (0.6020503 * log_v_k_nu)) + ((1 / log_v_k_nu) - 0.017132541)),-3.4028235e+38,9
0,11,((-0.24379656) + log_v_k_nu),-0.80789727,3
0,10,(abs(((1.4433246 + log_v_k_nu) * log_v_k_nu)) ^ (abs(log_v_k_nu) ^ log_v_k_nu)),-3.4028235e+38,9
0,13,((1 / log_v_k_nu) * log_v_k_nu),-3.4028235e+38,4
0,9,(((abs(log_v_k_nu) ^ log_v_k_nu) + (9.773798 + log_v_k_nu)) - (9.2905416 * log_v_k_nu)),-48.51936,11
0,6,(1 / log_v_k_nu),-3.4028235e+38,2
0,16,(0.17625457 + log_v_k_nu),-0.6314542,3
0,14,(1 / (-2146.4814)),-3.2983754,2
0,17,(((abs((-0.46685341)) ^ log_v_k_nu) * (1 / log_v_k_nu)) + (log_v_k_nu + log_v_k_nu)),-3.4028235e+38,10
0,19,((1 / (log_v_k_nu * log_v_k_nu)) * ((1 / 0.23277564) * log_v_k_nu)),-3.4028235e+38,9
0,1,(abs((3.3539109 - log_v_k_nu)) ^ log_v_k_nu),-0.4584324,5
0,15,((log_v_k_nu / (-1594.8422)) - log_v_k_nu),-12.39762,5
0,21,((abs((1 / (-1.3509581))) ^ (log_v_k_nu - log_v_k_nu)) - (1 / log_v_k_nu)),-3.4028235e+38,9
0,12,(abs((log_v_k_nu + (-3.353097))) ^ log_v_k_nu),-0.4584359,5
0,23,(((log_v_k_nu / (-1.064845)) - (log_v_k_nu * log_v_k_nu)) * (1 / (1 / log_v_k_nu))),-251.21254,11
0,24,(((1.2413294 - (-2.0632634)) - log_v_k_nu) / (1 / log_v_k_nu)),-0.44546542,8
0,22,(abs((1.8056244 + (-0.72558093))) ^ (3.4967871 * log_v_k_nu)),-0.2166209,7
0,28,(((abs(1.0588737) ^ (-1.9281832)) + (1 / log_v_k_nu)) * ((-0.12255055) - log_v_k_nu)),-3.4028235e+38,10
0,29,(((1.0254889 * log_v_k_nu) - (1 / 1.3443449)) - (log_v_k_nu - 2.5007148)),-0.06279028,10
0,30,((abs((log_v_k_nu - log_v_k_nu)) ^ (1 / (-1.4119042))) * ((-1.2187521) - log_v_k_nu)),-3.4028235e+38,10
0,32,(((1.1662092 / log_v_k_nu) + (log_v_k_nu + 0.57485068)) * ((1 / log_v_k_nu) / 0.3159678)),-3.4028235e+38,12
0,20,(((1 / (-2.0826311)) * (1 / (-74.830856))) * (139.17578 - (-141.06476))),-0.06317927,9
