dummy,evals,expr,fitness,len
0,4,((1 / log_v_k_nu) - log_v_k_nu),-3.4028235e+38,4
0,3,(abs(log_v_k_nu) ^ log_v_k_nu),-103.16772,3
0,7,(1 / log_v_k_nu),-3.4028235e+38,2
0,5,((((1 / log_v_k_nu) * log_v_k_nu) - (1 / log_v_k_nu)) / (1 / (1 / log_v_k_nu))),-3.4028235e+38,11
0,1,(1 / 0.55609715),-0.06317932,2
0,10,((1 / log_v_k_nu) * (-0.26269832)),-3.4028235e+38,4
0,13,(((-1.2241776) * log_v_k_nu) * log_v_k_nu),-43.119434,5
0,2,((0.04640203 - log_v_k_nu) - (abs(log_v_k_nu) ^ log_v_k_nu)),-177.51428,7
0,15,((1 / (log_v_k_nu * log_v_k_nu)) * (((-1.7722828) / (-0.1271846)) + (1 / log_v_k_nu))),-3.4028235e+38,11
0,16,(1 / log_v_k_nu),-3.4028235e+38,2
0,17,(1 / log_v_k_nu),-3.4028235e+38,2
0,8,(1.6032224 * 1.1216158),-0.06317927,3
0,11,(1 / (-1726.7357)),-3.2987828,2
0,20,(1 / log_v_k_nu),-3.4028235e+38,2
0,14,(((137.10619 + log_v_k_nu) + log_v_k_nu) / ((-9.0343075) * (-8.6403599))),-0.06279033,9
0,21,((1 / (0.4315466 * log_v_k_nu)) / ((1 / 0.47152883) - log_v_k_nu)),-3.4028235e+38,9
0,23,((log_v_k_nu * (-0.6520713)) / (1 / log_v_k_nu)),-18.103708,6
0,22,(1.5349284 / 0.85359144),-0.06317931,3
0,6,(abs(((-3.3538935) + log_v_k_nu)) ^ log_v_k_nu),-0.45843247,5
0,24,(abs((1 / (log_v_k_nu - 0.45169258))) ^ ((1 / 0.25375053) / log_v_k_nu)),-3.4028235e+38,9
0,26,(1 / ((abs((1 / log_v_k_nu)) ^ log_v_k_nu) * (log_v_k_nu - log_v_k_nu))),-3.4028235e+38,9
0,18,((abs(0.91723192) ^ log_v_k_nu) / (1 / log_v_k_nu)),-0.551866,6
