dummy,evals,expr,fitness,length
0,24,(((0.64682144 * log_v_k_nu) + ((-0.62133259) * log_v_k_nu)) - 1 / ((-0.5691933))),-0.06279028,6
0,25,(abs((((-4.2428797e-05) * log_v_k_nu) - (-3.5895577e-05))) ^ 1 / ((-18.028816))),-0.051099855,6
0,26,(((-1.1411338) - (-0.62914592)) / (0.092415944 * log_v_k_nu)),-3.4028235e+38,5
0,27,1 / ((-2183.9482)),-3.298347,2
0,28,(abs((0.66889066 - 1.0604068)) ^ ((-0.6894533) + 0.065435782)),-0.06318787,7
0,29,((abs(1 / (0.12780485)) ^ 0.28185549) / 1 / ((0.051953606 * log_v_k_nu))),-2.7804835,7
0,30,(((-0.35261899) * (0.12216322 * log_v_k_nu)) * 0.89320105),-3.5270958,5
0,31,((((-0.82540816) * log_v_k_nu) - 0.2549035) / (0.17242688 * (0.95659649 * log_v_k_nu))),-3.4028235e+38,7
0,32,(abs(((-1.5235839) * log_v_k_nu)) ^ (-2.6915493)),-3.4028235e+38,3
0,33,1 / ((1 / ((-0.421561)) / (0.38775972 * log_v_k_nu))),-4.3414984,5
0,34,1 / (((abs(0.40898097) ^ ((-0.77620029) * log_v_k_nu)) + (((-0.088135041) * log_v_k_nu) * (-1.5347873)))),-2.2196083,8
0,35,((1.1498207 - (-1.1808134)) / 1 / (0.77154946)),-0.06317927,6
0,36,1 / (1 / ((1.8364919 * (0.7847743 * log_v_k_nu)))),-1.5539336,5
0,37,(((-0.34549695) * (-3.7528386)) / 1 / (1.3868644)),-0.06317931,6
0,38,(1 / (((-0.81089622) * log_v_k_nu)) + ((-1.1601485) * log_v_k_nu)),-3.4028235e+38,4
0,39,(1 / ((0.75990903 * log_v_k_nu)) * (((-1.4613531) * log_v_k_nu) - 0.11623656)),-3.4028235e+38,6
0,40,((1 / ((0.70197523 * log_v_k_nu)) + (1.0646924 * log_v_k_nu)) / (((-1.1529986) * log_v_k_nu) - (0.54586065 * log_v_k_nu))),-3.4028235e+38,8
0,41,(abs((((-0.89903396) * log_v_k_nu) / (1.7781352 * log_v_k_nu))) ^ (0.55966133 * log_v_k_nu)),-1.6339233,5
0,42,((abs(1 / ((-0.36563522))) ^ ((-0.61750019) * log_v_k_nu)) / ((-0.78250188) * ((-1.9575378) * log_v_k_nu))),-3.4028235e+38,8
0,43,1 / (0.55611181),-0.06317927,2
0,44,1 / (((-0.18782426) * log_v_k_nu)),-3.4028235e+38,2
0,45,1 / ((1.0643032 * log_v_k_nu)),-3.4028235e+38,2
0,46,1 / (0.5561108),-0.06317928,2
0,47,(((-0.888982) - (0.66822696 * log_v_k_nu)) * ((0.31865785 * log_v_k_nu) + (-1.4929689))),-0.04137353,7
0,48,((1 / ((0.99761528 * log_v_k_nu)) * ((-0.65062267) * log_v_k_nu)) + (abs((0.70120269 * log_v_k_nu)) ^ 0.86925727)),-3.4028235e+38,8
0,49,(abs((abs((0.41493329 * log_v_k_nu)) ^ ((-0.034339357) * log_v_k_nu))) ^ (0.38114807 * 1.290364)),-0.68723667,7
0,50,(1 / (0.38163063) - 0.82213533),-0.06317927,4
0,51,(abs((1 / (((-0.54904115) * log_v_k_nu)) / 1.1736958)) ^ (((-0.21333459) * log_v_k_nu) + ((-1.1888884) * log_v_k_nu))),-37.994305,8
0,52,((abs(1 / (((-0.88816679) * log_v_k_nu))) ^ (0.70634067 * log_v_k_nu)) - ((0.97695303 * log_v_k_nu) * 1.1579558)),-10.2899885,8
0,53,(abs(1 / (((-0.30242184) * log_v_k_nu))) ^ (1.095385 * log_v_k_nu)),-1.6879612,4
0,54,1 / ((-1019.9443)),-3.3002274,2
0,55,(abs((1.0837677 - (0.021354305 * log_v_k_nu))) ^ (4.1992998 - ((-5.829978) * log_v_k_nu))),-0.042463806,7
0,56,(((-0.66135389) * log_v_k_nu) - ((-1.5691843) * log_v_k_nu)),-0.6350845,3
0,57,1 / ((0.71096808 * log_v_k_nu)),-3.4028235e+38,2
0,58,(1 / (1 / ((-0.029744389))) * (((-0.8569299) * log_v_k_nu) + (-59.065186))),-0.062790275,7
0,59,(1 / ((-0.81131369)) * ((-0.28003073) * log_v_k_nu)),-1.6575494,4
0,60,(1 / ((0.35022923 * log_v_k_nu)) * ((-0.2655113) * log_v_k_nu)),-3.4028235e+38,4
0,61,(abs((0.34235558 + 1.3295598)) ^ (0.52388138 * log_v_k_nu)),-0.2166209,5
0,62,((1 / ((-0.045243699)) / (-0.5933401)) * (((-0.44970033) * log_v_k_nu) / (-0.40307891))),-5337.6064,8
0,63,((1 / ((1.635271 * log_v_k_nu)) / 0.61094469) + (abs(1.6207981) ^ ((-0.38443434) * log_v_k_nu))),-3.4028235e+38,8
0,64,((abs(1 / ((-0.40689132))) ^ ((-0.98284882) * log_v_k_nu)) / (abs(((-0.83451575) * log_v_k_nu)) ^ (-0.27895918))),-2.3924274,8
0,65,1 / (((-1.1254051) * log_v_k_nu)),-3.4028235e+38,2
0,66,1 / ((1 / (1.2458057) / 1.4434021)),-0.06317932,5
0,67,(abs((((-1.2128547) * log_v_k_nu) * ((-0.43229347) * log_v_k_nu))) ^ (((-0.11127334) * log_v_k_nu) + 0.30390239)),-0.80973643,7
0,68,(1 / ((-1208.7013)) - ((-0.90814215) * log_v_k_nu)),-0.6356237,4
0,69,(1 / ((0.3083615 * log_v_k_nu)) + (1.3093519 * log_v_k_nu)),-3.4028235e+38,4
0,70,(1 / (0.054920752) / (0.61065942 * log_v_k_nu)),-3.4028235e+38,4
0,71,(1 / (0.037049327) + 1 / (((-1.5949552) * log_v_k_nu))),-3.4028235e+38,5
0,72,((1 / (0.45713255) - ((-0.10192601) * log_v_k_nu)) * (((-0.43836582) * log_v_k_nu) + (3.0906129 * log_v_k_nu))),-98.63931,8
0,73,(((-1.4615524) - (0.021204472 * log_v_k_nu)) / 1 / ((-1.2020493))),-0.062790275,6
0,74,(1 / ((-1.7522713)) - 1 / (((-0.58176082) * log_v_k_nu))),-3.4028235e+38,5
0,75,1 / (0.55611181),-0.06317927,2
0,76,(((1.3569092 * log_v_k_nu) + 1.805177) * (((-0.15692703) * log_v_k_nu) + 0.73523128)),-0.04137353,7
0,77,1 / ((abs(1 / ((0.055212624 * log_v_k_nu))) ^ ((-0.094520561) * log_v_k_nu))),-0.21019979,5
0,78,((((-0.17358819) * log_v_k_nu) + (-0.93562895)) * 1 / (((-0.13845795) * log_v_k_nu))),-3.4028235e+38,6
0,79,1 / (((-0.16502929) * log_v_k_nu)),-3.4028235e+38,2
0,80,(1 / ((-0.052855723)) * ((-0.24005863) * log_v_k_nu)),-43.282425,4
0,81,((abs(1 / (0.89353371)) ^ ((-1.1772068) * log_v_k_nu)) + (abs(((-0.98208815) * log_v_k_nu)) ^ ((-0.10177917) * log_v_k_nu))),-0.100664474,8
0,82,(1 / ((-0.88387197)) / ((-0.88679445) * log_v_k_nu)),-3.4028235e+38,4
0,83,(((0.29774892 * log_v_k_nu) * (-0.56453788)) / 0.72918224),-4.8200054,5
0,84,1 / (((-0.92339176) * log_v_k_nu)),-3.4028235e+38,2
0,85,((1 / (((-0.057795081) * log_v_k_nu)) * (1.086807 * log_v_k_nu)) - ((1.3307172 * log_v_k_nu) - (-0.033482958))),-3.4028235e+38,8
0,86,(abs((1 / (1.0262474) * (-0.5645752))) ^ (abs((1.9980707 * log_v_k_nu)) ^ (-1.7864907))),-0.9477432,8
0,87,((abs(1 / (0.76961643)) ^ (-0.67928725)) - (abs((0.33965084 * log_v_k_nu)) ^ 0.024875717)),-3.8374357,8
0,88,1 / (0.55611086),-0.063179284,2
0,89,(1 / (1 / (((-0.89690536) * log_v_k_nu))) + ((0.45485729 * log_v_k_nu) * 1.7461421)),-3.9327013,7
0,90,(abs(1.731784) ^ (0.49032217 * log_v_k_nu)),-0.21662088,3
0,91,1 / (0.55611122),-0.06317931,2
