n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 / (abs(x) ^ (p1 + abs(x) ^ x) - x);1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];0;0;0;1.7976931348623157e308
2;abs(p1 ^ (p2 + 1.0 / x)) ^ (p3 ^ x);1954.3189008703744;[-0.9508698693258771, 0.03606259284548322, -0.6875343388771697, 0.3836417834586022, -0.50313188166913, 0.7405985443637606];6974;1;25.403578123;1954.3189008703744
3;x / (x + -1.0 / (p1 - x * x));1822.2770713175992;[-7.9452412268226675, -0.36543671877560874, -0.5023033209839256, 0.7413175909244951];14419;146;37.906442907;1822.2770713175992
4;p1 + p2 ^ (abs(p3 / x) ^ x);733.087134409968;[-3.581498969642437, 3.1425451309301833, 0.14072294914575662, 0.2255553610933044, -0.50633961251308, 0.7386445941251666];56214;451;151.372114727;733.087134409968
6;p1 * p2 ^ (-1.0 / (p3 - p4 ^ x));-459.6386928497512;[10.088928587275936, 0.995710385813953, 0.9988887347377827, -1.0015529913876073, -0.12134719965869589, -0.5027838206689326, 0.7363024794728027];128203;729;407.95974012199997;-459.6386928497512
26;x / (p1 - abs(x) ^ p2);-966.3183843513981;[0.4404107683601757, 0.14779209941747937, -0.08400588083989445, -0.5025961986242922, -0.7383671187213651];343741;3211;1093.44988017;-966.3183843513981
128;x * abs(p1 + 1.0 / (p2 + x)) ^ p3;-984.5448639712585;[-0.7778949530696216, 1.2903503471688649, -0.48086940755829427, -0.08125904045456249, -0.5029882179866723, -0.7377484491724929];1500997;15463;4634.525902889;-984.5448639712585
168;p1 + (p2 * x + abs(1.0 / x) ^ p3);-999.2443491596416;[-0.005322350237640398, 0.7283921135176566, -0.4947297912375319, 0.08073073948962034, -0.5025045964508045, 0.7401656769721207];2000940;20456;6225.365665092002;-999.2443491596416
255;p1 ^ (p2 - p3 ^ (abs(1.0 / x) ^ p4));-999.739173809766;[-0.04805898744153975, 4.629665893380279, -4.809452342010808, -0.03106386259270468, -0.08086820422850403, -0.5024720285998966, 0.7399067937762316];3098861;30935;9591.202699276992;-999.739173809766
875;abs(p1 + p2 * abs(1.0 / x) ^ p3) ^ p4;-1001.748840646142;[0.5687042237852605, -1.4210651985425462, 0.12427473102525864, -3.3792162066805056, -0.08062798634022665, -0.5025079766932712, 0.7399785823975585];10528797;99204;34554.67516038805;-1001.748840646142
4407;p1 - abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.887523600629;[-0.01621146071777421, 0.21541811840604363, -0.2517473241762442, 2.198489942808195, 0.08068323176834964, -0.5025251841360259, -0.7399822832817112];49340404;489955;165486.22204324897;-1001.887523600629
21615;abs(p1 + abs(1.0 / (p2 - x)) ^ p3) ^ p4;-1001.8909440819893;[-0.2220321071748251, -0.002529058347431829, 0.2518725161376088, -2.1574936071901054, -0.08072390083387157, -0.5025420890213698, -0.7399947007061016];244394250;2414018;815372.4872770458;-1001.8909440819893
22171;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];250787234;2474975;837333.789417419;-1002.0572884848282
29366;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];332424637;3277522;1110594.7096994475;-1002.3409364613959
