evals;expr;nll;coeff;best_nll
1;p1 ^ -(abs(x) ^ (-1.0 + x));1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];1.7976931348623157e308
2;abs(x) ^ (1.0 / (p1 - abs(x + x) ^ x));1921.6558867638828;[3.2729889743831273, 0.36701150822044654, -0.49916718884133704, 0.7432568439617262];1921.6558867638828
3;abs(abs(1.0 / x) ^ (abs(x) ^ (1.0 / x))) ^ p1;1892.40723343677;[-0.8357896128455949, 0.38062569623318737, -0.5013274443814945, 0.7418965122355654];1892.40723343677
4;p1 / (p2 - x) - p3 ^ x;-389.4038532906051;[-0.1866474883057575, -0.19689085251482957, -1.4825015573167428, 0.10100485471492834, -0.5053409953727691, 0.726741550918359];-389.4038532906051
70;p1 ^ (p2 * x - p3 ^ -x);-484.3055579004219;[-7.223931793793443, 0.18262316466442707, -655.3543560116943, -0.099562046131451, -0.5056514540430863, 0.7279977009768777];-484.3055579004219
74;x / p1 ^ (p2 ^ -(abs(x) ^ p3));-998.0672199169887;[0.013093260973006574, 8.165111614614528, 0.25882604337464377, 0.08065741117439672, -0.5027224888416632, 0.7393067797511915];-998.0672199169887
292;p1 / (p2 + 1.0 / (p3 - abs(x) ^ p4));-999.211225544319;[1.6112700366739368, 0.048531825983650814, -0.025946295798655553, 0.6780024936032687, 0.08094538694614092, -0.5025617756295032, 0.7401352441582718];-999.211225544319
465;x + p1 ^ (p2 ^ -(abs(x) ^ p3));-1001.5264412087032;[0.019427734535565094, 11.768603186266112, 0.3310596126106112, 0.0806945161861014, -0.5030234740397974, 0.739158497505824];-1001.5264412087032
2099;abs(p1 + -1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8152595632899;[-0.06268272425604028, -0.18084758930030795, -0.2774821514864147, 2.1717257088702286, 0.08065852091545639, -0.5025157961693211, 0.7399804840574336];-1001.8152595632899
3103;p1 ^ (p2 - abs(1.0 / x) ^ p3) - x;-1002.0572884769697;[-1.390183897778798e-5, 0.9107499846414503, -0.07225640863726829, 0.08060908949831899, -0.5025292103945913, -0.7399858574698234];-1002.0572884769697
35275;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
