n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(abs(x) ^ (x ^ -2.0)) ^ x - x;1.7976931348623157e308;[0.0, 0.0, 0.0];0;0;0;1.7976931348623157e308
2;p1 ^ (1.0 / (x - abs(p2 / x) ^ p3));1912.457982062386;[-1.0638927161030642, -0.6403103432529748, -0.8757488923114716, -0.376562620897678, -0.5036138335072365, 0.739169171483913];18929;110;53.240016704;1912.457982062386
3;abs(abs(x) ^ (p1 + -1.0 / (p2 + x))) ^ p3;-14.94908647432608;[0.6209749543057956, 2.4218602995148277, 1.9613044058645026, -0.15825528950594286, -0.49015078691111047, -0.7480732780366189];37195;190;95.165210706;-14.94908647432608
12;p1 + (abs(x + x) ^ -x - x);-89.62422007037244;[-1.3979333044122613, -0.15493954759495096, -0.49871778036241515, 0.7371428293092676];156876;1578;413.73494559299996;-89.62422007037244
13;x + abs(x + abs(x) ^ (1.0 / x)) ^ p1;-580.0618169178238;[0.5125628870156418, 0.10923471640208447, -0.5181069665762433, -0.7290838475501731];162346;1655;427.232516263;-580.0618169178238
16;p1 ^ (abs(x) ^ p2) - abs(x) ^ p3;-949.0127053835814;[2.6118153682218863, 0.42165745790688086, -0.014007720905279315, 0.08325273775494126, -0.5022789367853648, 0.7393278934116124];194311;1946;520.5380786320001;-949.0127053835814
69;abs(p1 + -1.0 / (x + abs(x) ^ p2)) ^ p3;-989.9210623700134;[0.01073988566697549, 0.6810985957946598, -0.7954586854588479, 0.08110626055819407, -0.5037060668047972, 0.7404828308025362];909207;8072;3087.242896234;-989.9210623700134
140;1.0 / (p1 + p2 ^ (p3 ^ (abs(x) ^ p4)));-1001.9527055830329;[-0.992933975821711, -358.5992450223275, -0.07763149586146882, 0.2223180296608993, 0.08064963402386001, -0.5024959900148084, -0.7398880010189128];1658783;15139;5848.227270464;-1001.9527055830329
19195;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];217272944;2141526;718734.4795057824;-1002.3409364590589
72155;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];816209917;8058302;2726209.606912853;-1002.3409364613959
