n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(1.0 / x) ^ -(abs(x) ^ -x) / x;3445.3267317874474;[-0.6886166975135742, -0.5073128890784623, 0.7320861964336083];2472;59;20.410885252;3445.3267317874474
2;abs(x) ^ (p1 / (x + -1.0 / x)) - x;2145.799482126726;[-4.947385061090128, 0.3461287426913182, -0.4935570109013736, 0.7477626271964546];16981;337;119.570425872;2145.799482126726
3;1.0 / (p1 + p2 / (p3 / x - x));-339.4445482315533;[-0.09621764089744604, 0.34726132617316086, -0.001155201956085622, 0.12887757574263886, -0.5054862054062348, 0.7329529830828305];53687;730;185.25623451799999;-339.4445482315533
28;abs(x / abs(p1 ^ (1.0 / x)) ^ x) ^ p2;-906.4884220047772;[0.40613139404234544, 0.6667610786467517, -0.08588861600462334, -0.5034648356915734, 0.7419886809258629];213435;2634;746.9180574129999;-906.4884220047772
81;1.0 / (p1 + (abs(x) ^ p2 + abs(x) ^ p3));-984.8774361216689;[-1.392690448940346, 0.06263021182220375, -0.4915035138318482, -0.08204462395023492, -0.5016912714583868, 0.7393744061680639];676301;6500;2404.141086585;-984.8774361216689
89;p1 * (p2 ^ x * abs(x) ^ p3);-985.1111226887568;[-1.6635411726744649, -1.0349985367599532, 0.6261224683039602, 0.08129956674516423, -0.502827602986095, 0.740412028887806];772134;7198;2675.011774761;-985.1111226887568
295;p1 * (x + abs(p2 / x) ^ p3);-999.183043586217;[-0.7287596591300965, -0.5376590117097039, -0.5010114940946094, 0.08078677549702322, -0.5024705912600793, 0.7400673927939704];2569272;26383;8907.573818008002;-999.183043586217
375;x * abs(x / (p1 + x)) ^ p2;-999.3003974968483;[2.580982307319352, -0.41485453855536936, -0.08061720247085376, -0.5027468677441556, -0.7394537425052563];3529669;36097;12243.254247942004;-999.3003974968483
966;p1 * abs(p2 ^ -(abs(x) ^ p3)) ^ p4;-999.3519249707072;[0.00020234880009570172, -0.017847236829857758, 0.07877907024475979, 2.248490570258069, 0.08090062821033663, -0.502477706551451, -0.7399119337552136];9895100;101061;35054.81786558997;-999.3519249707072
1067;x + abs(p1 / (p2 + -1.0 / x)) ^ p3;-1000.793562340133;[0.9312354493534963, -0.8609893565679425, 0.5051294837553303, -0.08060237355486206, -0.5028011265551714, -0.7393616970277966];11038287;112185;39655.40328753896;-1000.793562340133
1516;abs(p1 + -1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8152595632899;[-0.06268272425604028, -0.18084758930030795, -0.2774821514864147, 2.1717257088702286, 0.08065852091545639, -0.5025157961693211, 0.7399804840574336];16476004;165250;57618.39986292895;-1001.8152595632899
4018;abs(1.0 / (p1 - abs(p2 + x) ^ p3)) ^ p4;-1001.8909440929008;[0.22203139014632872, 0.0025292244969319726, -0.25187198941274425, 2.1575013080643513, 0.08072396095366591, -0.5025441679771543, 0.7399949425293106];45551937;451529;153389.9461299276;-1001.8909440929008
24675;x - p1 ^ (p2 - abs(x) ^ p3);-1002.0572882599361;[1.390072488525905e-5, 0.910750425326041, 0.0722560377706656, -0.0806089027396649, -0.5025293716125293, 0.7399860482600139];278791300;2756030;931355.2554168388;-1002.0572882599361
29528;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];333481334;3296669;1109595.0191196913;-1002.3409364613959
