n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;p1 + (x + p2 * (x + -1.0 / x));-660.3451017800384;[0.3843940734520078, 0.006624544286816423, 0.09832986934502211, -0.49411995690454885, -0.7459593869196399];37571;292;56.411013768;-660.3451017800384
10;p1 / p2 ^ (abs(x) ^ p3 / x);-999.3519249915564;[-0.000202339572908766, 0.00011712624497707197, 1.0787786181241508, 0.08090057380455497, -0.5024762445999592, 0.7399096776018526];130112;1451;386.736282834;-999.3519249915564
149;p1 + (-1.0 / (p2 + p3 / x) - x);-999.8463258968656;[-0.08649890862192255, 1.2785272384321067, 0.37074094174762234, -0.08127999567868735, -0.5026499950707197, -0.7398972082192892];1646060;15321;6447.2702986740005;-999.8463258968656
259;p1 - p2 ^ (p3 - abs(x) ^ p4);-1000.8415058524076;[0.03668062607320921, -0.001349642960596724, 0.9152861839244157, 0.10469581360572179, 0.08064079003992204, -0.5024717341397655, 0.7399509690603246];2844549;27403;9767.628409722996;-1000.8415058524076
732;x + p1 ^ (1.0 / (p2 - abs(x) ^ p3));-1001.2213018342117;[-1.519618484684301, -0.15362943559818398, 0.7383798201223234, -0.08095850549150443, -0.5027048108685597, -0.7396494839146717];7745309;75174;26100.308084318996;-1001.2213018342117
1141;x - abs(1.0 / (p1 - abs(x) ^ p2)) ^ p3;-1001.7919287987384;[1.9549419811864943, 0.035562773622750746, 21.63519459957533, -0.08058921374608083, -0.5025618695925437, -0.7399896197546624];12234455;118547;40809.71746250698;-1001.7919287987384
6143;p1 - abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.887523600629;[-0.01621146071777421, 0.21541811840604363, -0.2517473241762442, 2.198489942808195, 0.08068323176834964, -0.5025251841360259, -0.7399822832817112];68952309;676795;225287.97308593587;-1001.887523600629
6438;x - p1 ^ (p2 - abs(x) ^ p3);-1002.0572882599361;[1.390072488525905e-5, 0.910750425326041, 0.0722560377706656, -0.0806089027396649, -0.5025293716125293, 0.7399860482600139];72599095;709548;237681.80738878765;-1002.0572882599361
26938;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];304251317;3014442;1012928.5126063518;-1002.0572884848282
29793;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];335805045;3329883;1118867.0682354446;-1002.3409364613959
