n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 - x * p1 ^ (1.0 / x);2297.2253012926208;[-1.0779209989693919, 0.3721743157142339, -0.5012197291946658, 0.7461647509180516];19348;190;161.649857145;2297.2253012926208
3;p1 * x + x / (1.0 / x - x);1191.4537989980079;[2.9427416910258257, 0.22996097262914245, -0.5140616737226997, -0.7193412943009778];36291;470;191.084584256;1191.4537989980079
6;p1 + abs(x) ^ (p2 ^ (p3 ^ x));-302.4944175054792;[0.19117332154984248, 0.7363019937713332, 0.5328599283523151, -0.13645344016076139, -0.4907970784915147, 0.7481589642059586];65567;625;407.36512768800003;-302.4944175054792
35;x - x / (p1 + 1.0 / (p2 + x));-837.372303161158;[-1.9037819152347835, 0.5490063161188218, 0.08808415862983676, -0.5074132823125892, 0.7287496603748365];387571;3817;1574.2612654559994;-837.372303161158
49;x / p1 ^ (p2 ^ -(abs(x) ^ p3));-998.0672199169887;[0.013093260973006574, 8.165111614614528, 0.25882604337464377, 0.08065741117439672, -0.5027224888416632, 0.7393067797511915];545473;5368;2279.707231319999;-998.0672199169887
85;p1 ^ (p2 - abs(p3 * x) ^ p4);-999.3519249882233;[-9.060344911702447e-5, 0.9136943821280866, -0.7011810606213826, 0.07877833721440386, -0.08090051322286072, -0.5024740672200882, 0.7399097250059703];1040436;9754;3879.16793425;-999.3519249882233
1596;abs(p1 ^ (abs(x) ^ p2) / x) ^ p3;-1001.6463099507147;[0.3541208173285919, 0.333814064205673, -0.5182540408085021, -0.08059829505619948, -0.5025213202877853, -0.7399979988685105];17570153;176546;55422.31439331907;-1001.6463099507147
2072;abs(p1 + abs(1.0 / (p2 + x)) ^ p3) ^ p4;-1001.8909440821421;[-0.2220318563114041, 0.0025290557443685044, 0.25187245412869247, -2.157493286338265, 0.08072380124264752, -0.5025444894180712, 0.7399945118794364];23141997;230598;75292.92204127506;-1001.8909440821421
5261;p1 ^ (p2 - abs(1.0 / x) ^ p3) - x;-1002.0572884769697;[-1.390183897778798e-5, 0.9107499846414503, -0.07225640863726829, 0.08060908949831899, -0.5025292103945913, -0.7399858574698234];59044076;588928;195462.25156302677;-1002.0572884769697
15895;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];179169766;1768333;592205.6532145458;-1002.3409364613959
