n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(x + 1.0 / x) ^ (abs(1.0 / x) ^ (1.0 / x));1.7976931348623157e308;[0.0, 0.0, 0.0];0;0;0;1.7976931348623157e308
2;x * (x / (-Inf + x));1.7976931348623157e308;Float64[];0;0;0;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;x ^ -2.0 - abs(x) ^ (p1 ^ x);6359.283022788614;[-1.001361003594412, 2.045422929072986, -0.49882348960947615, -0.7384223917742839];5396;56;15.402644716;6359.283022788614
4;abs(x) ^ (1.0 / (p1 + (x - x * x)));2008.0056876405288;[2.552729363737781, 0.3648161515622995, -0.4978820355327799, 0.7463904645417571];20614;279;153.76316823;2008.0056876405288
7;x * (abs(1.0 / x) ^ p1 - x);1727.6105900838572;[0.6135755794006854, -0.26855048413418087, -0.5190520367073514, -0.7159495118264904];35938;545;256.280453592;1727.6105900838572
9;x + p1 ^ (x * (p2 - x));1426.7264344414468;[-1.0637712098559473, -249.35898320995972, 0.3121033891260884, -0.49375883367798784, 0.7434126138497226];59267;695;306.39206265;1426.7264344414468
15;p1 * (1.0 / (p2 - x) - x);-644.2427830072547;[-1.5631880148380315, -8.327635189078556, -0.10657775199270562, -0.5031015839234021, -0.7301408433023332];133793;1617;697.0300757499999;-644.2427830072547
46;abs(abs(p1 / x) ^ (p2 ^ (1.0 / x))) ^ p3;-949.3841383961307;[0.4218892281081243, 0.9972124517494494, -0.6972207503724246, 0.08433363064602661, -0.5031023780651092, -0.7407515887361588];581060;6038;2446.759692523;-949.3841383961307
52;p1 - abs(p2 * abs(x) ^ p3) ^ p4;-976.0440544423601;[-0.07077470976561397, -0.32767318450489247, -1.5486446934550016, -0.48399720268651286, 0.08264662245175254, -0.5026818238019269, 0.7401935201387527];727214;7350;2742.7371368800004;-976.0440544423601
83;p1 * abs(x) ^ (p2 ^ (p3 ^ -x));-984.8970088675122;[-1.7089174777784957, 0.6333748083928713, -1.0654181759276955, -0.08143117496842321, -0.5028979760015808, -0.7400449426792434];1018240;10112;3936.0869473720004;-984.8970088675122
107;abs(p1 / (p2 - p3 ^ x)) ^ p4;-997.0535165443947;[-0.02756040113301949, 0.9994636092895423, -1.0626179885596263, -0.6725469985794335, -0.08119191910487587, -0.5026559766292993, 0.7400694663943462];1383555;13364;5239.330705987001;-997.0535165443947
289;x + abs(x / (p1 + x)) ^ p2;-1000.6582771141261;[1.0248751354197387, 0.5116430015997424, 0.08062011518251286, -0.5026173483174082, -0.739599640828399];3319875;33284;10972.179337860001;-1000.6582771141261
853;p1 / (p2 + abs(p3 + 1.0 / x) ^ p4);-1001.154267170325;[1.3049307409416466, -0.29579958659882166, 0.11048404894329467, 0.558577868477731, -0.08059371695632186, -0.5025118508671708, -0.7400110827506963];10078239;100897;32783.88884614503;-1001.154267170325
1646;p1 + abs(p2 + abs(x) ^ p3) ^ p4;-1001.8875235991673;[0.016211206434678403, -0.21541831492095403, -0.2517474062030645, -2.198487850417767, 0.08068322083640855, -0.5025246675253346, 0.739982307003524];18703192;186908;62523.05320112015;-1001.8875235991673
1810;p1 - abs(p2 + abs(1.0 / x) ^ p3) ^ p4;-1001.8875236009474;[-0.016211397959265447, -0.21541808736950305, 0.251747197873169, -2.198490995120846, -0.08068324544948807, -0.5025253082429043, -0.7399822470249651];20381530;203250;67893.37317521712;-1001.8875236009474
4304;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];48833035;475937;161914.55508842735;-1002.3409364590589
79130;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];895656135;8834781;2987489.3768323604;-1002.3409364613959
