evals;expr;nll;coeff;best_nll
1;x - p1 ^ (x + p2 ^ -x);1142.5170871583152;[0.2140127169778481, 5588.086273841634, -0.1951595315672723, -0.4953106217566893, -0.7534528612548599];1142.5170871583152
3;x / (p1 - abs(x) ^ (abs(1.0 / x) ^ x));68.23932409208004;[-0.1606685142686697, -0.16412955036360535, -0.4964153795964982, -0.7512253802968137];68.23932409208004
5;abs(1.0 / (x + (x + p1 / x))) ^ p2;-782.1888854200479;[0.0007297226137078386, -0.6869940769729582, -0.09611463616279575, -0.49277921794141305, 0.7447523233078657];-782.1888854200479
15;x + p1 / (1.0 / (p2 - x) - x);-951.7347213757438;[-1.4499587792884858, -0.08612814472311532, 0.08592614169975074, -0.5015849429977045, -0.7413241268436027];-951.7347213757438
32;p1 * abs(x) ^ (1.0 / (p2 + p3 * x));-964.1782595430784;[-1.756740444722276, 1.544609666733923, -0.014219625515621687, -0.08237696647596354, -0.5029151302357382, -0.7413194917434529];-964.1782595430784
352;p1 * abs(x) ^ (p2 - abs(x) ^ p3);-996.4493029699485;[-1.7393635141399362, 1.7168686116936072, -0.02514676336766974, 0.08112689700563364, -0.5025047449503215, 0.7399589827197037];-996.4493029699485
355;x + p1 * p2 ^ (-1.0 / (p3 - x));-997.498885536509;[0.8260905969966454, -0.812236258453948, -0.09651552484906753, 0.08163677619527318, -0.5024997095930995, -0.7401296215764117];-997.498885536509
399;abs(1.0 / (x * (p1 + p2 * x))) ^ p3;-998.4945916635508;[2.090492382865013, 0.31049415919759776, -0.6015253799395666, 0.08070351898760844, -0.5025901319431109, -0.7400317412591737];-998.4945916635508
719;x * abs(1.0 + p1 / x) ^ p2;-999.3003974968468;[2.5809825089962146, 0.4148545283769443, 0.08061720210150242, -0.5027468240420672, -0.7394537628985532];-999.3003974968468
901;abs(x + -1.0 / (p1 - abs(x) ^ p2)) ^ p3;-999.7346799101459;[-0.31882480728432605, -0.5263515014871454, 0.9596198522170833, 0.08073777049396025, -0.5024566221787955, 0.7399734200381455];-999.7346799101459
1437;abs(p1 * x) ^ (1.0 / (p2 - abs(x) ^ p3));-1001.3342155004211;[-2.2067390039396244, 2.4626609303904217, 0.06000199732748616, 0.08070568492983929, -0.5024815958032696, -0.7399272292024743];-1001.3342155004211
1880;abs(p1 + abs(p2 * x) ^ p3) ^ p4;-1001.7487349743909;[-0.5625528562588125, -0.06320278993090615, -0.12548315453148187, -3.359485616073948, -0.0806268849937822, -0.5025154519261107, -0.7399544084229316];-1001.7487349743909
4412;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];-1002.0572884848282
5985;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];-1002.3409364590589
58951;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
