n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 / (1.0 / (p1 + -2.0 * x) - x);3383.433714648966;[-0.17597700176021605, 0.6724292200873181, -0.5076289419690038, -0.7321408643366913];6915;125;11.449325432;3383.433714648966
3;p1 - x * abs(1.0 / x) ^ (p2 - x);1785.3276871672022;[-0.14946981058568456, 0.4736635682359611, -0.1694598093202253, -0.5261441594972763, -0.6906543598939935];46497;601;90.729175977;1785.3276871672022
4;p1 + (p2 / x + abs(1.0 / x) ^ x);1327.7858614411907;[-2.209188927210607, 0.03271779747387533, -0.28467377647151815, -0.5006290700965472, 0.7422802583989276];84053;901;165.937550864;1327.7858614411907
19;1.0 / (p1 - abs(abs(x) ^ p2) ^ (p3 ^ x));-854.2027923343178;[0.3360537011026971, -0.4635245203572215, 0.9824101510389989, 0.08984891737955764, -0.49952965365159296, 0.7389386580265199];227690;2342;704.5317522700001;-854.2027923343178
34;abs(x + x) ^ (p1 ^ (p2 ^ x));-922.4885426632585;[0.5950372773431296, -0.908260724390915, -0.08520716669225666, -0.4977687271402519, -0.7404090315281693];370199;3620;1015.909112545;-922.4885426632585
78;1.0 / (p1 * abs(x) ^ p2 - x) - x;-931.6532550549496;[-0.8954720401305325, -0.55856677849146, -0.08569797209952765, -0.49849356598957967, 0.7452199801628233];791117;8086;2314.2168607780004;-931.6532550549496
99;x + abs(p1 + p2 ^ x) ^ p3;-999.9678562380516;[-0.9995254981277155, -0.480086077930104, 0.470966190725171, 0.08065231304977892, -0.5033000892581933, -0.7387124567289721];1012343;10156;3246.0729357040004;-999.9678562380516
147;x + abs(p1 + 1.0 / (p2 - x)) ^ p3;-1001.505817693173;[1.0455669296859147, -0.9603212729555893, 0.5470681395422134, 0.08071868268765447, -0.5029084862779556, 0.739279550157417];1502139;15303;4706.011701920999;-1001.505817693173
744;abs(p1 + 1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.815259562733;[-0.06268401492446514, 0.18084649996508786, -0.2774825530334885, 2.171728765574258, 0.0806585188275178, -0.502515878455965, -0.7399804939413541];8431044;82209;26201.776264597003;-1001.815259562733
9518;abs(p1 + -1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8152595632899;[-0.06268272425604028, -0.18084758930030795, -0.2774821514864147, 2.1717257088702286, 0.08065852091545639, -0.5025157961693211, 0.7399804840574336];108213769;1077524;356587.96134899906;-1001.8152595632899
10915;p1 - abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.887523600629;[-0.01621146071777421, 0.21541811840604363, -0.2517473241762442, 2.198489942808195, 0.08068323176834964, -0.5025251841360259, -0.7399822832817112];123805214;1229545;409061.88306514773;-1001.887523600629
18142;p1 + abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.8875236007616;[0.016211257371043508, 0.21541823335370255, -0.25174730769236314, 2.1984891823755923, 0.08068321383975295, -0.5025253804035449, -0.7399822923210045];204989861;2035590;677280.8556787606;-1001.8875236007616
28968;p1 - abs(p2 + abs(1.0 / x) ^ p3) ^ p4;-1001.8875236009474;[-0.016211397959265447, -0.21541808736950305, 0.251747197873169, -2.198490995120846, -0.08068324544948807, -0.5025253082429043, -0.7399822470249651];327287035;3239644;1083906.4213213094;-1001.8875236009474
32322;x - p1 ^ (p2 - abs(x) ^ p3);-1002.0572882599361;[1.390072488525905e-5, 0.910750425326041, 0.0722560377706656, -0.0806089027396649, -0.5025293716125293, 0.7399860482600139];365582515;3618060;1214439.8359018995;-1002.0572882599361
39844;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];449133239;4439687;1497127.4364134606;-1002.3409364613959
