n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 - abs(abs(x) ^ -x) ^ x;4840.03917471022;[1.1421205334024978, -0.4976645295080155, 0.7379866383359138];2683;58;5.964170619;4840.03917471022
2;x + (x + -1.0 / (x + abs(x) ^ p1));1162.3227683867908;[-6.498759709676379, 0.2735119091710332, -0.49600024713012353, -0.727624328977281];11318;190;22.517799492;1162.3227683867908
13;x / (1.0 - abs(1.0 / x) ^ x);-96.1256638231896;[-0.11478105907787564, -0.5008511339274891, -0.7451888593398194];67452;901;188.19778448100004;-96.1256638231896
23;p1 + abs(1.0 / (p2 + x)) ^ p3;-635.9167101183149;[-25.04970005932193, 18.511567097661075, -1.1062495108394386, -0.10750026789446719, -0.5022719176635061, 0.7312361716237155];247943;2791;651.6968716879999;-635.9167101183149
27;abs(abs(p1 * (x * x)) ^ p2) ^ p3;-906.4884220047759;[-6.062711291738082, -0.526375187958777, -0.6333515453879842, 0.08588861542161041, -0.5034648290156396, 0.741988685488477];301811;3435;756.162896039;-906.4884220047759
58;p1 / abs(1.0 / x) ^ (abs(p2 + x) ^ p3);-943.4472131050783;[1.7811573211231835, -31.036033885414998, -0.12344615795565253, 0.08331178117565391, -0.5031105378691451, -0.7415682271450267];573199;6129;1703.7874480990001;-943.4472131050783
120;abs(p1 * (x / (p2 + 1.0 / x))) ^ p3;-954.733944270458;[5.6962651142307905, -0.028052147216865934, 0.3253120059011962, 0.08289663512618889, -0.5029750848864711, 0.7417458771274681];1272282;13154;3865.049501312001;-954.733944270458
125;p1 + x / p2 ^ (p3 ^ -x);-973.1196869989393;[0.11236711426990896, -0.35780176997815544, -2.072700320201256, 0.08395109016078041, -0.5018107133540747, -0.7413726661787656];1344681;13934;4194.672878174001;-973.1196869989393
157;p1 + p2 * abs(p3 / x) ^ p4;-976.0440544423655;[0.07077472465821799, 2.786376838609308, 1.909231094439332, -0.7495397181285254, 0.08264661934349278, -0.5026818241052021, 0.7401935193554627];1757740;17137;5462.584989669999;-976.0440544423655
179;1.0 / (p1 + abs(x / (p2 + x)) ^ p3);-977.3050311460133;[-0.9882956360607935, 1.8778446097325536, -0.43021949427738926, -0.08253280872446575, -0.5022382839525193, 0.738707000424391];2012879;19986;6098.633781543999;-977.3050311460133
199;p1 / (p2 + -1.0 / (p3 + abs(x) ^ p4));-999.2112255443226;[-1.6112700170708925, 0.0485318324293405, 0.025946287435245876, 0.6780024771521165, -0.08094537923195314, -0.502561781025738, 0.7401351970651663];2312155;23071;7142.485258266;-999.2112255443226
280;p1 + p2 ^ (abs(1.0 / (p3 - x)) ^ p4);-999.9204066022047;[-1.406261529537457, 3.0733183552359025, -0.046766816325324465, -0.3409549746109206, -0.08113963330236149, -0.5026711456649099, -0.7399870284370753];3111184;31502;9903.642654409996;-999.9204066022047
349;abs(x / p1 ^ (abs(1.0 / x) ^ p2)) ^ p3;-1001.6463099507293;[0.3541208215725894, -0.3338141022628547, 0.5182540187000426, 0.0805983070911018, -0.5025213810308575, -0.7399980088870982];3748176;38201;12606.704224518997;-1001.6463099507293
414;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];4658471;47062;15898.143458228;-1002.0572884848282
17486;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];195050068;1925112;649088.6041256147;-1002.3409364613959
