evals;expr;nll;coeff;best_nll
1;x - 0.0 ^ (abs(x) ^ p1);1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];1.7976931348623157e308
2;abs(x + p1 ^ (x + -1.0 / x)) ^ p2;-520.2712071155449;[1.671544022210588, 0.4761585492999886, 0.1076472985262495, -0.4937248439785758, 0.7411695368926174];-520.2712071155449
19;abs(p1 / (x - p2 ^ (1.0 / x))) ^ p3;-921.2243279224219;[0.35688517621059024, 0.29369031907591436, -0.707336691711232, -0.08594095374517204, -0.5028735696308978, -0.7421271843542608];-921.2243279224219
35;x * abs(p1 + p2 * x) ^ p3;-960.5090080371161;[-0.002095933960258346, 0.13315317074188834, -0.2942412223452499, -0.08142694557264997, -0.5026752731308605, 0.7399540475956954];-960.5090080371161
88;p1 + p2 * abs(p3 + 1.0 / x) ^ p4;-993.9857776311507;[0.055977714243229504, 1.6871445262734828, -0.013848636078220495, -0.7157523406998149, 0.08138087386707953, -0.5025328287333084, -0.7403477467705187];-993.9857776311507
217;p1 / (p2 + -1.0 / (x + abs(x) ^ p3));-995.0068985355376;[0.8640342965677824, -0.0020958925220380203, 0.46323679219618746, -0.08117656787387954, -0.5025248031555433, -0.7391789599826105];-995.0068985355376
349;1.0 / (p1 + p2 / (p3 - abs(x) ^ p4));-999.2112255443377;[-0.03012022007664383, -0.6206284264623438, -0.025946302088167773, 0.6780025472902202, -0.08094539193542767, -0.502561759636471, -0.740135236855201];-999.2112255443377
439;p1 + p2 ^ (1.0 / (p3 + abs(x) ^ p4));-1000.0832210374663;[-1.010066975907875, -3.2084847164583827, 0.1690271114283532, -0.5177668141321173, 0.08065404031910131, -0.5024545911316921, 0.739915259857602];-1000.0832210374663
1277;p1 + abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.8875236007616;[0.016211257371043508, 0.21541823335370255, -0.25174730769236314, 2.1984891823755923, 0.08068321383975295, -0.5025253804035449, -0.7399822923210045];-1001.8875236007616
2591;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];-1002.0572884848282
13318;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
