evals;expr;nll;coeff;best_nll
1;x + abs(abs(1.0 / (p1 - x)) ^ x) ^ p2;1426.42676498512;[268.94802734456977, 2.755774146872586, -0.31206198385341793, -0.49375899246049076, -0.7434280143546096];1426.42676498512
3;abs(x) ^ (p1 / (p2 + x ^ -2.0));751.40026106394;[4581.979632128137, 8544.5749929979, -0.22852553788986205, -0.4907441495705997, 0.7495276319767444];751.40026106394
7;p1 + p2 ^ (abs(abs(x) ^ p3) ^ (1.0 / x));650.3914610398157;[-0.6922244733989722, 3.546905200251379, 0.324075827974601, -0.21728200366514058, -0.5058235915101945, -0.7369808303966296];650.3914610398157
8;p1 + (x + x * p2 ^ (-1.0 / x));-435.8600416367827;[0.14827250242640974, 0.9999999976293964, -0.11398631090997274, -0.5151609539829698, -0.719901884499963];-435.8600416367827
30;p1 * x + x / (p2 - p3 ^ x);-899.5186658171408;[0.4426003438362316, 1.1385436314481816, -0.2513412450476077, -0.08655638543905284, -0.5031259972986197, 0.7371836185109869];-899.5186658171408
90;p1 * p2 ^ (abs(1.0 / x) ^ p3) - x;-994.2994264966136;[-7.838720269571825, 0.08919778285972609, 0.13448263922505824, -0.08079293279654536, -0.5029763959907143, -0.7386145397599707];-994.2994264966136
170;abs(1.0 / (p1 + x) + abs(x) ^ p2) ^ p3;-1000.0610130270575;[3.823448658062324, 0.3308621645198358, 2.9434535129441644, -0.08101396599218402, -0.5026289158545797, -0.7399195355342698];-1000.0610130270575
560;p1 / (p2 - abs(p3 + 1.0 / x) ^ p4);-1001.1542671703594;[-1.304930837990083, 0.2957995878339606, 0.11048406211858307, 0.5585778753296073, 0.08059374128211824, -0.5025118680746475, -0.7400110873885385];-1001.1542671703594
941;abs(p1 + abs(x) ^ p2) ^ p3 / x;-1001.4159693229035;[-0.10137892972101091, -0.3023539277809266, -5.036478127642827, 0.08058884423490002, -0.502547831560181, 0.7400367583122353];-1001.4159693229035
2252;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
