evals;expr;nll;coeff;best_nll
1;abs(x) ^ (abs(1.0 / (p1 - x)) ^ p2);696.1980169825438;[6.848510711085169, 0.3795592324280623, -0.21244074571477992, -0.4936938050685171, 0.7438219961572706];696.1980169825438
13;p1 + abs(p2 + abs(x) ^ -x) ^ p3;448.65378049031744;[-0.9473182588205427, -2.010576848733481, 2.8087684124352563, -0.16043796740938662, -0.5116136806559528, 0.7384572673286594];448.65378049031744
18;abs(abs(1.0 / x) ^ (p1 + x) / x) ^ p2;196.0790257512808;[4.986146622233338, -0.07262171746188247, 0.16629619144798138, -0.4930222800169038, 0.7429532151009183];196.0790257512808
26;p1 + (x + p2 ^ (abs(x) ^ x));-379.1498524368144;[0.05640925928716433, -0.1397323741911076, -0.1304045749674098, -0.4908446565632638, 0.7482480722138968];-379.1498524368144
54;abs(abs(p1 + -1.0 / x) ^ p2 / x) ^ p3;-986.419986951175;[-4.987149831933115, -0.39698587355288384, -0.7884102135336741, 0.08177427285566367, -0.502349332640983, 0.7398391660043908];-986.419986951175
80;x * (p1 + abs(p2 / x) ^ p3);-999.1830435862255;[0.72875966943155, -0.9890020023717234, 0.49898850516842835, 0.08078678888794026, -0.502470600103506, 0.7400673918653182];-999.1830435862255
195;x / (p1 - p2 ^ (abs(1.0 / x) ^ p3));-1000.9227934900857;[1.0043336321926597, 0.4189500996835018, -0.47536221668413825, 0.08061455375951682, -0.5025906869976833, 0.739726753013875];-1000.9227934900857
1111;1.0 / (p1 + abs(p2 + p3 / x) ^ p4);-1001.1542671700909;[-0.2266783409150789, -0.06860693883104768, -0.6209665986259121, 0.5585779601071305, -0.08059372687373285, -0.5025117972897436, -0.7400110668711817];-1001.1542671700909
2687;p1 + abs(p2 + abs(1.0 / x) ^ p3) ^ p4;-1001.8875235954798;[0.01621163337267292, -0.21541791837220398, 0.2517472101664617, -2.1984916747618604, -0.08068319802189805, -0.5025267418754502, 0.7399819584780549];-1001.8875235954798
3265;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];-1002.3409364590589
5918;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
