n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;x - abs(p1 * x) ^ (x + 1.0 / x);2584.110971267824;[-4.451552898078944e-7, -0.4957513091225245, -0.4929773070293462, 0.7375893484706136];15446;183;99.148703022;2584.110971267824
4;1.0 / (-1.0 / x + p1 ^ (p2 + x));1130.513208635895;[-0.0003454534655365391, -0.42963714194510466, 0.20856133100779542, -0.49305200719430115, -0.741497748567976];53486;410;192.819092792;1130.513208635895
13;abs(x) ^ (abs(p1 + (x + x)) ^ (1.0 / x));686.9462261851306;[-1.0429634594339303, -0.19313320119527183, -0.5075939458144012, 0.731389855740518];124453;975;377.023619227;686.9462261851306
14;p1 + -1.0 / (-1.0 / x + p2 ^ x);-613.5070499094202;[0.22510989876921925, -0.36126987293203244, 0.11319031952281289, -0.4966048311976136, -0.7402605357674387];150884;1310;441.018356253;-613.5070499094202
17;x + abs(x / abs(x) ^ x) ^ p1;-800.7155547963117;[0.5642637325327696, -0.09530605523587465, -0.5088264415511254, 0.7409669014918663];171859;1414;545.065130532;-800.7155547963117
18;abs(x * (p1 + p2 ^ (1.0 / x))) ^ p3;-954.6118411112348;[-3.2227894844668548, -0.9473788597509478, 0.7099790624095625, 0.08276409017244604, -0.5028786219663948, -0.7413377701357697];195717;1553;610.382929157;-954.6118411112348
28;abs(x + p1 ^ (1.0 / (p2 + x))) ^ p3;-990.7028569259872;[-0.7376299481137303, 0.13297913807259235, 0.9774374379357297, 0.08242070273457983, -0.5031513146001855, 0.73995040825242];315977;2563;935.441094056;-990.7028569259872
111;x + p1 * abs(p2 + -1.0 / x) ^ p3;-1000.7935623401203;[0.9646526987601515, -0.8609888236966354, -0.5051294360042652, -0.08060239528251385, -0.5028011635626868, 0.7393616957424182];1344001;12490;3675.0270340279994;-1000.7935623401203
1160;p1 * abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.748840629242;[-0.3051014204207825, 0.4001564933048962, -0.1242931876545921, 3.378930035004588, -0.08062759542177837, -0.5025080727542265, -0.7399783289899232];12795638;127434;42046.380178163985;-1001.748840629242
1402;abs(p1 + -1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8152595632899;[-0.06268272425604028, -0.18084758930030795, -0.2774821514864147, 2.1717257088702286, 0.08065852091545639, -0.5025157961693211, 0.7399804840574336];15557337;155832;51481.61707862696;-1001.8152595632899
9292;p1 + abs(1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8875235998257;[0.01621132976705179, -0.21541800203517614, -0.25174708875006196, 2.198491544670485, 0.08068316688217271, -0.5025254523280285, -0.739982078595229];104353955;1037117;346053.10797283007;-1001.8875235998257
19389;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];217702380;2155515;721936.9304182705;-1002.3409364613959
