n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 / (p1 + (x + -1.0 / (p2 + x)));3042.8112771600327;[-2.6776665842490854, -7.326516586501529, -0.5533402999021229, -0.5084594575937035, 0.727536503823709];27233;337;45.557798943;3042.8112771600327
3;p1 / x + p2 ^ (x + -1.0 / x);734.1567282189596;[0.006496678488340892, 1.1500668087651862, 0.2243979909018853, -0.4920115446837932, 0.7486217522270693];52390;537;105.210764985;734.1567282189596
12;1.0 / (abs(p1 / x) ^ p2 - x) - x;-252.38483452984872;[0.5091771223352506, 0.5011936620859648, -0.0958804339541439, -0.49745933309298146, -0.7447097332648173];177807;2081;590.6557116;-252.38483452984872
13;p1 ^ (p2 + 1.0 / (p3 - x)) - x;-265.3469129979045;[8.683284893525311, 1.1910881050743354, -0.5329845438466025, -0.12217588057232262, -0.504542310723081, 0.7367143143444163];223464;2329;932.550899361;-265.3469129979045
26;x + -1.0 / (x * (p1 - abs(x) ^ p2));-990.1515849965017;[-0.35156619452339927, -1.5269836275099318, -0.0814138501358037, -0.5032770994238364, 0.7411355416555577];359077;3388;1487.4376927580001;-990.1515849965017
41;p1 + p2 ^ (p3 ^ (abs(x) ^ p4));-1000.8080599472345;[-16.457242346087025, -16.49360756091291, 1.0349049531963996, 0.6634171428078822, 0.08083276379099334, -0.5025703488143531, -0.7400357520934902];583557;5919;2443.754488511;-1000.8080599472345
625;x / (p1 + p2 ^ (abs(x) ^ p3));-1000.9227934898379;[-1.0043335615254696, -0.418950106138568, 0.4753620505232708, -0.08061453160628866, -0.5025907016863843, 0.7397269091324412];6701988;69601;22453.342828464;-1000.9227934898379
3420;abs(x) ^ p1 + abs(p2 + -1.0 / x) ^ p3;-1000.9319191202712;[0.991182728917402, -0.9700738378576638, -0.5184818484744745, 0.08059091213575906, -0.5027086575219957, 0.7399077279237347];38342312;382662;129983.7673896381;-1000.9319191202712
3554;abs(1.0 / (p1 - abs(p2 + x) ^ p3)) ^ p4;-1001.8909440929008;[0.22203139014632872, 0.0025292244969319726, -0.25187198941274425, 2.1575013080643513, 0.08072396095366591, -0.5025441679771543, 0.7399949425293106];39932546;398480;134389.46556738403;-1001.8909440929008
7175;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];79489310;790200;265049.1775483038;-1002.3409364613959
