evals;expr;nll;coeff;best_nll
1;p1 - abs(x) ^ (x + (x + 1.0 / x));2897.3022740748606;[-0.4137266661598917, -0.23454236101061757, -0.5348105194189342, 0.6807537088983284];2897.3022740748606
4;abs(1.0 / x + -1.0 / (p1 + 1.0 / x)) ^ p2;421.5890936499203;[11.829650390398715, -0.48764777362221723, 0.19173981295367676, -0.4908677467531601, -0.7470815267998289];421.5890936499203
13;p1 - p2 ^ (1.0 / (x + abs(x) ^ p3));289.6452004925871;[4.435655485845486, 5.1510244258471625, -0.028630139982932273, 0.18058938181454426, -0.5065453926604396, -0.7394020827422619];289.6452004925871
17;p1 * abs(abs(x) ^ p2) ^ (p3 ^ -x);-968.9061355914725;[1.7468640511350846, 0.6444852587702461, -0.9882642223150383, 0.08214265513728344, -0.5029397344744136, -0.7409756355782278];-968.9061355914725
100;p1 / (p2 + abs(p3 + x) ^ p4);-997.8334589847923;[-1.6377381724104236, -0.05589416001918793, 0.007724856455416361, -0.6567404869073696, -0.08109483276992767, -0.5026001171780788, -0.740225274982407];-997.8334589847923
322;1.0 / (p1 - p2 ^ (p3 ^ (abs(x) ^ p4)));-998.9670856430824;[17.37194449616211, -17.40229626384988, 0.987614644575236, -0.6763839786145109, 0.0809995866185433, -0.502175899727713, -0.7398198168152518];-998.9670856430824
480;abs(1.0 / (p1 + abs(x) ^ p2)) ^ p3;-1000.5286158542673;[-0.23177807536956305, -0.2589040346165979, 2.0476014001979723, -0.08059715831358771, -0.502595217271222, -0.740115766189864];-1000.5286158542673
622;x / (p1 + p2 ^ (abs(1.0 / x) ^ p3));-1000.9227934900273;[-1.0043336414961184, 0.41895008732934325, -0.47536219904097665, -0.08061454472369606, -0.5025906682734895, -0.7397267719869351];-1000.9227934900273
630;abs(x * p1 ^ (abs(x) ^ p2)) ^ p3;-1001.6463099506798;[-2.8238952489821902, 0.3338141376049668, 0.5182539904087607, 0.08059830405552065, -0.5025213720714107, 0.7399979644815795];-1001.6463099506798
1580;abs(p1 + p2 ^ (abs(x) ^ p3)) ^ p4;-1001.7265121840247;[-2.232629436411228, 3.1047224926476455, -0.04404901720559848, -3.942442483098284, 0.08062692143755228, -0.5025072557600843, -0.7399760568244093];-1001.7265121840247
3226;abs(p1 + abs(1.0 / (p2 - x)) ^ p3) ^ p4;-1001.8909440819893;[-0.2220321071748251, -0.002529058347431829, 0.2518725161376088, -2.1574936071901054, -0.08072390083387157, -0.5025420890213698, -0.7399947007061016];-1001.8909440819893
7720;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];-1002.0572884848282
13335;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];-1002.3409364590589
21736;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
