n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(abs(p1 * x) ^ (p2 ^ x)) ^ (1.0 / x);1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0, 0.0];466;0;1.44816079;1.7976931348623157e308
2;p1 - abs(abs(1.0 / x) ^ x) ^ (abs(x) ^ x);1931.2599314225918;[1.7922379616682533, -0.3837055879302872, -0.49944311044075235, 0.7423088881877646];10345;170;29.767195552;1931.2599314225918
3;1.0 / (p1 - x / (p2 - abs(x) ^ p3));-645.54904752988;[-0.32960962361379254, 0.0005532822582622086, 1.4432859785374406, -0.0951767309380048, -0.5004113016952465, -0.7385920855302541];52153;484;115.86339053200001;-645.54904752988
6;p1 + abs(1.0 + p2 * x) ^ p3;-916.0779179682821;[-0.8723815000020986, 3.9828809692571863, 0.6260906125861434, 0.08755071829536522, -0.5029715453548849, -0.7392626893689362];115591;1218;225.42733200400005;-916.0779179682821
33;abs(x / (p1 + 1.0 / (p2 + x))) ^ p3;-993.230700761714;[0.06762186244506802, 2.085120539608543, 0.5681464992607123, 0.08098822278592038, -0.5026286612204721, 0.7397008754516652];367456;4304;991.285940723;-993.230700761714
129;x * (p1 + abs(1.0 / x) ^ p2);-999.1763480290001;[0.7239411981878473, 0.49744448824141785, 0.08077936766088228, -0.5024822999385467, -0.7400995181651734];1442273;15239;4978.63875931;-999.1763480290001
212;p1 ^ (p2 - abs(x ^ -2.0) ^ p3);-999.3519247116603;[0.00011712527455693467, 0.9396065591679188, -0.03938945121473484, -0.08090062872713243, -0.5024775495829058, -0.7399079585965458];2378812;24233;9348.551473540998;-999.3519247116603
411;x + abs(1.0 / x + p1 ^ x) ^ p2;-1000.8745599075539;[1.0382285975584893, -0.5155627694367476, -0.08063910009892288, -0.5023839155656117, 0.7400408105940047];4650648;46242;17135.45487890701;-1000.8745599075539
484;p1 * x - abs(p2 + -1.0 / x) ^ p3;-1001.5080273217719;[-0.9459317203729448, -0.687240252255097, -0.5146825824022205, -0.08059252855379362, -0.5025962102356295, 0.7401673660893734];5526782;54181;19933.126224895015;-1001.5080273217719
1630;abs(p1 + abs(p2 / x) ^ p3) ^ p4;-1001.745532123485;[-0.5341039548334339, 11.711928521158821, 0.13141852824755318, -3.265843557033565, 0.08062232798616763, -0.5025120110139769, 0.7399832084698515];18615524;178709;62537.738746471994;-1001.745532123485
3065;1.0 / (p1 + p2 ^ (p3 ^ (abs(x) ^ p4)));-1001.9527055830329;[-0.992933975821711, -358.5992450223275, -0.07763149586146882, 0.2223180296608993, 0.08064963402386001, -0.5024959900148084, -0.7398880010189128];34946195;338129;117892.48884280401;-1001.9527055830329
9467;p1 ^ (p2 - abs(1.0 / x) ^ p3) - x;-1002.0572884769697;[-1.390183897778798e-5, 0.9107499846414503, -0.07225640863726829, 0.08060908949831899, -0.5025292103945913, -0.7399858574698234];106393999;1044623;360537.18860284943;-1002.0572884769697
37709;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];426152734;4188055;1422331.8477172798;-1002.3409364590589
39323;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];444964504;4372820;1485768.5944246347;-1002.3409364613959
