n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(abs(p1 + p2 ^ (1.0 / x)) ^ x) ^ x;1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0, 0.0];675;0;6.95648358;1.7976931348623157e308
2;-((p1 - x)) / x;2148.2061031438725;[0.029789514770661305, -0.40800021959156596, -0.5035969066881747, 0.7411117330148371];22233;242;113.800895768;2148.2061031438725
3;abs(x * abs(x) ^ (1.0 / (p1 + x))) ^ p2;285.60283745274694;[-1.6551011027551423, 0.9745983438867876, 0.14294609334724034, -0.5054270637190424, -0.7418512060077445];38829;399;154.621103925;285.60283745274694
27;x + p1 ^ (abs(x + x) ^ x);-106.43535459702876;[-0.2119815194636187, -0.15231398666458834, -0.49040759374743204, 0.7488168388833473];351159;4084;1486.219170353;-106.43535459702876
42;p1 + p2 ^ -(abs(abs(x) ^ p3) ^ p4);-967.2454934082955;[-1.091489248711624, 0.3662631742708697, 0.4117188511721723, 0.965501243533759, -0.08232081873820843, -0.5023923591386166, 0.7397488065293407];528731;6313;2080.272488032;-967.2454934082955
97;x + p1 ^ (p2 + p3 ^ (1.0 / x));-981.4435309219036;[-5.311957867564752, -1.18776878967824, 0.9238096676266372, -0.08346037759665752, -0.5018628606156823, 0.7409353156402035];1142808;12157;4307.044828753;-981.4435309219036
135;x + p1 ^ (-1.0 / (p2 + x));-987.3553650767916;[1.354838157876622, 0.1369958887485938, -0.08258898662828902, -0.5042519470025352, 0.7382072646996841];1540351;16020;5455.438487343;-987.3553650767916
243;p1 + (p2 / (p3 - x) - x);-999.8463258968322;[-0.8686490731614774, -0.2268041328133794, -0.2899751843652331, -0.08127999867773643, -0.5026501360144618, -0.7398971731649477];2624595;27028;9836.213932610992;-999.8463258968322
736;p1 + p2 ^ (abs(1.0 / (p3 - x)) ^ p4);-999.9204066022047;[-1.406261529537457, 3.0733183552359025, -0.046766816325324465, -0.3409549746109206, -0.08113963330236149, -0.5026711456649099, -0.7399870284370753];7820051;79041;27157.690942002013;-999.9204066022047
821;abs(x * p1 ^ (abs(x) ^ p2)) ^ p3;-1001.6463099506798;[-2.8238952489821902, 0.3338141376049668, 0.5182539904087607, 0.08059830405552065, -0.5025213720714107, 0.7399979644815795];8981277;90689;30845.70083640602;-1001.6463099506798
896;abs(p1 + abs(p2 + x) ^ p3) ^ p4;-1001.8909440939011;[-0.2220316929504526, 0.002529112330820049, -0.2518720610986618, -2.157499307170878, -0.080723936308259, -0.5025442913374536, 0.7399949589925887];9907660;99976;33826.62287742503;-1001.8909440939011
3301;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];37347739;372471;124826.16038895212;-1002.3409364590589
77537;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];877661706;8656025;2927750.891980687;-1002.3409364613959
