n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;0.75 * x;3102.4191563165527;[0.6074751322455995, -0.4938377584719329, 0.7391564738577886];2817;61;3.518093905;3102.4191563165527
6;x - abs(-1.0 / x + abs(x) ^ x) ^ p1;1081.6833051445883;[-0.35961024438435246, -0.226373123372514, -0.4902352440351434, 0.7509468558837779];48690;788;105.514888477;1081.6833051445883
9;p1 - abs(x) ^ (abs(x) ^ (p2 * x));-244.12707533594585;[-0.2581294743084651, 0.00010513520244666784, -0.1418338305515611, -0.4914312195291483, -0.7461722614288581];94041;1254;199.503885865;-244.12707533594585
15;x + abs(x) ^ (p1 / (p2 + x));-884.3486564792993;[2.108417133768344, 3.9175892627489146, 0.08805889275269993, -0.5114183500827428, -0.734137904956682];152229;1730;577.563709903;-884.3486564792993
41;abs(p1 / x + abs(1.0 / x) ^ p2) ^ p3;-988.048227571683;[-1.3704169023077255, 0.9213363682413785, -0.5579681579159211, 0.08104745058432646, -0.5026038977010594, -0.7411944093858134];535653;5025;2102.3794525460003;-988.048227571683
78;x + -1.0 / (p1 - abs(x + x) ^ p2);-997.8397201238018;[-0.7845174889342029, -0.6009296806372495, 0.08067565317459843, -0.502782186754629, 0.7394340168454105];1049825;9803;3344.9761242130007;-997.8397201238018
130;x + p1 ^ -(p2 ^ (abs(x) ^ p3));-1001.5264412088962;[51.472754193466876, 0.08497185625570135, 0.3310596054583293, 0.08069454160022538, -0.5030238831505303, 0.7391589643120986];1553276;14497;4859.885689876999;-1001.5264412088962
1533;p1 - abs(1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8875235984965;[-0.01621149971954201, -0.21541777386313773, -0.25174677728233746, 2.198496114570341, -0.08068319607796542, -0.5025248460815018, 0.7399823226986746];17389623;171599;59094.820210415026;-1001.8875235984965
3695;p1 + abs(1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8875235998257;[0.01621132976705179, -0.21541800203517614, -0.25174708875006196, 2.198491544670485, 0.08068316688217271, -0.5025254523280285, -0.739982078595229];42121468;413201;140666.1822873131;-1001.8875235998257
4859;p1 - abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.887523600629;[-0.01621146071777421, 0.21541811840604363, -0.2517473241762442, 2.198489942808195, 0.08068323176834964, -0.5025251841360259, -0.7399822832817112];55251408;542513;184967.03623930982;-1001.887523600629
9604;1.0 / (p1 + p2 ^ (p3 ^ (abs(x) ^ p4)));-1001.9527055830329;[-0.992933975821711, -358.5992450223275, -0.07763149586146882, 0.2223180296608993, 0.08064963402386001, -0.5024959900148084, -0.7398880010189128];108977387;1073592;363536.9442864919;-1001.9527055830329
19440;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];219870832;2163041;734876.5942589428;-1002.3409364590589
53867;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];610494295;6002618;2032236.9427655963;-1002.3409364613959
