n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 / (1.0 / x + -1.0 / (p1 - p2 ^ x));2247.5502037270685;[0.9823128197260033, 0.12120063800559373, 0.384179364930304, -0.5026583208285398, 0.7369351808809849];23486;338;60.613242547;2247.5502037270685
2;abs(x) ^ (x / (p1 + abs(x) ^ p2));729.1151202444754;[0.05988228587747767, 0.9188693155299072, 0.22890305934161462, -0.49309600362781353, 0.739947227847428];41346;493;100.783154483;729.1151202444754
3;p1 + p2 / (p3 + abs(x) ^ -x);388.6356647953902;[3.7252631537047756, -5.889965134395088, 0.5565698403806589, 0.15047558034568434, -0.5115049225769001, -0.7385121043660835];106318;884;229.731362182;388.6356647953902
8;1.0 / (p1 + 1.0 / (x + -1.0 / (p2 - x)));-176.73934920897744;[-0.01325312378249933, -3.8999165481232305, -0.14649918420513502, -0.49193558276659505, -0.7439388016547559];182626;1723;411.853725767;-176.73934920897744
15;x + p1 ^ -(abs(p2 * x) ^ p3);-960.0844158186724;[-1.8535566814816058, 1.5310795049844956, -0.35064270497729766, -0.08334055955631371, -0.5000200202830531, -0.7420705222656364];244166;2559;743.4641501310001;-960.0844158186724
22;p1 + (x / (p2 - x) - x);-987.6728688976214;[-0.10000636806119001, -0.46140404459462253, 0.08223821520550027, -0.5046214444386263, -0.7376415373115024];293370;2973;839.6277222880001;-987.6728688976214
121;p1 + (p2 ^ -(abs(x) ^ p3) - x);-1000.7434398557532;[-1.0195460217129098, -3.335066865478061, 0.5866218077663996, -0.08065077886500334, -0.5031063487097981, 0.7389823770372093];1581016;14691;5594.296580062999;-1000.7434398557532
236;p1 - p2 ^ (p3 + abs(1.0 / x) ^ p4);-1001.4307871480839;[10.340348470189857, -1.1633267640372336, 15.463325795953232, -0.6567267993885546, -0.08079411017536971, -0.5025727862758668, -0.7400308823007542];2854319;28454;9736.925131244998;-1001.4307871480839
418;p1 * abs(p2 + abs(1.0 / x) ^ p3) ^ p4;-1001.7488402856809;[0.30534012665302057, -0.4000829385650285, 0.12433475440579916, -3.3782007744805562, -0.08062795731840662, -0.5025071684864697, -0.7399786284842174];5229980;50204;16993.978205121006;-1001.7488402856809
1813;p1 * abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.748840629242;[-0.3051014204207825, 0.4001564933048962, -0.1242931876545921, 3.378930035004588, -0.08062759542177837, -0.5025080727542265, -0.7399783289899232];21046074;209051;71902.49989111307;-1001.748840629242
10816;abs(1.0 / (p1 + abs(p2 + x) ^ p3)) ^ p4;-1001.8909440954477;[-0.22203160104496508, 0.0025291469475475286, -0.2518719207338807, 2.157500757850181, 0.08072395012289492, -0.5025441031801325, 0.7399949185956122];121735969;1209456;406157.8040774346;-1001.8909440954477
11494;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];129513335;1286087;431373.5381785297;-1002.3409364590589
68384;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];772769528;7628677;2573609.038171001;-1002.3409364613959
