n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(p1 ^ -(abs(x) ^ x)) ^ (abs(x) ^ p2);1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0, 0.0];342;0;1.164755043;1.7976931348623157e308
2;x * (x * (x - p1 ^ x));5510.1686852754965;[-1.2067304098228495, 1.4757268406984871, -0.49968246419009354, 0.7332278693769779];19558;243;42.712578174;5510.1686852754965
4;1.0 / (x + p1 ^ (x - abs(x) ^ p2));3481.189176688731;[-0.6258546764532937, -0.3346783083545695, 0.699699424083776, -0.506919458323314, -0.7332201951111839];43641;463;108.808790464;3481.189176688731
6;abs(p1 * abs(p2 + 1.0 / x) ^ p3) ^ x;1803.5855129575482;[-2158.6702084697695, 7.511151856520033, -3.618504852241337, -0.3485014316358381, -0.503780000264188, 0.7331982023869301];90018;720;469.15783334900004;1803.5855129575482
7;abs(abs(abs(x) ^ p1) ^ p2) ^ p3;752.2151442667883;[-0.14593878764075502, 1.4517513869302687, -2.3704427665334866, -0.22817146427782692, -0.49154532489155495, 0.7496127460015599];101530;844;497.02640951000006;752.2151442667883
13;p1 - abs(x) ^ (abs(x) ^ p2 / x);-245.44752963949537;[-0.25428494653651856, 1.0082317097791484, -0.14171972886753445, -0.4916670627480285, -0.745695656742717];153270;1510;617.359024256;-245.44752963949537
24;abs(1.0 / (p1 + -1.0 / (p2 + -1.0 / x))) ^ p3;-483.6774257954505;[0.6300530363357681, -0.692745644899748, -3.330615047374521, 0.12010249181364267, -0.5021284815742589, 0.7364648356729847];264416;2454;916.314567703;-483.6774257954505
106;1.0 / (p1 - abs(x) ^ (p2 / (p3 - x)));-882.7792403961008;[0.34799763342317713, 19.21630629849671, -41.18472780348672, 0.0882888843149789, -0.5001666968545657, 0.7384606943859907];1173619;11526;4102.372815533;-882.7792403961008
121;1.0 / (p1 / (p2 - x) - abs(x) ^ p3);-988.3288538038862;[-0.43421057012138303, -0.0014583827598289739, -0.8387502170171136, -0.08129789600870256, -0.5026372850130032, -0.7404169987342586];1366083;13575;4744.366228134;-988.3288538038862
216;p1 / (p2 + 1.0 / (p3 - x)) - x;-999.8463258966015;[3.326881896868579, -3.829948231160115, -0.028875409855998766, -0.08127998463221121, -0.502650007620769, 0.7398971904875995];2420703;23634;7880.316899469002;-999.8463258966015
1089;p1 + p2 ^ (p3 ^ (abs(1.0 / x) ^ p4));-1000.8080604670779;[-16.457441584067517, 16.49380838404623, -1.0349041362218103, -0.6634197033004552, 0.08083271771670673, -0.5025693585252056, 0.7400352141546426];12281384;120878;41608.154958906016;-1000.8080604670779
1736;p1 + (x + abs(p2 + 1.0 / x) ^ p3);-1001.3672431999789;[0.018583447488815564, 0.9696262235613892, -0.5485115301332427, -0.08067751245069398, -0.5027896904597458, 0.7392979382705949];19677617;193831;66370.26967232503;-1001.3672431999789
2641;x + p1 ^ (p2 ^ (abs(1.0 / x) ^ p3));-1001.5264412088159;[0.01942783122740578, 0.08497193729173662, -0.3310597966345188, -0.0806945129556579, -0.5030235702175677, -0.7391588622492441];29949479;295028;100831.95231268698;-1001.5264412088159
4422;abs(x / p1 ^ (abs(x) ^ p2)) ^ p3;-1001.6463099507204;[0.3541208137215166, 0.33381408390743056, 0.5182540292769636, 0.08059831338319508, -0.502521379410402, 0.7399980325927177];50030627;491813;168240.49423368947;-1001.6463099507204
5144;abs(1.0 / (p1 + abs(p2 * x) ^ p3)) ^ p4;-1001.7487980819382;[-0.5649299043383058, 0.061608348629474466, -0.12501399172334388, 3.3671463564694757, 0.08062832231522156, -0.5025065309711512, -0.739978070154038];58292923;569898;195378.53876113953;-1001.7487980819382
5731;p1 + abs(p2 + abs(1.0 / x) ^ p3) ^ p4;-1001.8875235954798;[0.01621163337267292, -0.21541791837220398, 0.2517472101664617, -2.1984916747618604, -0.08068319802189805, -0.5025267418754502, 0.7399819584780549];64893635;633449;216823.64652897872;-1001.8875235954798
11307;p1 + abs(1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1001.8875235998257;[0.01621132976705179, -0.21541800203517614, -0.25174708875006196, 2.198491544670485, 0.08068316688217271, -0.5025254523280285, -0.739982078595229];129768703;1271405;427432.6203292642;-1001.8875235998257
12951;abs(p1 + abs(p2 + x) ^ p3) ^ p4;-1001.8909440939011;[-0.2220316929504526, 0.002529112330820049, -0.2518720610986618, -2.157499307170878, -0.080723936308259, -0.5025442913374536, 0.7399949589925887];148577617;1454181;492163.02883105207;-1001.8909440939011
28141;abs(1.0 / (p1 + abs(p2 + x) ^ p3)) ^ p4;-1001.8909440954477;[-0.22203160104496508, 0.0025291469475475286, -0.2518719207338807, 2.157500757850181, 0.08072395012289492, -0.5025441031801325, 0.7399949185956122];319976024;3148218;1066771.8139313085;-1001.8909440954477
36797;x - p1 ^ (p2 - abs(x) ^ p3);-1002.0572882599361;[1.390072488525905e-5, 0.910750425326041, 0.0722560377706656, -0.0806089027396649, -0.5025293716125293, 0.7399860482600139];417490497;4113387;1389244.1955082393;-1002.0572882599361
41147;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];467090829;4594201;1554055.021374537;-1002.3409364613959
