generation,individual_index,expression,fitness,nodes
0,0,((-1.3348217809568288) - (1.8709647018886877)) / ((-2.172089179436792) + (abs(0.7127634743959708)**(x0))),-0.20845272459538988,9
0,1,(((x0) + (-0.050300082324277046)) - ((x0) - (0.9540387663830029))) * (x0),-0.6386775021098049,9
0,2,abs(1/((x0) - (x0)))**((-0.9433706102846544) - (x0)),-3.2958613259668508,8
0,3,((3.1378682023380224) - (x0)) * ((x0) + ((x0) - (x0))),-0.3673811514414352,9
0,4,(1/(-0.6868338186267172)) + ((x0) + (x0)),-2.428753955933673,6
0,5,(1/(-1.0286596467980407)) + (1/(0.36099129450964124)),-0.06301759103812471,5
0,6,abs((x0) + (3.2436937565542303))**(abs(1/(-0.30441604799791766))**((1.4634406416021122) * (-0.5801628192837965))),-0.06854513202575353,10
0,7,((0.9929508529785909) / (0.44311343059482033)) - (1/(2.258156388766827)),-0.06301759103813467,6
0,8,((1.0812780707701755) * (1.0009531272703227)) - ((x0) / ((-0.40571980795677076) - (x0))),-0.04756588688020204,9
0,9,1/(abs(1/(x0))**(x0)),-116.15846460014514,5
0,10,((x0) - (-2.5058038032778804)) * ((-0.8247880586655919) / (-1.9859148006521912)),-0.16189840935308616,7
0,11,(abs(0.5553646130966986)**(0.18557379050273387)) / (((-0.7828108787564337) * (-0.5052612854034517)) / (0.7931679236823485)),-0.06301759103988387,9
0,12,1/(1/(1.7980110328319865)),-0.06301759103812488,3
0,13,(abs(abs(x0)**(x0))**((-0.6895035221826886) + (-0.6398000302121204))) + (x0),-0.3177125829668561,9
0,14,((1/(-42.785468090732536)) * (x0)) + (1/((-20.497601515072553) * (0.49285517460772127))),-3.8083639957924253,9
0,15,(((x0) * (0.8284213882959323)) + (1.5877492280014214)) * (abs(-0.7512226427267067)**(x0)),-0.047239770782701807,9
0,16,((1.3295178886804517) - (-0.45355592586123766)) + ((1/(-6.665259124432497)) / ((1.0182474808648083) - (x0))),-1.6883095722415902,10
0,17,1/(1/(1.7980110538946985)),-0.06301759103812461,3
0,18,(((1.1001801326046297) + (-0.02517758241951919)) + ((0.29124842809673274) / (-1.7005832808018047))) * (x0),-0.6386775021098059,9
0,19,abs((x0) * (1/(-0.4881460294579608)))**(1/(x0)),-0.11561066579339561,7
0,20,abs((x0) * (0.9992732999215549))**((x0) * ((2.5560140361427823) - (x0))),-0.6397368717515558,9
0,21,(1/((0.9641489901817437) / (0.31917389930798623))) * ((x0) * (x0)),-1.3768291878445862,8
