generation,individual_index,expression,fitness
0,0,abs(abs((x0) + (x0))**((0.006142771248465583) / (-2.5852927748872485)))**(x0),-3619.782156887977
0,1,(abs(-1.1387627566888767)**(x0)) + (((-0.4218702419170442) + (0.43822409769533316)) - (x0)),-3408.167349345962
0,2,abs((abs(x0)**(-52.0816008853842)) * (abs(x0)**(x0)))**(-0.009665194207545967),-960.5377984372071
0,3,(abs(x0)**(0.6046111681551524)) / (abs(1.0664005047972198)**((x0) - (4.6678819244887935))),-1029.4504281047443
0,4,(((1.0965797145522616) - (x0)) / ((0.37863442414287796) / (x0))) + (x0),-2193.336436656345
0,5,(abs((0.004840854250806585) / (x0))**(abs(-0.16995111801052842)**(1.5123778889305293))) / (x0),-5794.514451120622
0,6,((-2.831796462303572) - ((x0) - (-3.0613446981325545))) / ((-1.6452000568880554) / (x0)),-2539.425938879292
0,7,((x0) / (x0)) - (((0.05513190238889268) / (x0)) + (x0)),-3250.172462368394
0,8,(abs((-3.1112455458079014) * (x0))**((0.8624158437413294) - (x0))) + (x0),-672.9066572062902
0,9,((x0) + ((x0) - (x0))) * ((x0) + (x0)),-6136.600098415426
0,10,((x0) * (-0.3788258942722335)) - (abs(abs(x0)**(-0.010953257985421249))**(x0)),-2211.18998124027
0,11,((-3.1654604363235155) / ((1.2656445047623193) / (x0))) / ((0.43369778065628956) + (x0)),-716.710908113832
0,12,((-0.19857213758886258) / (0.16971432570666425)) * ((abs(1.1661492831659908)**(x0)) + (-0.4500375446101527)),-2357.908159880181
0,13,((0.2969592764577912) + (x0)) + ((x0) + (-0.130300686941032)),-942.2758409714868
0,14,(((x0) + (x0)) / (-5.43229924552785)) + ((3.1887848006273245) * (x0)),-2126.205164673733
0,15,(abs(-2.2620156887371614)**(-1.5690821982880483)) / (((-0.18792433716587742) + (0.11003758800777239)) / (x0)),-1930.8727888257438
0,16,(abs(x0)**(x0)) * (abs(x0)**((x0) - (x0))),-10296.64080344906
0,17,((0.22123551993619595) * ((-0.5561362266687275) - (0.7626441441655905))) + (abs(-1.0947876252635511)**(x0)),-2165.4538026244986
0,18,((x0) - (x0)) - (((x0) - (x0)) - (x0)),-3216.701444419071
0,19,(abs((x0) / (12.590957474478248))**(0.830374686840412)) * ((2.716189728185944) * (7.752588223989816)),-1050.9359566373942
0,20,((-0.10367389722682105) / (5.855884175087676)) - ((0.015890439810314058) + (abs(x0)**(0.09515252547944075))),-2904.1744608343306
0,21,abs((1.1511400416134696) - (0.06418114949370783))**(((x0) + (x0)) / (5.366607041489226)),-2494.836893746922
0,22,((1.6673516964464554) - (x0)) + (abs(-0.4183182889207378)**((x0) + (x0))),-3834.9614493907993
0,23,(((x0) * (1.679622778782753)) + (-10.45114263347721)) / ((2.9641616048078854) / (x0)),-1595.0268085601924
0,24,(((-0.005516911366315542) / (x0)) + (x0)) - ((x0) / (0.3318284689352162)),-1456.0068755437205
0,25,abs((0.7028266822168947) / (abs(0.2879570705377366)**(-0.19213633221722637)))**((0.1399628735341644) + (0.22598729475750148)),-2738.387080660103
0,26,(abs((x0) / (-0.6786476478741088))**(0.9602751294789101)) / (abs(x0)**(0.39666369086500247)),365.80506507328766
0,27,(((x0) + (-2.9392509987291935)) - ((0.6454337730592143) * (1.728930583109605))) * (x0),-1647.7599565077146
0,28,abs(((-4.105629110065763) + (x0)) - ((-4.376586190550051) / (x0)))**(-0.20698364725155566),-2710.710268552347
0,29,abs((0.1880714063079974) * ((x0) * (-0.700132909669001)))**((0.06068136820051517) + (0.0307548801916378)),-3740.0267254368573
0,30,((x0) - (-0.18415657505988975)) + ((0.3272047136003895) * (x0)),-1290.7636601240342
0,31,((-2.509345683311606) * (-0.03711123360717135)) - ((abs(-2.0011698097569495)**(-0.42701343370796796)) * (1.2593946913827)),-2605.715619417635
0,32,abs(((x0) * (x0)) - (abs(0.9033046935444484)**(0.12130750203846755)))**(0.3008934344463813),-2575.096622051821
0,33,(abs((-0.10753093854978346) + (-0.12118216946409706))**((x0) / (-5.027784483359117))) / (2.0378717602286907),-2349.7816981994733
0,34,((0.02274542264046478) - (-0.16104820379871354)) + ((x0) + ((x0) / (1.4502871002335325))),-496.44774112357095
0,35,((x0) * ((0.3430205400843752) / (x0))) + ((-0.9479749683436385) - (0.24501709759814924)),-2604.6529675802703
0,36,((0.017199452295383697) - (abs(x0)**(1.0191619349619847))) / ((x0) / (-1.8992105947220417)),-2786.404267820991
0,37,(((x0) / (x0)) * (abs(x0)**(x0))) * (x0),-12242.382474578684
0,38,abs(((1.34050325212547) * (-0.8564402651999762)) + (x0))**((-0.8045583616239956) / (-1.7835985745447354)),-2546.6594580081073
0,39,abs(((-1.4299707922977933) - (-0.043575051617390996)) - ((x0) - (x0)))**(x0),-2951.712324394209
0,40,(((x0) - (-0.6231454042285841)) + (1.524930826274964)) * ((x0) / (0.6631509396442726)),-3090.191675953339
0,41,(abs(x0)**(x0)) / ((0.6637602902795382) - (-1.1128703128380038)),-9528.862694440157
0,42,(((x0) * (1.7452969877601148)) + (x0)) / ((x0) * (-2.978546445054105)),-2690.121807183106
0,43,((0.699027907201538) - (x0)) - (abs(x0)**((x0) - (1.0712868839112484))),-10859.591259674367
0,44,abs(((x0) * (x0)) - ((x0) * (-0.7721108171878976)))**(0.39952077250301293),69.67312711300303
0,45,(abs(1.1170144844310794)**(x0)) + (abs(-0.5973908738923719)**(0.6916626209430646)),-3926.317094534836
0,46,(((1.067734988321157) - (x0)) / ((x0) * (6.7067046492359585))) * (x0),-4468.402632453017
0,47,((x0) + ((0.6027711991417725) - (x0))) / (abs(-0.8279819809204142)**(x0)),-2277.2218017235396
0,48,((x0) / (1.1754483354144247)) / ((x0) - ((x0) - (x0))),-2842.61077093171
0,49,(((-0.591215943771737) / (-1.6451674790473454)) - (-0.20541967362430397)) * (abs(x0)**(x0)),-9528.61396506975
0,50,abs(abs(-1.4456413117380515)**(0.13134543868434206))**((x0) + (x0)),-2323.531161764109
0,51,((((x0) / (-0.2610471549882208)) / (x0)) - (x0)) * (x0),-2804.7671944667277
0,52,abs((x0) - ((x0) + ((-0.09116339249730401) + (x0))))**(0.35611759347673644),-1624.2970695079166
0,53,((0.48114321897197626) / ((0.13753855247054286) / (x0))) * ((x0) / (x0)),-1852.3561566716635
0,54,((-0.046786375595948435) + (x0)) / ((x0) / (2.5100681137001555)),-2561.13935549737
0,55,((-4.579505765441505) / (-8.711387629178436)) + ((x0) - (x0)),-2823.376807027026
0,56,(((x0) * ((x0) + (x0))) * (x0)) / (x0),-6136.600101243419
0,57,((x0) + (x0)) / (((x0) - (x0)) - (0.60610748939008)),-2337.141740188746
0,58,((x0) + (-0.05003207247681703)) / (abs(x0)**(0.8238954297829001)),-2527.3866684219443
0,59,abs((x0) * (x0))**((1.231182894022844) - (abs(0.9925902761963415)**(x0))),-1266.013631374437
0,60,((x0) / (x0)) * ((x0) / (0.2918873668064526)),-1850.1124064924632
0,61,(((x0) + ((x0) - (-0.06821798343267815))) - (0.7528315111557032)) + (x0),-3477.728430904742
0,62,(abs(x0)**(((-0.4391058577349346) + (x0)) - (0.446436338643216))) / (2.559387449707889),-10325.082281604915
0,63,((abs(0.6221787988023714)**(1.7937239318639522)) - (abs(x0)**(x0))) / (x0),-10697.754499940937
0,64,((0.10131204792623671) + (0.12247284117380038)) - ((-0.9339192316590496) - (-0.32514633569710033)),-2778.339513225456
0,65,abs((abs(x0)**(x0)) + (-1.8123936711726214))**((x0) / (x0)),-10414.82486081165
0,66,((x0) * (-3.273591465523757)) / (abs(abs(-1.3929005282310951)**(x0))**(0.404788990953581)),-1270.7043785040266
0,67,(abs(1.0956507349848843)**(((0.03572039250374353) / (0.6052570761883227)) / (-0.03764563681527024))) / (1.0290169869863246),-2628.95026226391
0,68,(((0.6356956084992929) + (0.7817145384695523)) + (x0)) + ((x0) * (-0.676650355876479)),-3280.7384591526543
0,69,((((x0) * (x0)) - (-0.4619907704390135)) + (x0)) - (0.2224637686645788),-1869.944461933589
0,70,((x0) * (((x0) - (0.8459754324269471)) / (x0))) - (x0),-2751.9339170850144
