evals;expr;nll;coeff;best_nll
1;abs(abs(abs(x) ^ (abs(x + x) ^ p1)) ^ x) ^ p2;1.7976931348623157e308;[0.0, 0.0, 0.0];1.7976931348623157e308
2;(p1 ^ x / x) / (1.0 + (x + x));1.7976931348623157e308;[0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5;abs(x + 1.0 / (x + p1 ^ (p2 * x))) ^ p3;112.528440078557;[2.4766716324227325, -4.30367458326915, 0.6369759290765791, -0.33019017494259983];112.528440078557
26;p1 ^ (abs(1.0 / (p2 + x * (p3 - x))) ^ p4);-80.1485478648265;[1.6844989996499242, -1.3858027375553037, 2.3225670521657515, 0.11627331717544336, -0.19391344979804923];-80.1485478648265
85;abs(p1 * (1.0 / (p2 + x) + p3 ^ x)) ^ x;-146.6318294289916;[-0.9629711728072202, 0.0002013690772921604, 0.9584510793072941, 0.1613791293480987];-146.6318294289916
181;abs(1.0 + abs(x + x) ^ (1.0 / x)) ^ p1;-169.1086293569253;[0.5739606893237265, 0.151663738274736];-169.1086293569253
218;1.0 / (p1 + p2 ^ (x / abs(1.0 / x) ^ x));-181.27372556480202;[0.5372336970932602, -0.0006049825749845867, -0.1466517289810439];-181.27372556480202
286;p1 ^ (x + -1.0 / (p2 + p3 ^ (x + x)));-305.3441859149405;[-0.9036494946644578, 0.12531526945069996, 0.0503222226797025, -0.10409656984997467];-305.3441859149405
396;p1 + p2 / (1.0 / (p3 + p4 * x) - x);-430.0340734497332;[1.2556926479552222, -1.2594148059038217, 0.6425757214033648, -2.210435660818097, 0.0737644735706405];-430.0340734497332
632;1.0 / (p1 + abs(p2 + -1.0 / (p3 + x)) ^ p4);-435.86811773178476;[0.4811973258108501, 0.6313924389983945, 0.5645185165839013, 1.830008464215146, -0.072585208561335];-435.86811773178476
967;abs(p1 + abs(p2 + 1.0 / (p3 + x)) ^ p4) ^ p5;-499.01705123056195;[-2.1684173089352057, -0.7389462588845741, 0.3447210123207534, 0.7228403515547995, 1.0478023787505508, 0.06096601748867098];-499.01705123056195
2786;p1 ^ (p2 + abs(p3 + p4 ^ x) ^ p5);-613.1687848427592;[0.16649198865934753, -0.43202797706821644, -0.21774831466784125, 0.20205269163896827, 1.2667493620548647, -0.04447735804658793];-613.1687848427592
19532;p1 * (1.0 / (p2 + x * p3 ^ x) - x);-638.8278984857627;[-0.3193956473568817, -0.5022263790640759, 0.3261767453794689, -0.0414338819748589];-638.8278984857627
34432;p1 - abs(p2 + -1.0 / (p3 + p4 ^ x)) ^ p5;-642.5677311772024;[2.1599182843320297, 2.101401610410995, 0.37246072182292794, -0.09547600553918237, 1.4308148833108627, 0.041007930298929365];-642.5677311772024
163165;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];-668.6547708198748
