evals;expr;nll;coeff;best_nll
1;abs(x * x + x / (x + abs(x) ^ p1)) ^ x;1.7976931348623157e308;[0.0, 0.0];1.7976931348623157e308
2;abs(x) ^ (abs(x) ^ (p1 ^ (0.5 / x)) - x);1.7976931348623157e308;[0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5;abs(p1 ^ x) ^ (p2 - abs(x + 1.0 / x) ^ x);426.5521174647297;[-0.9968876657529963, -2.3484861785485593, 0.7860776852858439];426.5521174647297
9;p1 - x * (p2 + p3 * x);-60.851377438298364;[1.3367535655425917, -0.6950712810243016, 0.20581995850281512, -0.2045308924125375];-60.851377438298364
25;p1 * p2 ^ (-1.0 / (p3 ^ x - x));-171.22315956329203;[1.8601034684404099, 4.998271311896392, 290.5601165343421, -0.15078041685996238];-171.22315956329203
78;p1 ^ (p2 + abs(abs(p3 ^ x) ^ x) ^ p4);-194.59023223338477;[-0.381527151578871, -0.6440567903967857, 0.022441624801454164, 2.4230706755704583, 0.14135502019849377];-194.59023223338477
92;p1 / (p2 + (p3 * x + p4 ^ x));-412.6561351314493;[0.6267795226156601, 0.2562022171197216, 0.04415727368242101, -0.0078044035578570614, 0.07739194311852157];-412.6561351314493
189;p1 ^ (x * (x * (p2 - p3 ^ x)));-432.97123691735567;[-0.004096104772277467, -0.00927219881561221, 0.12606101543557496, 0.07316840144895634];-432.97123691735567
253;p1 * p2 ^ (1.0 / (p3 + x) - p4 ^ x);-481.17976019956916;[4.918529226528546, 0.003118492839783847, 0.681826054199023, 0.44364415405715424, 0.06404530635508797];-481.17976019956916
277;p1 ^ (abs(p2 ^ (p3 - x)) ^ (p4 ^ x));-517.7708913515664;[1.689584772954528, -4.825861607084052e-5, 0.533473717395771, 0.0772994758907572, 0.05788800298656402];-517.7708913515664
1087;p1 / (p2 + abs(p3 + p4 ^ x) ^ x);-531.2938204980926;[-0.3882008244117706, -1.4847732126381172, 1.0680030547489925, 0.2344516412088583, -0.055765428223533];-531.2938204980926
3678;p1 + abs(abs(p2 + p3 ^ -x) ^ p4) ^ x;-547.5888699349276;[-0.5306252993706779, 1.0641067707041187, 4.226338825189298, 3.6524654572570676, 0.05331087260850224];-547.5888699349276
4715;abs(p1 * abs(p2 + p3 ^ x) ^ x) ^ p4;-568.8551891124093;[-0.8891815682290425, 1.065279679243073, 0.2348617303657024, 5.099449260223152, -0.05026925685543962];-568.8551891124093
6111;abs(p1 + abs(p2 + p3 ^ -x) ^ p4) ^ p5;-619.6811497822813;[0.6228109821803414, -0.2123058627409251, 5.160285689017568, 1.455453376598348, -1.6220614724175633, -0.0436844407881542];-619.6811497822813
7181;p1 + -1.0 / (p2 - abs(p3 + p4 ^ x) ^ p5);-620.4132526755634;[-0.2730224687771739, -0.4118212461951968, -0.21189405510255532, 0.19340579183714632, 1.4744754753059472, 0.043596111881495356];-620.4132526755634
42205;1.0 / (p1 + abs(p2 + p3 / p4 ^ x) ^ p5);-620.4787457231346;[0.46549213407698237, 0.27575661100909576, -1.3175814847541025, 5.286048694883292, 1.5765456452976063, 0.04358823347198032];-620.4787457231346
102000;p1 * (x + 1.0 / (p2 - x / p3 ^ x));-638.8278984860625;[0.31939564158515166, 0.5022263513247651, -3.065822633022458, 0.04143387395715283];-638.8278984860625
146527;p1 * (x + -1.0 / (p2 + x / p3 ^ x));-638.8278984860632;[0.3193956411380214, -0.5022263521933602, 3.065822624448505, -0.04143387479220155];-638.8278984860632
195569;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;[1.927580431816604, 4.042534136469229, 0.4626950274627606, -0.0389520185097851];-661.1879708742022
230619;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];-661.1879708742023
359852;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];-668.6547708198748
