evals;expr;nll;coeff;best_nll
1;abs(1.0 / (1.0 / (1.0 / x - x) - abs(x) ^ x)) ^ x;725.1887830473163;[-1.7938163402493543];725.1887830473163
17;abs(x + abs(abs(0.5 / x) ^ x) ^ x) ^ p1;227.5923300745523;[0.747117719995478, 0.45374021865422426];227.5923300745523
19;p1 * (x / (p2 + abs(1.0 / (p3 + x)) ^ x));74.96216042353828;[-1.2822085111252648, -1.7336106836071123, 2.1010923883791862e-8, 0.29764293555681826];74.96216042353828
27;p1 ^ (abs(1.0 / (p2 ^ x + abs(x) ^ x)) ^ p3);4.542665260737058;[1.8629611160080943, -0.12822614009042718, 0.05543504366710259, -0.2450262949365366];4.542665260737058
31;abs(p1 * p2 ^ (p3 + abs(x) ^ -x)) ^ x;-346.803482002817;[-2.213655228284525, -1.767824832144016, -1.1343279897171124, -0.09283243155413945];-346.803482002817
77;abs(abs(p1 + abs(1.0 / (p2 + x)) ^ x) ^ p3) ^ x;-352.0306821713098;[1.0905512618100812, 1.6348946176953048, 1.8618564175185808, -0.09150159294059741];-352.0306821713098
203;p1 ^ x + abs(x) ^ (abs(x) ^ -x - x);-391.14592042165236;[-1.1933441351920713, -0.08212998206921474];-391.14592042165236
288;p1 / (abs(1.0 / (p2 - x)) ^ p3 - p4 ^ x);-395.5825653614466;[0.8463574430831395, 0.03468549491596965, 0.29940650529647767, -0.5914458413372686, 0.0811295589229155];-395.5825653614466
302;p1 + x / (p2 + (x + 1.0 / (p3 + x)));-415.20746877978104;[0.34173115373258295, -1.01825952909847, 0.6420929072699424, 0.07684841003185847];-415.20746877978104
943;1.0 / (p1 - abs(p2 * p3 ^ (p4 ^ x)) ^ x);-540.6979963591996;[2.244558560988004, -1.1501132238380904, 5.029188389794417, -0.26847115870820193, 0.05433542691509216];-540.6979963591996
4488;p1 - abs(p2 + p3 ^ (p4 - x)) ^ p5;-581.5092159141241;[2.2065217645541346, -0.5202191037187535, -4.563108322859025, 0.5446093391714741, 0.9495291746176739, 0.0485424035663034];-581.5092159141241
6562;1.0 / (p1 + abs(p2 + p3 ^ (p4 + x)) ^ p5);-620.4787457231212;[0.46549213417011825, -0.2757565438114925, 0.18917718583183454, -0.165637192779991, 1.5765454172144222, -0.04358822484358579];-620.4787457231212
64597;abs(p1 / (p2 + x) + p3 ^ x) ^ p4;-628.0206403055406;[-0.3645171725371855, 0.029389325010778337, -0.32167018074976383, -0.22185012837792656, -0.04268952456277656];-628.0206403055406
74273;p1 * (x + -1.0 / (p2 + x * p3 ^ x));-638.8278984860593;[0.3193956427793211, -0.5022263539251534, -0.32617673117090656, -0.04143387786227064];-638.8278984860593
102775;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;[1.927580431816604, 4.042534136469229, 0.4626950274627606, -0.0389520185097851];-661.1879708742022
479621;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];-661.1879708742023
806975;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];-668.6547708198007
907915;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];-668.6547708198748
