evals;expr;nll;coeff;best_nll
1;p1 - abs(x) ^ (abs(p2 ^ (x + x)) ^ (1.0 / x));1.7976931348623157e308;[0.0, 0.0, 0.0];1.7976931348623157e308
2;1.0 / (x + (x - abs(abs(x) ^ (p1 ^ x)) ^ p2));1.7976931348623157e308;[0.0, 0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10;abs(x) ^ (x + abs(x) ^ (-1.0 / x - x));1384.157425545291;[-11.07511556163767];1384.157425545291
12;p1 ^ (abs(p2 * p3 ^ (p4 * x)) ^ x);-57.89578164455618;[-1.4697587988840204, 2.0496455445961708, 1.1465676078637022, -1.7218575594909127, -0.20620764472805345];-57.89578164455618
14;p1 - abs(p2 ^ x) ^ (x + abs(x) ^ x);-160.85099272479;[1.8519799056171877, -0.07436256232920192, -0.1551631241802862];-160.85099272479
152;abs(p1 ^ x) ^ (abs(p2 ^ x) ^ (abs(x) ^ (1.0 / x)));-287.8242114371792;[3.0748621192375443, 0.6270199998970551, 0.10925911082924354];-287.8242114371792
414;x * p1 ^ (-1.0 / (p2 + -1.0 / (p3 + x)));-308.3783449426964;[0.5155267430008129, -0.20858358222509268, -1.8562953656483614, 0.1032282795307808];-308.3783449426964
854;abs(p1 / (p2 + (x + -1.0 / (p3 - x)))) ^ p4;-343.49507270505933;[-10.092339137878003, -1.3358087311391276, 0.06074334283908227, 0.2743468775754683, -0.09368475009451287];-343.49507270505933
1298;p1 + abs(p2 ^ x) ^ (p3 - abs(x) ^ -x);-361.9124943047419;[-0.10490530422121325, 0.5457915390956071, -0.27614679494871297, 0.0890375730024112];-361.9124943047419
1529;p1 ^ (p2 * x - p3 ^ (p4 ^ x));-389.0970951338492;[-0.43449216534187196, 0.14024209751701258, 2.5987177473529e-6, -0.0007704285538818161, -0.08259612803170949];-389.0970951338492
1531;p1 / (-1.0 / x + p2 / (p3 + p4 ^ x));-397.91116441994666;[-4.581648687355409, -0.3496725576791811, 0.14568512867720254, 0.1474563265239372, 0.0806093493162725];-397.91116441994666
1670;p1 / (-1.0 / (p2 - p3 ^ x) + p4 ^ x);-444.199469608443;[-1.208319147348352, 1.253146280029899, -0.2601833971455209, -0.416164537056143, 0.07093373553247367];-444.199469608443
3107;p1 + 1.0 / (p2 + (x - x / (p3 - x)));-464.66561454055386;[1.2922007216839981, -1.251157374321511, 0.3449771762383662, 0.06703467760509277];-464.66561454055386
4576;p1 / (p2 - abs(p3 + x) ^ (p4 ^ x));-588.3719961900844;[0.4919621872751532, 1.296233516223017, 0.5039557204087282, 0.14611135489422605, -0.04763080025421934];-588.3719961900844
11679;abs(p1 / (p2 + x) + p3 ^ x) ^ p4;-628.0206403055406;[-0.3645171725371855, 0.029389325010778337, -0.32167018074976383, -0.22185012837792656, -0.04268952456277656];-628.0206403055406
90565;p1 / (abs(1.0 / x) ^ x - p2 ^ (p3 ^ x));-661.187970874199;[-1.9275804350248278, -4.0425341484973325, -0.4626950281228838, -0.038952020829361673];-661.187970874199
356870;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];-661.1879708742023
852421;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];-668.6547708198748
