evals;expr;nll;coeff;best_nll
1;1.0 / (p1 + abs(p2 + 1.0 / x) ^ (x ^ -2.0));1.7976931348623157e308;[0.0, 0.0, 0.0];1.7976931348623157e308
2;p1 / x - abs(x + abs(x) ^ x) ^ (1.0 / x);1.7976931348623157e308;[0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;abs(p1 / (p2 + abs(1.0 / x) ^ 0.0)) ^ p3;13.309966315176322;[11.296146235221252, -8.758039681736166, 1.561435202351002, -0.2510330475905358];13.309966315176322
39;p1 ^ (p2 ^ -(abs(p3 ^ (p4 - x)) ^ p5));-184.59484812878566;[1.8592848146622, -17.898778718473203, 14.974429900708019, 0.24436907522835946, 4.4090828004983775, -0.14531244338489557];-184.59484812878566
40;(p1 * x - x * x) + p2 ^ x;-216.1863696227253;[0.9619416578042304, -1.9783485107346215, 0.13316871171502911];-216.1863696227253
106;p1 + x * (p2 + abs(abs(1.0 / x) ^ x) ^ p3);-513.9544256648849;[0.7366905804489258, 0.33070328831213003, 1.2652932319966135, -0.05850154239504684];-513.9544256648849
8903;p1 / p2 ^ (abs(1.0 / (p3 - p4 ^ x)) ^ x);-534.0151986338275;[137.9226755266845, 240.36674083026375, -1.0631599893237285, -0.2419959277365918, -0.05534778522585044];-534.0151986338275
12783;p1 - abs(1.0 / (p2 - p3 ^ (p4 - x))) ^ p5;-581.5092159141263;[2.206521762656777, 0.5202190925720651, 4.563108482559073, 0.5446093311659693, -0.9495291625767617, 0.04854240231752504];-581.5092159141263
18927;1.0 / (p1 + abs(p2 + abs(p3 + x) ^ p4) ^ p5);-589.9088919731312;[0.4613709274570925, -0.2472490016915142, 0.8697073057269146, -2.361216029921564, 1.2789925770040294, -0.04742901192817151];-589.9088919731312
40157;1.0 / (p1 - abs(p2 * p3 ^ x) ^ (p4 ^ x));-607.2398861354517;[1.5945121102418214, -0.2394909670708674, 15.654352802251385, -0.08633318013998328, 0.045211822175527196];-607.2398861354517
50126;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;[1.927580431816604, 4.042534136469229, 0.4626950274627606, -0.0389520185097851];-661.1879708742022
251724;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];-668.6547708198007
419778;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];-668.6547708198748
