dummy,evals,expr,fitness
0,1,(((((-0.3884947) * log_v_k_nu) + (-1.7251076)) + ((-0.91422951) * log_v_k_nu)) + (abs(((-0.59301227) * log_v_k_nu)) ^ (-1.011147))),-3.4028235e+38
0,2,(abs(1 / ((((1.0384742 - 0.59642202) / 1 / (1.2227268)) * (1 / (((-1.4564793) * log_v_k_nu)) * (abs((0.46933928 * log_v_k_nu)) ^ (0.01892308 * log_v_k_nu)))))) ^ (abs(((((-1.2015384) * log_v_k_nu) - ((-2.2313902) * log_v_k_nu)) / (((-1.1179329) * log_v_k_nu) * 1.3268799))) ^ ((abs((1.3597686 * log_v_k_nu)) ^ ((-1.3077842) * log_v_k_nu)) * 1 / (0.63651484)))),-3.4028235e+38
0,3,(abs((((-0.2531808) * log_v_k_nu) * (-0.51503479))) ^ (1.1322079 * log_v_k_nu)),-3.0047567
0,4,(((1 / ((0.13007702 * log_v_k_nu)) + (((-0.53147423) * log_v_k_nu) / (0.18623269 * log_v_k_nu))) * ((((-0.67708075) * log_v_k_nu) - (0.95371401 * log_v_k_nu)) - ((-0.86487275) + (0.99481058 * log_v_k_nu)))) / (abs(((-0.066858597) / 1.4354128)) ^ ((-0.51720351) * (0.47228712 * log_v_k_nu)))),-3.4028235e+38
0,5,(abs((1 / ((abs((abs(((-0.34898353) * log_v_k_nu)) ^ ((-2.0024347) * log_v_k_nu))) ^ 1 / (1.1712224))) + (abs((1 / (0.029623177) * ((-0.57275206) * log_v_k_nu))) ^ (abs((-1.8153027)) ^ (0.71153539 * log_v_k_nu))))) ^ ((((-1.3712108) * (-1.7211269)) + (abs(((-0.14118558) * log_v_k_nu)) ^ (0.63607544 * log_v_k_nu))) + ((0.42774433 * (2.9376693 * log_v_k_nu)) / (0.76687163 - ((-0.12999944) * log_v_k_nu))))),-3.4028235e+38
0,6,((((0.38946483 + 0.99253684) + ((2.1829681 * log_v_k_nu) * ((-0.32579637) * log_v_k_nu))) * (abs(((0.13861863 * log_v_k_nu) / (2.4446161 * log_v_k_nu))) ^ ((0.37810835 * log_v_k_nu) / (-0.36139899)))) / ((1 / (1.2915807) / (-1.4104141)) * 1 / (((-0.029759347) * log_v_k_nu)))),-20577600
0,7,((abs((1 / ((((-1.1132475) * log_v_k_nu) - (1.9167358 * log_v_k_nu))) * (((-2.0125861) + (-1.7155503)) / ((1.5394999 * log_v_k_nu) / (-0.3207556))))) ^ (abs(1 / (((1.5993514 * log_v_k_nu) / (1.4873329 * log_v_k_nu)))) ^ 1 / (((0.20800476 * log_v_k_nu) / 0.36901057)))) + ((1 / ((0.86617202 / (0.73537862 * log_v_k_nu))) - ((((-0.68045962) * log_v_k_nu) / 0.2265632) / 1 / (((-0.21685846) * log_v_k_nu)))) + (abs(1 / ((abs(1.3197439) ^ ((-0.2440773) * log_v_k_nu)))) ^ (abs(1 / (0.30250937)) ^ (-0.41499004))))),-3.4028235e+38
0,8,((((((-1.4004812) * log_v_k_nu) - (0.46910137 * log_v_k_nu)) / 1 / (0.58181989)) - (0.45733407 / ((-0.10606788) * log_v_k_nu))) * ((((-0.040613066) * log_v_k_nu) / (-2.4964485)) * ((-1.269679) + ((-0.65131938) * log_v_k_nu)))),-3.4028235e+38
0,9,((1 / (((abs((-1.9088135)) ^ (-1.2570949)) * (0.88292217 - ((-1.5975957) * log_v_k_nu)))) / (abs(((abs(((-0.93992394) * log_v_k_nu)) ^ (-0.78407013)) + (0.062412906 - (0.084374771 * log_v_k_nu)))) ^ (((1.6534517 * log_v_k_nu) + 0.61064214) / (0.19958267 / 0.65180063)))) / ((abs((abs((abs(((-0.24304305) * log_v_k_nu)) ^ 0.16172953)) ^ (0.4762148 - 0.1898547))) ^ (((-1.5966958) * (-0.35678935)) - ((0.53709197 * log_v_k_nu) / (-0.28253573)))) + ((1 / ((-1.9383135)) + ((-0.80857128) * log_v_k_nu)) / (((-0.81403977) * log_v_k_nu) - (-0.028505838))))),-2.6748372e+28
0,10,((-0.48202175) / (-0.26805797)),-0.06317927
0,11,(abs((((-8.6559057) * log_v_k_nu) + (-0.10383889))) ^ (0.39295578 - (0.087215453 * log_v_k_nu))),-0.018212335
0,12,((1 / ((1.7454723 * log_v_k_nu)) * (0.29641491 * log_v_k_nu)) + ((-0.35723323) * (0.2521446 * log_v_k_nu))),-3.4028235e+38
0,13,((abs(1 / ((abs((1 / (((-0.5358758) * log_v_k_nu)) - (-0.19599625))) ^ 1 / (((-0.47409266) * log_v_k_nu))))) ^ ((((1.1880132 * log_v_k_nu) + (0.68837106 * log_v_k_nu)) * (0.4834477 * (-0.3382653))) * (((1.0368689 * log_v_k_nu) * ((-1.174611) * log_v_k_nu)) * (0.39059833 + ((-0.919855) * log_v_k_nu))))) * 1 / (((((-0.8559286) / ((-0.4254967) * log_v_k_nu)) * ((-1.0222483) / (0.6499359 * log_v_k_nu))) + (abs((((-0.022610763) * log_v_k_nu) / 0.71680379)) ^ (((-1.2161046) * log_v_k_nu) / (-1.0569284)))))),-3.727401e+23
0,14,(1 / (((0.88945019 * log_v_k_nu) * (1.237928 * log_v_k_nu))) * (abs(1 / (0.24419816)) ^ 1.8023013)),-3.4028235e+38
0,15,(1 / ((0.62050158 * log_v_k_nu)) + ((-0.048459642) * log_v_k_nu)),-3.4028235e+38
0,16,(abs(((abs(1.3092291) ^ ((-0.58072811) * log_v_k_nu)) - 1 / ((1.2763846 * log_v_k_nu)))) ^ ((-0.3427344) + 1.4138737)),-3.4028235e+38
0,17,((1 / (0.30737787) / 1 / (((-0.71835583) * log_v_k_nu))) * 1 / (((-0.15346329) * log_v_k_nu))),-3.4028235e+38
0,18,((((((((-0.48174623) * log_v_k_nu) * 0.10798919) * (1.3195363 / (-0.3751114))) - (1 / (((-1.9199586) * log_v_k_nu)) / (-1.3648931))) / ((1.2441461 / 0.92142504) / (0.33143106 + ((-0.64378339) * log_v_k_nu)))) / (1 / ((2.1422703 - ((-0.78065068) * log_v_k_nu))) / (((-1.0346421) - 0.31267864) + ((0.37228829 * log_v_k_nu) + 0.91529715)))) + ((1 / (1 / (1.6271501)) + (1 / ((0.20658244 * log_v_k_nu)) / ((-1.0740802) * ((-1.6035516) * log_v_k_nu)))) * 1 / (1 / (((0.27829689 * log_v_k_nu) / (0.97283399 * log_v_k_nu)))))),-3.4028235e+38
0,19,(((((-1.1034111) * log_v_k_nu) - ((-0.23370677) * log_v_k_nu)) + (abs((0.81141698 * log_v_k_nu)) ^ ((-0.68376803) * log_v_k_nu))) * (1 / (((-0.33354062) * log_v_k_nu)) * 0.40759116)),-3.4028235e+38
0,20,(1 / (((((0.15988074 * log_v_k_nu) + ((-1.0330701) * log_v_k_nu)) / ((2.1029279 * log_v_k_nu) * 0.35093012)) / 1 / (1 / (1.5350713)))) / (abs(((1 / (((-1.0282009) * log_v_k_nu)) / (abs(((-0.57602382) * log_v_k_nu)) ^ (0.45379969 * log_v_k_nu))) * (abs((1.857188 * (-0.27385405))) ^ (1.2898879 - ((-2.6590631) * log_v_k_nu))))) ^ ((((-1.0909096) * log_v_k_nu) - (0.56638533 * log_v_k_nu)) + (((-1.2773572) * log_v_k_nu) + ((-1.2079043) * log_v_k_nu))))),-3.4028235e+38
0,21,(1 / (((1 / (((-0.21635708) * log_v_k_nu)) / (abs((0.44185954 * log_v_k_nu)) ^ ((-1.3035321) * log_v_k_nu))) * (1 / (((-0.19200379) * log_v_k_nu)) - (-1.4659719)))) - (((abs((-0.1352299)) ^ ((-1.4359084) * log_v_k_nu)) + (1.5350031 * ((-0.2632623) * log_v_k_nu))) - ((abs(((-1.0865164) * log_v_k_nu)) ^ 0.030577464) + ((-0.86499673) - (1.0092981 * log_v_k_nu))))),-6529973.5
0,22,1 / (1 / ((((abs((0.51566476 * log_v_k_nu)) ^ (1.0685606 * log_v_k_nu)) / ((-0.59950691) * (-0.78150326))) / (1 / (0.21940458) * (0.1495194 * log_v_k_nu))))),-3.4028235e+38
