dummy,evals,expr,fitness,length
0,1,((abs(0.085401133) ^ 1.2596922) - 1 / ((-0.57041138))),-0.06317927,6
0,2,1 / ((abs(1 / ((0.84482265 * log_v_k_nu))) ^ 0.74026912)),-0.56915945,5
0,3,(abs((0.31334594 * log_v_k_nu)) ^ (-1.021791)),-3.4028235e+38,3
0,4,1 / ((2.2179048 * log_v_k_nu)),-3.4028235e+38,2
0,5,1 / ((1 / (2.1926372) / 1 / (1.2193511))),-0.0631793,6
0,6,1 / (((1.2540665 + (1.0776917 * log_v_k_nu)) - 1 / ((0.94609505 * log_v_k_nu)))),-6.0891986,7
0,7,(1 / ((1.8603801 * log_v_k_nu)) + 1 / (((-1.292078) * log_v_k_nu))),-3.4028235e+38,5
0,8,1 / ((abs((1 / (((-0.67117208) * log_v_k_nu)) - 1 / (0.86332089))) ^ (((0.5895316 * log_v_k_nu) / (1.2671843 * log_v_k_nu)) / (2.6911895 * log_v_k_nu)))),-3.4028235e+38,12
0,9,((((-0.8890605) * log_v_k_nu) * (-1.0939163)) - 1 / ((0.52879274 * log_v_k_nu))),-3.4028235e+38,6
0,10,(((-0.10834995) * log_v_k_nu) - ((-1.0161804) * log_v_k_nu)),-0.63508445,3
0,11,(((abs((1.1278564 * log_v_k_nu)) ^ 0.86625445) + (((-0.89353645) * log_v_k_nu) / (-0.84831005))) - 1 / (1 / ((0.33010042 * log_v_k_nu)))),-2.6883702,11
0,12,1 / (0.55611181),-0.06317927,2
0,13,(abs(1 / ((1 / (((-0.82295483) * log_v_k_nu)) - ((-0.58333427) * log_v_k_nu)))) ^ ((abs((-0.10696498)) ^ 0.52658236) * ((-1.1111395) * 0.15905119))),-3.4028235e+38,13
0,14,1 / (0.55611181),-0.06317927,2
0,15,((abs((0.2383994 + (0.11229786 * log_v_k_nu))) ^ (0.096195035 * log_v_k_nu)) + (abs((0.18789235 * log_v_k_nu)) ^ (-0.024328703))),-3.4028235e+38,9
0,16,(abs((abs((abs(1.7804381) ^ (0.67428672 * log_v_k_nu))) ^ (((-0.43795946) * log_v_k_nu) / (0.097720928 * log_v_k_nu)))) ^ 1 / (0.63247699)),-3.1185367,10
0,17,(1 / ((-0.23276848)) * (-0.39971408)),-0.06973741,4
0,18,(1 / ((-2.0794439)) - (-2.2790973)),-0.06317927,4
0,19,(((2.0715215 / (-2.0399404)) / ((-1.0277876) / (1.043779 * log_v_k_nu))) / ((2.2983465 * log_v_k_nu) + ((-0.17454164) * log_v_k_nu))),-3.4028235e+38,11
0,20,(1 / ((1 / (0.0081888624) - ((-1.9551672) * log_v_k_nu))) - (((-2.8023994) + (-0.0282632)) + (abs(1.0825791) ^ 0.51858956))),-0.06318595,13
0,21,(abs(((((-1.3135417) * log_v_k_nu) / (-1.3998992)) - (abs(0.024840621) ^ (-1.2243912)))) ^ 1 / (((-0.5054276) * log_v_k_nu))),-3.2571652,10
0,22,(1 / (0.60714376) * 1.0917661),-0.06317931,4
0,23,1 / ((-2059.6799)),-3.2984476,2
0,24,1 / ((((1.7634147 * log_v_k_nu) * (-0.22021936)) + (-0.37052017))),-8.645004,6
0,25,1 / (0.55611163),-0.0631793,2
0,26,((2.3689942 + 1.6055645) * 0.45242745),-0.06317927,5
0,27,((0.21990553 + (-0.23847684)) / (0.21185167 - (1.030353 * log_v_k_nu))),-3.2585208,7
0,28,((abs(1 / ((-0.67104661))) ^ (1.6719569 * ((-0.43342558) * log_v_k_nu))) - (1 / ((1.0307823 * log_v_k_nu)) + 1 / ((-0.79559135)))),-3.4028235e+38,12
0,29,(abs(1 / (0.90845114)) ^ (2.8043532 * log_v_k_nu)),-0.2166209,4
0,30,((0.025488585 * log_v_k_nu) + 1.7568586),-0.062790275,3
0,31,((1 / (0.057447664) / ((-0.38756901) + (3.1048603 * log_v_k_nu))) * ((1.6138997 * log_v_k_nu) / (-0.74105436))),-15616.05,10
0,32,(1 / (0.24533823) / (abs((0.39437017 * log_v_k_nu)) ^ (0.67983806 * log_v_k_nu))),-19.514631,6
0,33,((0.55464959 + 0.1752387) / (2.1561038 * log_v_k_nu)),-3.4028235e+38,5
0,34,((((0.89320749 * log_v_k_nu) - (1.0347147 * log_v_k_nu)) * ((-0.5750435) + ((-2.5041499) * log_v_k_nu))) / ((0.8876785 * log_v_k_nu) / ((-1.1429725) * log_v_k_nu))),-3.4028235e+38,11
0,35,(((-1.4108849) / ((-0.90931594) * log_v_k_nu)) + 1 / (0.84982622)),-3.4028235e+38,6
0,36,(((0.024016319 * log_v_k_nu) * (1.1855323 * log_v_k_nu)) + ((-0.31935871) * log_v_k_nu)),-5.054352,5
0,37,((0.025488749 * log_v_k_nu) - (-1.7568581)),-0.06279027,3
0,38,((abs((0.059573721 * log_v_k_nu)) ^ 1.6469368) + (abs((0.25764856 * log_v_k_nu)) ^ (0.92254263 * log_v_k_nu))),-2.17226,7
0,39,(1 / (((1.1017177 * log_v_k_nu) / (-0.72768605))) - (((-0.94701219) - ((-2.3409359) * log_v_k_nu)) + ((-0.82671356) / (-0.78742826)))),-3.4028235e+38,12
0,40,(abs((1.3480411 * log_v_k_nu)) ^ (0.21988223 * log_v_k_nu)),-0.41969278,3
0,41,(((0.3123067 + (-0.37310505)) * (((-0.26696816) * log_v_k_nu) * (0.7199316 * log_v_k_nu))) - ((0.82404774 - 0.59753925) / 0.37618282)),-5.6471043,13
0,42,(abs(1 / (1 / ((-0.76739794)))) ^ ((-2.1357377) - (0.049567066 * log_v_k_nu))),-0.06282346,7
0,43,((((0.12093187 * log_v_k_nu) - (3.0783758 * log_v_k_nu)) - ((-1.105468) + ((-3.064167) * log_v_k_nu))) - (((-1.1566792) - ((-0.14424822) * log_v_k_nu)) * 0.56315517)),-0.06279027,13
0,44,((abs(((-0.71127355) * log_v_k_nu)) ^ (0.84019178 * log_v_k_nu)) / ((-0.73654747) - (0.54903978 * log_v_k_nu))),-8.632124,7
0,45,((0.23600872 * log_v_k_nu) * 0.33851722),-2.8488464,3
0,46,(abs(((-0.41301617) * (0.66642553 * log_v_k_nu))) ^ (1.2523559 * log_v_k_nu)),-2.4558964,5
0,47,((abs(1 / (((-1.0844754) * log_v_k_nu))) ^ (abs(0.097931638) ^ ((-0.66358596) * log_v_k_nu))) - (abs(1 / (((-0.10541982) * log_v_k_nu))) ^ 0.89066666)),-3.4028235e+38,11
0,48,1 / ((0.39367211 * log_v_k_nu)),-3.4028235e+38,2
0,49,1 / (((1 / ((1.6546978 * log_v_k_nu)) - ((-0.37870401) * ((-0.33219519) * log_v_k_nu))) + ((1.0391105 / 0.94231308) / (0.67171806 * log_v_k_nu)))),-1.2497212,13
0,50,((1 / ((1.2739111 * log_v_k_nu)) + (((-1.8685954) * log_v_k_nu) - (-0.0045183538))) / 1 / (((-0.64222878) / 0.9455049))),-3.4028235e+38,11
0,51,1 / ((1.7407436 * log_v_k_nu)),-3.4028235e+38,2
0,52,(1 / (1.5106444) / (0.68398696 * log_v_k_nu)),-3.4028235e+38,4
0,53,1 / ((1 / ((0.71898955 - 0.16170622)) - (1 / ((0.4746303 * log_v_k_nu)) + 1 / ((1.1144595 * log_v_k_nu))))),-317.31964,11
0,54,1 / ((1 / (1 / ((0.14809364 * log_v_k_nu))) * ((-1.7524202) - 0.28453138))),-3.4028235e+38,8
0,55,1 / ((0.41826367 * log_v_k_nu)),-3.4028235e+38,2
0,56,((((-0.061113633) + (-1.3545924)) * (-1.3045473)) - (abs((-0.04450858)) ^ (1.187018 * log_v_k_nu))),-0.029795306,9
0,57,1 / ((((0.54392695 - 0.34615538) - (-1.0258625)) - 1 / (1.4974492))),-0.06318011,9
0,58,((((-0.70058709) + 0.31367281) / 1 / (0.28159064)) + ((-1.6745932) * ((-1.1637172) * log_v_k_nu))),-3.8492796,10
0,59,(abs((abs((-0.60577625)) ^ (1.1772285 * log_v_k_nu))) ^ ((-3.3828852) / ((-2.0068336) * log_v_k_nu))),-2.10416,7
