dummy,evals,expr,fitness,length
0,1,(((0.31861055 * log_v_k_nu) - ((-0.57549071) * log_v_k_nu)) / (((-0.064809747) * log_v_k_nu) * (-0.67020565))),-3.4028235e+38,7
0,2,1 / ((1 / (0.33755454) * ((-0.50832665) * log_v_k_nu))),-3.4028235e+38,5
0,3,((((-0.10791386) + (-0.089301288)) / (0.77598774 / ((-0.18649019) * log_v_k_nu))) + 1 / (1 / (1.4334857))),-0.14592956,11
0,4,((abs(((-3.3274541) * log_v_k_nu)) ^ 1.8710046) - ((1.8175642 * log_v_k_nu) / 1.4468975)),-988.03894,7
0,5,(abs((((-0.68548852) * ((-0.51640093) * log_v_k_nu)) * 1 / (((-0.49335268) * log_v_k_nu)))) ^ ((0.3411504 * log_v_k_nu) / 0.30933973)),-1.601624,10
0,6,(1.7568582 - ((-0.025488734) * log_v_k_nu)),-0.062790275,3
0,7,((1 / ((0.030654088 * log_v_k_nu)) + (-1.5663426)) - ((-1.2144213) + (1.8758836 * log_v_k_nu))),-3.4028235e+38,8
0,8,(abs((-0.61176318)) ^ (-1.1940862)),-0.06317927,3
0,9,(abs(0.59677351) ^ (-1.1367028)),-0.0631793,3
0,10,(abs(((1.8254439 + (-0.87289751)) / (abs(0.22565223) ^ (1.1249055 * log_v_k_nu)))) ^ (1 / ((0.16900761 * log_v_k_nu)) - (-0.86119938))),-261772560000,12
0,11,((1.8542818 + 0.60827947) + ((-0.70570314) + (0.025488913 * log_v_k_nu))),-0.06279028,7
0,12,(((((-1.3964878) * log_v_k_nu) / ((-1.5039381) * log_v_k_nu)) - ((-0.46111402) * log_v_k_nu)) / (abs(0.44110429) ^ ((-0.26139566) * log_v_k_nu))),-3.4028235e+38,9
0,13,(((abs(((-0.41027611) * log_v_k_nu)) ^ 0.66092682) - (((-0.34156126) * log_v_k_nu) / (0.009202987 * log_v_k_nu))) + (1 / (((-0.13899136) * log_v_k_nu)) + 0.99936354)),-3.4028235e+38,12
0,14,((abs((abs(1 / (0.35984987)) ^ 0.17507926)) ^ (0.7765342 + (0.63485622 * log_v_k_nu))) / 1 / ((0.83121246 / (0.34206763 * log_v_k_nu)))),-3.4028235e+38,13
