dummy,evals,expr,fitness
0,1,1 / ((abs(((((1.1298707 * log_v_k_nu) * ((-0.0455929) * log_v_k_nu)) / ((-0.0076269098) / (1.5233483 * log_v_k_nu))) * (1 / ((-0.15505676)) - (-2.9409485)))) ^ ((0.51316285 + ((-0.18011588) * log_v_k_nu)) * 1 / (0.42863724)))),-3.4028235e+38
0,2,1 / ((abs(1 / (((((-2.6409917) * log_v_k_nu) - (2.933526 * log_v_k_nu)) - 1 / ((-93.474373))))) ^ (abs((1 / (29.098063) - (29.427113 * log_v_k_nu))) ^ ((-0.19721559) - (0.071018808 * log_v_k_nu))))),-0.01255673
0,3,(1 / (((abs(((0.46424359 + 0.027007213) - (0.44929612 * log_v_k_nu))) ^ ((-0.030222865) + ((-0.90150034) * log_v_k_nu))) + ((abs(1.5037539) ^ (0.2148656 * log_v_k_nu)) + ((-0.075212568) + 0.64930314)))) + (abs((1 / ((0.90553111 * 2.4535308)) - (((0.16978805 * log_v_k_nu) * 0.56325269) + 1 / ((1.4425011 * log_v_k_nu))))) ^ (1 / ((abs((0.75796294 * log_v_k_nu)) ^ (0.011952698 * log_v_k_nu))) * ((((-0.26412189) * log_v_k_nu) - (-0.1377532)) / ((0.02419487 * log_v_k_nu) + ((-1.8310899) * log_v_k_nu)))))),-3.4028235e+38
0,4,(((abs(((((-0.38793695) * log_v_k_nu) + (-0.48909175)) + ((-1.0096872) + 1.0146785))) ^ 1 / ((abs(((-1.5399101) * log_v_k_nu)) ^ 0.89152825))) + ((((0.43760505 * log_v_k_nu) - (0.57739544 * log_v_k_nu)) * 1 / (0.49830875)) - ((((-0.75894654) * log_v_k_nu) + (0.38218537 * log_v_k_nu)) / ((-0.80378085) / (-0.21901096))))) + (((abs(1 / ((-0.99491632))) ^ (1.4683233 / 0.64484173)) - 1 / (1 / (((-1.3587986) * log_v_k_nu)))) - ((((-0.82474273) * log_v_k_nu) * (0.1613092 * log_v_k_nu)) + ((-0.92022723) * (1.2774812 * log_v_k_nu))))),-25.043148
0,5,(((-0.32724237) - (-1.8989267)) - 1 / (((-0.7487483) * log_v_k_nu))),-3.4028235e+38
0,6,((abs((abs((-0.22653827)) ^ ((-0.15224615) * log_v_k_nu))) ^ (1.3331012 / (-0.18793491))) * 1 / ((((-0.93865794) * log_v_k_nu) * 1.8900682))),-3.4028235e+38
0,7,(abs((abs((0.82624745 + (-0.74123013))) ^ ((-0.29678315) * log_v_k_nu))) ^ (((-0.31547233) * log_v_k_nu) + 1.0902929)),-0.06044835
0,8,1 / (((abs(((abs(((0.94710326 * log_v_k_nu) - 0.290979)) ^ (((-0.49398643) * log_v_k_nu) - (1.0387009 * log_v_k_nu))) / (1 / ((-0.42109653)) * ((-0.80508184) * log_v_k_nu)))) ^ 1 / ((abs((0.31139517 * log_v_k_nu)) ^ (-0.69268161)))) - ((1 / ((-1.9324698)) - (abs(((-1.3050704) * log_v_k_nu)) ^ (0.64709806 * log_v_k_nu))) / (((0.93443847 * log_v_k_nu) / ((-0.66002405) * log_v_k_nu)) * 1 / (((-1.5152873) * log_v_k_nu)))))),-3.4028235e+38
0,9,((abs((abs(((((-0.08462771) * log_v_k_nu) - ((-0.82554907) * log_v_k_nu)) - (abs(1.1778965) ^ (-0.36361048)))) ^ 1 / (((-1.5157453) - 2.351136)))) ^ 1 / (((abs(2.1627314) ^ ((-0.70598245) * log_v_k_nu)) / (abs(((-0.57137316) * log_v_k_nu)) ^ 0.069024548)))) * (((abs((((-0.67801994) * log_v_k_nu) * 0.20223589)) ^ ((0.68349808 * log_v_k_nu) + (-0.77848601))) / 1 / ((abs(0.75686252) ^ (-0.95436972)))) - (((((-0.33541861) * log_v_k_nu) - (0.8676874 * log_v_k_nu)) - 1 / (1.2531958)) - (abs((0.13539547 * (0.83574438 * log_v_k_nu))) ^ 1 / ((-0.03524743)))))),-3.4028235e+38
0,10,((((abs(0.40686232) ^ (-0.99586189)) - ((-0.48707402) * ((-0.40669781) * log_v_k_nu))) + (abs((1.364091 - (-0.14865603))) ^ 1 / (((-0.022728482) * log_v_k_nu)))) / (1 / (((2.4084103 * log_v_k_nu) - (-1.0037873))) - (1 / (1.3763897) + ((-0.8068015) * log_v_k_nu)))),-49.17088
0,11,(((abs(((0.27120778 - (-0.84918553)) - ((-1.7900552) / ((-1.0257113) * log_v_k_nu)))) ^ (((0.61844707 * log_v_k_nu) / (2.8363786 * log_v_k_nu)) - ((-0.23534237) * 0.47137588))) + (1 / (1 / (0.55969965)) + ((((-0.92360777) * log_v_k_nu) + (-0.31845957)) / (((-0.4583973) * log_v_k_nu) - ((-0.86413991) * log_v_k_nu))))) - (((0.71264058 - 0.81881982) / 1 / ((-0.55606139))) + ((abs((-2.3004858)) ^ (1.7169465 * log_v_k_nu)) + 1 / ((1.2897524 * log_v_k_nu))))),-3.4028235e+38
0,12,((((abs(((-0.84600174) * 0.75326061)) ^ ((-0.076528691) + ((-0.16874786) * log_v_k_nu))) / (1 / (1.5355828) - (abs(0.52983469) ^ ((-0.61138266) * log_v_k_nu)))) * 1 / (1 / ((0.025298856 - (-0.93819839))))) * 1 / ((abs((((-0.625103) * log_v_k_nu) + (1.9293787 * log_v_k_nu))) ^ ((-0.60422909) / (-0.74952447))))),-3.4028235e+38
0,13,(abs((((((abs((-0.25207347)) ^ (-0.48155132)) * ((-1.086054) * (0.8007369 * log_v_k_nu))) + (1 / (1.6311589) + ((-0.45572865) * log_v_k_nu))) * 1 / ((abs((2.388623 * log_v_k_nu)) ^ (-0.86723101)))) / (((0.18972173 - ((-0.98562241) * log_v_k_nu)) / (1.6487525 * 0.21129952)) * 1 / ((abs((-0.64323032)) ^ (0.47652578 * log_v_k_nu)))))) ^ 1 / (((abs(((-0.10920146) - (-0.89108974))) ^ (0.82603139 / (1.0130757 * log_v_k_nu))) * ((0.15342322 / 0.89994675) + (abs((-0.21672522)) ^ 0.41430536))))),-0.8983175
0,14,(((1.6280507 / (-0.59880972)) / (0.97117364 * (-1.7954278))) - ((-0.19769679) + ((-0.025488883) * log_v_k_nu))),-0.06279029
0,15,(1 / (((-1.0233591) / ((-0.22562248) * log_v_k_nu))) - (1 / (1.4834734) - (-1.7909696))),-15.339803
0,16,((1 / ((abs(1 / (((-0.12656006) + (-0.70728558)))) ^ (abs(((0.055446718 * log_v_k_nu) * (-1.3284975))) ^ (0.92108178 * 0.32638267)))) - (((1 / ((0.90376472 * log_v_k_nu)) + (-0.0095948465)) + (((-0.031889442) * log_v_k_nu) * (-0.60517883))) - 1 / ((abs((0.1508112 * log_v_k_nu)) ^ (0.30861261 * log_v_k_nu))))) / (abs((1 / (((-1.0761346) * (-0.5159682))) + (((1.4738393 * log_v_k_nu) * ((-0.098896861) * log_v_k_nu)) + 1 / ((-0.84275097))))) ^ 1 / (((0.211628 / (-0.063466787)) * (0.95582116 - ((-0.27384844) * log_v_k_nu)))))),-3.4028235e+38
0,17,(1 / ((((((-0.55538356) * log_v_k_nu) + 0.22540119) - ((1.3186399 * log_v_k_nu) / (2.2188096 * log_v_k_nu))) / ((0.36668608 * log_v_k_nu) * 0.64876384))) - (((((-0.57122368) * log_v_k_nu) * (-1.4964914)) - 1 / (1.5972346)) + (abs((0.51174945 - (-1.7146353))) ^ ((0.022408957 * log_v_k_nu) + (0.93063802 * log_v_k_nu))))),-3.4028235e+38
0,18,(1 / (1 / (((0.12738079 * log_v_k_nu) / ((-0.96630234) * log_v_k_nu)))) - (abs((abs((0.09350469 / ((-0.77384269) * log_v_k_nu))) ^ ((0.96396929 * log_v_k_nu) / (1.3654773 * log_v_k_nu)))) ^ ((((-0.028908847) * log_v_k_nu) * 0.17802225) + ((-0.026409626) - ((-1.1622267) * log_v_k_nu))))),-3.4028235e+38
0,19,(((((abs(((-1.4425762) * log_v_k_nu)) ^ ((-0.59397238) * log_v_k_nu)) - (0.63094556 * (1.9181025 * log_v_k_nu))) / (((-0.90447783) + (-2.7004004)) * 1 / ((-0.80906278)))) + (((1.2731718 - ((-1.6658125) * log_v_k_nu)) + (-0.72336435)) - (abs((0.043435745 * log_v_k_nu)) ^ 0.57234687))) - ((((0.11483852 * log_v_k_nu) + (-0.20311154)) + (abs((0.22846305 * log_v_k_nu)) ^ (0.064663194 * log_v_k_nu))) / ((1.1171559 / ((-0.23728126) * log_v_k_nu)) * ((-1.6848357) * ((-2.079365) * log_v_k_nu))))),-3.4028235e+38
0,20,(((abs(0.3174482) ^ 1.5442008) * ((-0.20255597) - (-1.3307812))) * ((((-0.61683953) * log_v_k_nu) * ((-2.0253427) * log_v_k_nu)) + 0.77224058)),-1.2424039
0,21,((((abs((((-0.5005672) * log_v_k_nu) + (-1.3413007))) ^ ((0.46044943 * log_v_k_nu) + (0.76087886 * log_v_k_nu))) * (((-0.79279912) + (-0.8681829)) / ((0.40535107 * log_v_k_nu) * 0.024935434))) / ((abs(1 / ((0.49873587 * log_v_k_nu))) ^ (abs((-1.5437371)) ^ (-0.81169164))) / (((-0.56215811) * 0.77273571) * ((-1.2651528) + ((-0.12323935) * log_v_k_nu))))) - 1 / ((((0.98305285 + (-1.8406024)) * (0.4001756 * log_v_k_nu)) + (((-1.2531389) * log_v_k_nu) / ((-0.10278178) * log_v_k_nu))))),-3.4028235e+38
