dummy,evals,expr,fitness,length
0,1,(abs(0.72718179) ^ ((-0.84471154) * log_v_k_nu)),-0.21662104,3
0,2,(((((-0.68284291) * log_v_k_nu) - 1.6237475) / (1.1313879 * 0.96600562)) * 1 / (((-1.2957134) * ((-0.32716325) * log_v_k_nu)))),-3.4028235e+38,12
0,3,(((((-0.62367463) * log_v_k_nu) + ((-0.69603741) * log_v_k_nu)) - ((-2.1251669) * log_v_k_nu)) - ((0.77996588 * log_v_k_nu) + (-1.756858))),-0.062790275,9
0,4,(1 / (0.56797284) / (abs(1.6723411) ^ ((-0.025248395) * log_v_k_nu))),-0.06282341,6
0,5,1 / ((abs((abs((0.39055762 - 0.39042667)) ^ 0.055688646)) ^ (abs((-0.57509863)) ^ ((-0.17108117) * log_v_k_nu)))),-0.06748233,10
0,6,((0.33851761 / 1.0859803) * (1.4181941 * log_v_k_nu)),-1.3356577,5
0,7,1 / (((1 / (1.6712219) + (-0.13675104)) + ((-1.3848085) * ((-0.24620435) * log_v_k_nu)))),-0.756278,9
0,8,((0.59255803 * 0.50751787) - 1 / ((0.43443814 * log_v_k_nu))),-3.4028235e+38,6
0,9,((abs(((-0.40387908) * log_v_k_nu)) ^ (0.43537113 * log_v_k_nu)) * ((1.058738 * log_v_k_nu) + (0.67117816 * log_v_k_nu))),-3.7836254,7
0,10,((((-1.7379111) * log_v_k_nu) - ((-1.1433357) * log_v_k_nu)) / (abs((-0.31461716)) ^ (-0.72458887))),-5.018633,7
0,11,(abs(((0.26618037 / (-0.69949406)) - 1 / (0.65440083))) ^ ((-0.54114455) + 1.4490151)),-0.06317935,10
0,12,1 / ((1 / (((0.16570085 * log_v_k_nu) + (-0.13530202))) / (1 / (((-0.16157018) * log_v_k_nu)) + ((-0.28000861) * log_v_k_nu)))),-3.4028235e+38,10
0,13,((((0.7364853 * log_v_k_nu) + (1.3540441 * log_v_k_nu)) / ((0.45348424 * log_v_k_nu) - ((-0.1849256) * log_v_k_nu))) + (abs(1 / (0.967996)) ^ 1 / ((-2.2355812)))),-3.4028235e+38,13
0,14,(((abs(((-0.56344676) * log_v_k_nu)) ^ (0.05369978 * log_v_k_nu)) * ((-1.3936534) / (0.24754207 * log_v_k_nu))) / 1 / (((0.91296893 * log_v_k_nu) - (-1.6619982)))),-3.4028235e+38,12
0,15,((1.5352361 - 1.8668438) * 1 / ((-0.18441086))),-0.063179314,6
0,16,(abs(1 / ((abs(1.6378976) ^ ((-0.88031751) * log_v_k_nu)))) ^ ((1.1032495 * ((-0.53684425) * log_v_k_nu)) - 1 / ((-0.068700552)))),-207253610000000,11
0,17,(((-1.2055614) - (0.18512589 * log_v_k_nu)) + ((0.2106151 * log_v_k_nu) + 2.9624193)),-0.06279028,7
0,18,((abs(1 / (0.5790956)) ^ 0.51890981) / (abs((-0.79697472)) ^ 1.3365774)),-0.06317932,8
0,19,(1 / (((-0.12356524) * log_v_k_nu)) - (-1.4056268)),-3.4028235e+38,4
0,20,1 / (((0.45440844 + 1.1771287) / 1 / (((-0.88384032) * log_v_k_nu)))),-3.4028235e+38,7
0,21,(1 / (((-0.40372348) * log_v_k_nu)) - 0.20079982),-3.4028235e+38,4
