generation,individual_index,expression,fitness
0,0,(abs((0.010756134460127725) + (0.3141135593584742))**(x0)) * ((abs(x0)**(x0)) * (x0)),-4075.002786582303
0,1,((x0) + (-0.5021945000016236)) - (((x0) + (x0)) / (x0)),-3463.7705688948718
0,2,(((x0) * (-2.4002264444351544)) * (x0)) * ((2.085512503758717) + ((0.31240848446704594) + (x0))),-4756.485535677833
0,3,((x0) - (x0)) + ((x0) * ((x0) * (1.1073697800131914))),-5332.621130665713
0,4,((x0) + (0.6836062044616927)) * ((abs(-0.9776637031506479)**(x0)) * (0.4760538057713084)),-1455.5493292331025
0,5,abs((x0) - ((-0.05201864509431045) - (x0)))**(((-0.5667411633059867) / (0.7752335880152829)) * (-0.9976483648142884)),863.6836280817516
0,6,(((x0) / (x0)) - (x0)) + ((-0.1156948034434381) * ((x0) + (-0.5186587661388793))),-2503.915043162638
0,7,abs((x0) * (x0))**(abs(x0)**(0.6384093002409202)),-3340.013545488088
0,8,((x0) * (x0)) + (((0.6785167163221162) + (0.010159390240705146)) - (x0)),-2017.4487986360296
0,9,((0.6007798545091925) + (0.05925409982113787)) / (abs(0.5843311823908716)**((-0.5934877371288005) + (x0))),-1652.1582575778093
0,10,((x0) * (-1.9672072673309922)) + ((abs(x0)**(0.822819111734108)) - (0.26541014654845957)),-319.7526074778029
0,11,((x0) / (abs(0.97008413380597)**(x0))) + (abs((8.261307911866004e-07) * (-0.17365228801047367))**(x0)),-1424.8105637747674
0,12,((0.825444597361197) - (-0.8810455735700761)) + ((0.09631464906990915) + (-0.9527016978771163)),-2604.6529936119805
0,13,abs((x0) - ((x0) * (x0)))**((x0) - (-0.25955069619069165)),-3518.644828679741
0,14,((0.06358791744980084) + ((0.5473750689366407) - (0.25828615411740397))) / (((x0) * (0.31326343438691767)) + (x0)),-4971.592891500214
0,15,((x0) * (abs(-0.16311616832296125)**(-1.133755531918004))) * ((-1.3577323168167137) * (x0)),-4584.655889431531
0,16,((abs(x0)**(1.7359861185948215)) / (x0)) / (((x0) * (x0)) - (-0.6727308867869745)),-3784.373538306468
0,17,(((-0.8573968510688346) - (0.9340437469600061)) * (0.7812798586819476)) * ((0.35646773060759285) / ((-0.579301330483687) * (1.0141252025872471))),-2604.653873048821
0,18,((abs(x0)**(0.47004252122060775)) / ((0.4501420884853254) * (0.7419454836225879))) + ((0.6937527583367994) * (-0.5177112830783059)),-1420.5235655324566
0,19,((-0.587586597140847) - ((-0.7403012598118945) / (0.7369464569267552))) / (abs(-0.4338760046528524)**(x0)),-1549.0912556671135
0,20,(abs(abs(-0.8379531152080362)**(-0.08259836356821447))**(x0)) * ((abs(0.32894819174204865)**(1.2185219856816494)) + (x0)),216.82058880234985
0,21,abs(abs((x0) * (x0))**(0.22699296483279563))**(abs((x0) / (x0))**(-0.5720856473785099)),-1186.0707175557163
0,22,((x0) - (-0.1284867781042386)) / ((0.8773284232825539) * (0.7601320112116295)),612.4111244675079
0,23,abs((x0) + (x0))**((0.011127827079855742) / ((x0) * (0.671392548099407))),-2122.502469130985
0,24,((0.20018084631461555) + ((0.4653007502370337) + (x0))) * (((-0.7245926044943592) - (x0)) / (1.871179195338747)),-701.5999682806043
0,25,(abs(-0.004607069331731155)**(x0)) - (abs(abs(x0)**(-0.1433090253445959))**(0.05920539162617531)),-1892.747636511997
0,26,abs((abs(x0)**(x0)) - (x0))**(((0.20390772127960474) / (x0)) - (-0.053137508701444645)),-1806.4688847572168
0,27,((x0) - ((x0) - (x0))) - ((x0) - (-0.8499293343197153)),-2604.6530013383126
0,28,(((0.0188092697709598) - (-0.20621141817409364)) + (x0)) - (((0.7852831325004168) * (x0)) * (-0.35621521529565614)),547.5185822900492
0,29,((-1.7452409343237743) * (x0)) - (abs(0.1353752349348787)**(abs(0.17832222280012858)**(0.08297782505666286))),201.38296790802414
0,30,(abs((x0) / (x0))**(x0)) * ((x0) / (x0)),-2632.9186264222485
0,31,((-1.0003349259773284) * (-1.13980444438243)) / (((1.1283739847779357) - (x0)) - ((x0) + (x0))),-4454.537858971611
0,32,((x0) + (x0)) / (((x0) * (x0)) * ((-1.1834437929870785) + (x0))),-5777.538246031816
0,33,((x0) / (abs(1.160098169353094)**(x0))) / (abs(0.08355750711891982)**(abs(-0.35999192302794036)**(0.7389585682918111))),-544.8980351384237
0,34,(((x0) / (-1.1167465175651445)) + ((x0) - (x0))) / ((1.0535599452047997) * (x0)),-2604.6531257113675
0,35,abs((1.1576667053684269) + ((0.42048875320733414) / (-1.2782622301748363)))**((0.6647168485163266) * ((-0.060929970811963996) / (-0.6726168593452978))),-2627.3765961382583
0,36,((x0) / ((x0) / (x0))) / (((x0) + (-0.46461503115185626)) * (0.6158863447659929)),-2177.201651141123
0,37,((x0) * ((0.6331871182610533) + (x0))) - (((-0.2676073489781616) / (x0)) * (x0)),-1278.5894581260497
0,38,((1.144448313476031) - (abs(x0)**(0.8835865032530731))) + ((-0.33172589535677854) - (abs(0.8454647030957649)**(-0.10904220986555606))),-310.47277901053207
0,39,((x0) * ((-1.7758012712868751) * (x0))) * ((-1.7202694706869732) * ((1.7099614651350123) * (1.7108398697279705))),-4328.995669302866
0,40,((abs(-1.7919624981737663)**(x0)) / (x0)) / ((2.1363393246311064) / (x0)),-1300.5415714341314
0,41,abs(((-0.012215911842154177) + (-0.021393114529059475)) / (0.030879567521306533))**(((-0.3526520272558387) / (x0)) * (0.7506393221083031)),-4707.243700241208
