generation,individual_index,expression,fitness
0,0,(((0.17647344905398796) / (-0.7684761913823888)) + (x0)) / ((x0) * (x0)),-5740.709796346453
0,1,((x0) / (-0.9254210324742831)) * (((x0) / (-0.25635781582636324)) / (0.48024441389134465)),-4328.239258031668
0,2,((x0) + (x0)) / ((-0.33343856464826366) - (x0)),-1173.0991320144462
0,3,abs((-1.4495598358876498) * ((x0) * (x0)))**(((x0) - (0.8268230846702852)) - (-0.9807967250051276)),-2986.6343738426044
0,4,((abs(-1.0239907815159122)**(x0)) * (x0)) * (abs(0.9618977566696613)**(-0.12349949434498148)),-2705.9422125716233
0,5,((0.150034836122598) - ((x0) / (x0))) + (((x0) - (x0)) / (x0)),-2604.652968461181
0,6,abs((x0) * (x0))**((0.10113333633607757) * (x0)),-2519.298794261181
0,7,abs((x0) / ((-0.30923633648614546) - (x0)))**((x0) - (x0)),-2629.746661634964
0,8,(abs(x0)**(x0)) + (abs(-0.23368197078707337)**(x0)),-3957.1517072774136
0,9,abs((-0.4894338704837874) - (-0.655386954232865))**(abs(-0.0014067715532771023)**(x0)),-1767.4858105588178
0,10,(((x0) / (0.4758759506746352)) * ((-0.8525048008957384) * (-0.7652763223100202))) + (abs(-3.239320098577786)**(-1.142785061880094)),-389.490854326362
0,11,abs((-0.1357606467143762) + ((x0) / (-0.49006500965688093)))**((1.049087571965534) * (abs(-0.6427617632675781)**(x0))),-1434.0593528743336
0,12,(abs(0.11321324975517039)**(x0)) + (((x0) * (-1.233305678124449)) / (x0)),-1541.533866295436
0,13,((1.290908940512591) / ((x0) / (x0))) * ((0.13906167037373737) + (abs(x0)**(0.8834681442536045))),671.5212880784934
0,14,(((x0) - (0.5112629785541959)) * (x0)) + (((x0) * (-0.27666305711618977)) - (x0)),-2943.398241396999
0,15,abs((1.010335463994074) + ((x0) * (-0.3389213353350494)))**((-0.15655433050572148) / (-0.9176216563957763)),-3015.6356712910056
0,16,((x0) + ((x0) / (x0))) + (((x0) / (x0)) * (x0)),-2513.0894591955066
0,17,abs(((1.5285033708582811) - (-0.10804468238943149)) * (0.7115299776625473))**((0.7827552049104443) + (x0)),-2291.0493349873122
0,18,((-0.0732256170951488) / (x0)) / (((0.5156645884399021) / (-0.8851551468739697)) * ((-0.33049541350320577) + (x0))),-6131.180567515665
0,19,(abs(x0)**(0.9983844018996549)) - (((-0.016909011600240234) / (0.7361316340101146)) + ((-0.5723700440215184) * (0.38899109212178923))),91.76377236276721
0,20,abs((x0) / (-0.7092882283590592))**(abs(x0)**(-1.0019737183374644)),-19418.96744495204
