generation,individual_index,expression,fitness,nodes
0,0,(abs(x0)**(1.4684277164582906)) + ((-0.4786497412073324) * (-0.7970666115281426)),-739.7021400537516,7
0,1,((0.5466242080280234) * ((-1.2790847489631982) / (x0))) + (1/(x0)),-5055.908866948144,8
0,2,((0.43790556117200874) / ((0.31411969543367474) / (-0.38414268292992604))) * (1/((x0) + (x0))),-4970.82148826409,10
0,3,1/((x0) + (1/(1.00340118184588))),-3844.5178600606528,5
0,4,abs((abs(1.9260594346015094)**(x0)) * (0.7339403035541325))**(abs((x0) * (0.7787062749938118))**(-0.4692582882618599)),672.3429684105809,11
0,5,(abs((-0.4143594721529118) - (0.5762709311987053))**(0.47470816184624104)) / (1/(0.8537778549309483)),-2604.652967614882,8
0,6,abs(((-0.33018312632415353) / (-1.1004669397891484)) + (x0))**(1/(0.8876333113158987)),299.0302625673601,8
0,7,1/((x0) / (x0)),-2629.7466588746174,4
0,8,1/((x0) + ((2.248729209694369) * (x0))),-4976.7620778879445,6
0,9,((1/(0.8515846498544735)) / (x0)) / (((-0.56115068653358) + (x0)) * ((x0) - (x0))),-0.0,12
0,10,(1/(x0)) / (abs(x0)**((-0.833483520693631) + (-0.6935670857061373))),-1039.3708605382235,8
0,11,((0.6858627781321521) / ((-0.6263408692262472) - (0.31310420008431444))) / ((-0.7373429397037464) - ((-0.7137525657834027) + (0.8354039899747963))),-2604.6529758480488,11
0,12,1/((x0) + (1.3986375830776647)),-3769.385538705071,4
0,13,1/(1/((-0.2581137141812737) - (x0))),244.0210693599474,5
0,14,((abs(0.5525693350699207)**(0.03750586429932026)) - (-0.6441281202923743)) + (1/((x0) * (x0))),-6685.703368014311,10
0,15,(((x0) / (0.840453566234064)) + (x0)) - (((0.29274981761921476) - (0.8168623520622661)) / (1/(0.25429492815766924))),85.08749148202011,12
0,16,((0.18316535893416017) / (abs(0.5012482479334596)**(x0))) / ((x0) + (x0)),-4036.510994680677,9
0,17,((1/(x0)) - ((-1.4380584763556536) + (0.3466674002984252))) - ((x0) - (x0)),-5021.761986528947,10
0,18,((0.5652228406346661) + ((x0) * (-1.1753537169530524))) / (((0.8300893823214562) / (x0)) * (x0)),-1953.7148322036624,11
0,19,(abs(-0.4479443680482516)**(-0.8145396272278983)) + (1/(-0.947683960084369)),-2886.6826575314217,6
0,20,((abs(-0.4482298266028096)**(-0.5209372008216114)) * ((x0) + (-0.056316053551617146))) + ((0.01313834776622358) * (1/(x0))),-3448.759601248139,12
0,21,1/((-1.1606004584233762) * (abs(-0.6604380867087584)**(-0.032626057425145044))),-2604.655804239846,6
0,22,(((-0.26111652273351255) - (-0.4504637347308662)) + (x0)) + ((0.5323525246913369) / (1/(x0))),635.9842799217395,10
0,23,(((0.5762086049341887) + (x0)) + (abs(0.387774444498212)**(x0))) * ((x0) + (0.10572558669376737)),-1174.2649548558913,11
0,24,1/(1/(x0)),-2584.1110134175024,3
0,25,abs(1/((x0) * (x0)))**((-0.2063686799857852) / (0.8256574284618724)),-753.2285755533435,8
0,26,(((x0) + (x0)) - (-0.21620844961646768)) / (1/(-0.8354987979876232)),608.2578677854096,8
0,27,(((x0) - (x0)) / (-0.23766996525387696)) - ((-0.8133569841356725) - (1/(x0))),-5029.417340820954,10
0,28,(((x0) * (x0)) / (-1.0173317223189073)) * ((1/(x0)) + (x0)),-3733.3235716459076,10
0,29,((abs(x0)**(-0.3266320765871445)) * (x0)) + (((-0.09121700363524263) / (-1.3114286955717835)) + (x0)),727.3849107771953,11
0,30,1/((-0.3638489896729393) / (x0)),-890.5104222086732,4
0,31,1/((x0) / (x0)),-2629.7466588613547,4
0,32,((x0) - (abs(x0)**(x0))) + (1/((x0) + (0.8266947088369441))),-2441.4611439044374,10
0,33,(1/((x0) / (-0.8246414432334083))) + (1/((x0) * (2.0023682138065633))),-5002.77760224821,9
0,34,abs(1/(x0))**((1/(x0)) - (abs(x0)**(x0))),-11577.06095279239,9
0,35,1/((abs(x0)**(0.3383847344823041)) * ((x0) - (x0))),-0.0,8
0,36,abs((x0) - (x0))**(((x0) / (0.1822538112770049)) - (-0.1699798964728303)),-0.0,9
0,37,(((x0) - (x0)) / (x0)) - ((x0) - ((-0.20964513359956674) / (0.7776412737449879))),233.38757947115147,11
0,38,((x0) * (x0)) + (abs(0.3051629266310741)**(0.835335283590766)),-1400.1157353238418,7
0,39,((x0) * (-2.019690670524485)) * (((2.1693650399172313) * (-2.0027323653755698)) * (x0)),-4328.254148800797,9
0,40,((x0) / (0.8802898634663334)) - (1/((x0) - (x0))),-0.0,8
0,41,(abs(-6.129758702433374e-05)**(x0)) + (((0.6960886552532177) + (-0.6773160660880342)) - (1/(-1.0464345251435376))),-3111.5899432436972,10
0,42,1/(((1.0634482407330341) * (-0.5487399283180503)) / ((0.5267737895288471) / (1.058814529085284))),-2620.1794340394335,8
0,43,1/(abs(0.958844566719383)**((0.7330781618222958) / (0.5250416117754236))),-2717.4662178144135,6
0,44,((abs(x0)**(-0.32574827251292054)) * (x0)) * (((-0.10861163763140355) * (0.13831931773013656)) - (1.85377181653011)),884.7181955514459,11
0,45,(1/(-3.7669915181739615)) * (((x0) - (-8.654778459922827)) * (x0)),-1425.3203948163482,8
