evals;expr;nll;coeff;best_nll
1;1.0 / (p1 + abs(p2 ^ (1.0 / x)) ^ p3);1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];1.7976931348623157e308
2;abs(x) ^ (p1 * (x + 1.0 / (p2 + x)));1.7976931348623157e308;[0.0, 0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;abs(abs(x) ^ x) ^ -(abs(abs(x) ^ x) ^ p1);468.3185465618053;[-2.2484135376351504, 0.8822843355948409];468.3185465618053
6;p1 / (p2 - p3 ^ -(abs(x) ^ x));-10.375611451081522;[-0.1685251505522822, -0.0913979092709824, 386.9194212483731, -0.2351338192603128];-10.375611451081522
12;p1 + p2 / (x + 1.0 / (p3 - x));-84.77203846232428;[1.9373203566732342, -0.16156771008267656, 10.12766665104254, -0.19145251673812902];-84.77203846232428
14;p1 / (p2 + x / p3 ^ x);-193.3645143838048;[-1.0868421878076082, -0.9814912524697007, -2.2778420023388675, -0.14183446181079573];-193.3645143838048
58;p1 * x - x / (p2 - p3 ^ x);-250.25308975764727;[0.017355184790635525, 0.8983490906445595, 1.4146174381734151, 0.12120821410532952];-250.25308975764727
425;p1 ^ (x - abs(1.0 / (p2 - x)) ^ p3);-316.78339010404176;[-3.339900576084663, 0.5413142375169189, -1.0630964189579457, 0.10085910057016041];-316.78339010404176
1433;x * p1 ^ (x - p2 ^ -x);-375.4584911793214;[-0.16003911632106135, 0.7188843373962281, -0.08576736474280139];-375.4584911793214
3402;p1 + -1.0 / (p2 / (p3 - x) - x);-422.3668214626465;[1.3628838349711832, 0.36645555079360326, 0.33053386474095353, -0.07534349152641123];-422.3668214626465
9798;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];-547.044965684411
40685;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];-556.9439756670192
71417;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];-556.9439756680217
