evals;expr;nll;coeff;best_nll
1;1.0 / (p1 + (abs(1.0 / x) ^ -x - x));530.2638695937134;[0.40696584432200095, 1.0469474840347122];530.2638695937134
2;1.0 / (p1 + x * (p2 + x));401.2738674814576;[2.4361247566473954, -2.843469107266164, -0.7331190388630441];401.2738674814576
17;p1 + 1.0 / (p2 + x * x);13.025852015438808;[1.7479820916660622, 17.045647121280805, -0.25083610278623614];13.025852015438808
40;p1 ^ (abs(abs(x) ^ (-2.0 * x)) ^ p2);11.497871589680308;[-1.8203615765704069, 0.01059554362862387, -0.24977957041650098];11.497871589680308
52;abs(abs(p1 ^ (p2 ^ -x)) ^ x) ^ x;-90.43832505762035;[-27.51200989331713, -4.717708367597455, 0.18847909631930151];-90.43832505762035
80;p1 / (p2 + (x + 1.0 / x) ^ -1.0);-251.98014594401883;[-1.0999616507084267, -1.0249217116291478, 0.12063132288448035];-251.98014594401883
205;p1 ^ (x + p2 / (x + 1.0 / x));-299.0165895177246;[-1.032174449351255, 42.061698435801816, 0.10593270843684637];-299.0165895177246
1465;p1 - abs(p2 + -1.0 / (p3 + x)) ^ p4;-497.93393070182753;[2.2620522470343785, 0.7727828926039556, 0.3008798424323267, 0.6768993471343056, -0.061148703359623045];-497.93393070182753
14974;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];-547.044965684411
14993;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];-556.9439756680217
