evals;expr;nll;coeff;best_nll
1;abs(x) ^ (1.0 / (1.0 / x - abs(1.0 / x) ^ x));1.7976931348623157e308;[0.0];1.7976931348623157e308
2;p1 + abs(x) ^ (p2 ^ (-2.0 * x));1.7976931348623157e308;[0.0, 0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;p1 ^ (x * p2 ^ (1.0 / (p3 + x)));-114.47546962454463;[-1.051320443344611, 520.5557084660386, 1.4847300027951253, -0.176370385848183];-114.47546962454463
79;p1 - abs(abs(1.0 / (p2 - x)) ^ x) ^ p3;-189.71340637672242;[1.8589512868554297, -0.8381730105929356, 12.207086763516031, 0.1432722343831047];-189.71340637672242
98;p1 - abs(x + -1.0 / (p2 + x)) ^ p3;-317.57617203151875;[2.8520326089672667, -0.04711530675372693, 0.23720094049600993, 0.100638447228885];-317.57617203151875
122;x * p1 ^ (p2 - p3 ^ x);-332.3100157094582;[0.03382025017288376, 0.4187926237316721, -0.6241654734547536, -0.09662458971224801];-332.3100157094582
1764;p1 ^ (1.0 / (p2 / (p3 - x) - x));-372.9969818691529;[0.24740418508622014, 0.7250591252750389, 0.18546739897892817, 0.08635254952750387];-372.9969818691529
2021;p1 * (x * (p2 - p3 ^ -x));-390.0741632486853;[-5.7999242110695155, -0.07741573987437239, 3.6308936985213958, 0.08237350320278215];-390.0741632486853
2324;p1 + x * (p2 + abs(x) ^ -x);-398.321154003488;[0.77180642920099, 0.26259043821798644, -0.08051810379137228];-398.321154003488
3230;p1 - abs(p2 + -1.0 / (p3 + x)) ^ p4;-497.93393070182753;[2.2620522470343785, 0.7727828926039556, 0.3008798424323267, 0.6768993471343056, -0.061148703359623045];-497.93393070182753
26838;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];-547.044965684411
33856;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];-556.9439756680217
