evals;expr;nll;coeff;best_nll
1;abs(abs(x) ^ (1.0 / (p1 + (x + x)))) ^ x;1.7976931348623157e308;[0.0, 0.0];1.7976931348623157e308
2;p1 + abs(x) ^ (abs(x + -1.0 / x) ^ x);1.7976931348623157e308;[0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4;p1 / (-1.0 / x + abs(p2 + x) ^ p3);-29.111216808519025;[0.11607071062521793, -0.06589706948450538, -0.8662850076720918, 0.22327384113099324];-29.111216808519025
47;abs(1.0 / (p1 + p2 / p3 ^ x)) ^ p4;-183.0219930277946;[0.3485974255737041, 2.446946108830478, 1110.094618170276, 0.590206729595822, 0.1459475978092456];-183.0219930277946
159;abs(p1 ^ (x * p2 ^ x)) ^ p3;-205.1938787929413;[-2.5468928984604133, 0.44452991722846896, 1.6514545236644271, 0.13727453308435966];-205.1938787929413
236;abs(p1 ^ (abs(1.0 / (p2 - x)) ^ p3)) ^ x;-220.52631445777695;[-627.9920899941719, -1.552826355270834, 2.4129439681253815, -0.13158164651487964];-220.52631445777695
312;p1 ^ (1.0 / (x + abs(x) ^ (-1.0 / x)));-263.783762893331;[-4.673951478622127, -0.11676137286852356];-263.783762893331
996;abs(p1 ^ (p2 - p3 ^ -x)) ^ x;-267.272823279072;[0.16503296090101682, -0.06052319754734391, -3.0999550826825137, 0.11564139802827081];-267.272823279072
1154;abs(1.0 / (p1 + p2 / abs(x) ^ x)) ^ x;-405.41201001996103;[0.8442717846876786, -0.36086485279586694, 0.07895626144348984];-405.41201001996103
1834;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];-547.044965684411
12484;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];-556.9439756670192
61147;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];-556.9439756680217
