evals;expr;nll;coeff;best_nll
1;1.0 / (x + 2.0 * x ^ 3.0);1.7976931348623157e308;[0.0];1.7976931348623157e308
2;0.5 + x * (p1 + x);699.5193864391734;[-1.5804352673327602, 1.6710220546133365];699.5193864391734
9;x + x * abs(abs(x) ^ -x) ^ p1;269.7480882449295;[2.637067917082312, 0.5097789483394772];269.7480882449295
13;abs(1.0 / (p1 - x / (p2 + x))) ^ x;-99.51506121078857;[-0.16491539310036726, 1.5280261023372734, 0.18381195599301475];-99.51506121078857
82;abs(p1 + -1.0 / (p2 + p3 * x)) ^ x;-178.5279999057744;[0.7403304092304319, -0.07978527688295074, -0.7619972429270989, -0.14776828999953792];-178.5279999057744
248;p1 - abs(abs(1.0 / (p2 + x)) ^ p3) ^ x;-189.71340637672262;[1.8589512830183366, 0.8381730021533469, 12.207087306326969, -0.14327223252983462];-189.71340637672262
251;p1 ^ (x / (p2 + 1.0 / (p3 - x)));-191.41690338516318;[-1.0441481660304195, -0.17361225899437044, 5.188731499906722, 0.1425995920893449];-191.41690338516318
295;abs(p1 ^ (p2 / p3 ^ x)) ^ x;-205.19387879294123;[-2.3753259530137294, 1.7845801198725615, -2.249567377423858, 0.13727453351785565];-205.19387879294123
513;x / (p1 + 1.0 / (p2 + p3 * x));-234.4814327417984;[-2.6435143784009596, 0.36482670009708346, -0.04804053032933032, -0.12660575346686007];-234.4814327417984
563;x / (p1 + -1.0 / (p2 + p3 ^ x));-234.65669776215236;[-3.060841573874843, -1.3166061633125519, -1.036804691909992, 0.1265444699129485];-234.65669776215236
576;p1 ^ (x * p2 ^ (abs(1.0 / x) ^ x));-265.1941888783491;[-1.2222361264195112, -3.5423119578618456, 0.1163073303133858];-265.1941888783491
797;p1 + 1.0 / (x + p2 ^ (p3 - x));-298.40053933330523;[1.256700963129783, 806.7099481567794, 0.6560204564102451, -0.10611313713298962];-298.40053933330523
1033;1.0 / (p1 + -1.0 / (x + -1.0 / (p2 - x)));-304.58353343107666;[0.9530846925147315, 0.1010306265530741, -0.10431610507371503];-304.58353343107666
1292;abs(1.0 / (p1 - p2 ^ x)) ^ (p3 ^ x);-372.56368135476964;[-0.3900117251905918, 0.024945909121774162, 0.7981035348328106, 0.08645597386550742];-372.56368135476964
1880;p1 + -1.0 / (x + abs(p2 + x) ^ p3);-387.5290723986467;[2.03548369841645, -1.1906697003564226, -2.218114000280818, 0.08295467913800955];-387.5290723986467
6070;p1 + x * (p2 + abs(x) ^ -x);-398.321154003488;[0.77180642920099, 0.26259043821798644, -0.08051810379137228];-398.321154003488
6295;abs(p1 / (p2 - abs(x) ^ -x)) ^ x;-405.41201001996126;[-2.7711205161897516, 2.339578865751049, -0.07895626187735906];-405.41201001996126
6309;p1 - abs(p2 + 1.0 / (p3 + x)) ^ p4;-497.93393070182196;[2.262052263951353, -0.772782903719715, 0.30087982514618816, 0.6768993161986618, -0.061148708322969286];-497.93393070182196
18529;p1 - abs(p2 + -1.0 / (p3 + x)) ^ p4;-497.93393070182753;[2.2620522470343785, 0.7727828926039556, 0.3008798424323267, 0.6768993471343056, -0.061148703359623045];-497.93393070182753
48391;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];-556.9439756670192
79628;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];-556.9439756680217
