evals;expr;nll;coeff;best_nll
1;p1 - abs(p2 + x) ^ (abs(x) ^ -x);-65.16728386323237;[2.5226028248567784, -1.4297516191689676, -0.2021068679295421];-65.16728386323237
25;p1 + p2 * abs(p3 ^ x) ^ p4;-152.94290004687315;[1.8588265117212697, -1.6144350400115002, -0.10182237577967285, 1.9489346382171118, 0.15859004280678551];-152.94290004687315
50;p1 + x / (p2 + p3 ^ x);-259.8109324142882;[0.2703041262578173, -0.86331601833796, -1.4593485635441505, 0.11804984475356807];-259.8109324142882
782;p1 ^ (x * p2 ^ (abs(1.0 / x) ^ x));-265.1941888783491;[-1.2222361264195112, -3.5423119578618456, 0.1163073303133858];-265.1941888783491
848;abs(p1 / p2 ^ (p3 ^ x)) ^ x;-267.2728232790559;[-1.1152060311385494, -0.16503298907524575, -0.32258536635230295, 0.11564139656689297];-267.2728232790559
1091;p1 + 1.0 / (x + p2 ^ (p3 - x));-298.40053933330523;[1.256700963129783, 806.7099481567794, 0.6560204564102451, -0.10611313713298962];-298.40053933330523
1354;p1 ^ (x * (p2 - abs(x) ^ -x));-346.80348200281696;[-0.5656669044281533, -0.26039822894936066, -0.09283243187232337];-346.80348200281696
1888;p1 * (x * (p2 + p3 ^ x));-390.0741632486615;[5.799923995897459, 0.07741573645979201, 0.275414305105222, 0.08237348256746947];-390.0741632486615
2292;p1 + 1.0 / (x + p2 / (p3 - x));-422.3668214626465;[1.3628838380461736, -0.3664555501118346, 0.33053386388523304, -0.07534349086874746];-422.3668214626465
4253;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];-547.044965684411
10310;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];-556.9439756670192
74486;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];-556.9439756680217
