evals;expr;nll;coeff;best_nll
1;x * abs(x / (1.0 / x - x)) ^ p1;1.7976931348623157e308;[0.0, 0.0];1.7976931348623157e308
2;abs((abs(x) ^ p1 - x) / x) ^ x;1.7976931348623157e308;[0.0, 0.0];179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6;x * (x + abs(x + x) ^ x);2640.972732554297;[356.58271726990296];2640.972732554297
8;x / (p1 + -1.0 / (x * x - x));729.4574971623101;[4543.132037786522, 1.8150855851315575];729.4574971623101
11;(-0.0 + x) / abs(x) ^ x;585.345220559245;[-1.219007740407904];585.345220559245
13;x / p1 ^ (abs(1.0 / (p2 + x)) ^ p3);283.0120969649537;[0.9150864573115987, -2.8715115750229523, -3.082137911426556, -0.5288038060485805];283.0120969649537
26;p1 * (1.0 / (p2 + x) + p3 ^ x);12.192985413126438;[1.859802112821868, -18.997760173148983, -1.014930848594932, 0.25026030808018523];12.192985413126438
36;p1 ^ (abs(x + x) ^ (abs(x) ^ -x));-228.81293746323547;[1.4730029559188658, -0.12860385617742304];-228.81293746323547
324;p1 - abs(p2 + 1.0 / (p3 - x)) ^ p4;-497.9339307018041;[2.2620522480871177, 0.7727828912048132, -0.30087985624089336, 0.676899309489513, -0.06114870389311681];-497.9339307018041
15130;p1 - abs(p2 + 1.0 / (p3 + x)) ^ p4;-497.93393070182196;[2.262052263951353, -0.772782903719715, 0.30087982514618816, 0.6768993161986618, -0.061148708322969286];-497.93393070182196
23447;p1 - abs(p2 + -1.0 / (p3 + x)) ^ p4;-497.93393070182753;[2.2620522470343785, 0.7727828926039556, 0.3008798424323267, 0.6768993471343056, -0.061148703359623045];-497.93393070182753
40472;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];-547.044965684411
64164;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];-556.9439756670192
72224;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];-556.9439756680217
