evals;expr;nll;coeff;best_nll
1;1.0 / (x + p1 * abs(p2 * x) ^ x) - x;-784.8517915089836;[-5.659049221621159, 0.3888854954595414, 0.09954890934944442, -0.49759446185955225, 0.742012152550445];-784.8517915089836
11;p1 * (x + abs(x / (p2 - x)) ^ p3);-1000.6619264499103;[-0.9987023041243556, -1.0158327544350532, 0.5124997296105437, 0.08062351462867552, -0.5025825834604363, -0.7396521577083993];-1000.6619264499103
63;p1 * abs(x) ^ p2 + p3 / (p4 + x ^ -1.0);-1001.1202900813543;[1.0675532162769623, 0.5185796182596738, 0.6456118177360559, -0.006616432530772571, -0.08064330929592292, -0.5024911073873857, 0.7400107619290698];-1001.1202900813543
68;abs(x * (p1 + abs(1.0 / x) ^ p2)) ^ p3 / x;-1001.3145381016516;[0.2383469372760688, 0.4005692487041375, 2.5193385893948848, 0.08065192285278099, -0.5024760593434346, -0.7399516386447913];-1001.3145381016516
831;p1 - p2 ^ (abs(abs(x) ^ p3) ^ (abs(1.0 / x) ^ p4));-1002.3251762054291;[0.9537675224540136, -2.668569277172719, 0.45540984144825075, 0.0608122483220866, 0.0807089051107018, -0.5025424602498221, -0.7399673072216465];-1002.3251762054291
1389;abs(x / p1 ^ (abs(1.0 / (p2 - x)) ^ p3)) ^ p4;-1008.9487656626258;[-0.33826595525274566, 0.03133255381791816, -0.343201492794439, 0.501489199676716, -0.08006275294369603, -0.5025022074631658, -0.7398529700335786];-1008.9487656626258
13444;p1 + (x - abs(p2 + -1.0 / (p3 - x)) ^ x);-1010.8428845100457;[1.0252485659325519, -0.7752665110398083, -1.2719594470701499, -0.07914714262095839, -0.5026445396287529, -0.7394414127947107];-1010.8428845100457
138595;p1 + (abs(p2 + 1.0 / (p3 - x)) ^ x - x);-1010.8428845212311;[-1.0252477394066963, 0.7752600870955322, -1.2719701383668482, -0.07914728444549352, -0.5026456107308842, -0.7394437592254887];-1010.8428845212311
242406;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];-1011.7646849614036
478034;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
