evals;expr;nll;coeff;best_nll
1;p1 * abs(abs(p2 * x ^ -2.0) ^ x) ^ p3;1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0];1.7976931348623157e308
2;p1 + -1.0 / (x * (x * (p2 - x)) - x);2451.379494509008;[-0.9491078376831965, -2694.637809547809, -0.46766662542465587, -0.5035484916845298, 0.7414550021840359];2451.379494509008
6;p1 * abs(x) ^ x - abs(abs(x) ^ x) ^ p2;1711.5677514788845;[1.0395450091426859, -1.1355413891122061, 0.1249080615196327, -0.538396594482847, -0.691734383034644];1711.5677514788845
13;p1 + abs(1.0 / (x * (p2 + p3 * x))) ^ p4;-1002.6415143129888;[0.03256888530248145, -2.0652822012652656, -0.1427882019179787, -0.6605926959601455, 0.08071885309085634, -0.5025737411741058, 0.7399513713174288];-1002.6415143129888
43;p1 + (x - abs(p2 + abs(1.0 / x) ^ p3) ^ p4);-1002.7449374026619;[3.0972479075256105, 2.073586045406984, -0.7358709585140532, 1.5679007009616428, 0.08073870683662858, -0.5025822947010399, -0.7399567284966019];-1002.7449374026619
1345;1.0 / (p1 - abs(x) ^ (p2 - abs(p3 + x) ^ p4));-1003.5837540751915;[0.4204855040427166, 0.5829785639115841, 0.26803948974386516, -0.05946734049429174, -0.08061320283299879, -0.502605040848373, 0.7398695573956773];-1003.5837540751915
9347;x * p1 ^ (p2 ^ (abs(p3 + x) ^ p4));-1008.2332589957397;[15.981343344793455, -0.19066894295695533, -0.011361224014400312, 0.3497076632044852, 0.08014179227393912, -0.5026403014386852, 0.7400667632321672];-1008.2332589957397
23107;p1 * x - x / (p2 + abs(p3 + x) ^ p4);-1008.3842082654035;[-0.7933804163711397, 0.08702643363330614, -0.011283321811093927, 0.5958095360566126, -0.08009412904728656, -0.5025925573808715, -0.7402707540749247];-1008.3842082654035
25969;p1 + (abs(p2 + 1.0 / (p3 - x)) ^ x - x);-1010.8428845212311;[-1.0252477394066963, 0.7752600870955322, -1.2719701383668482, -0.07914728444549352, -0.5026456107308842, -0.7394437592254887];-1010.8428845212311
281904;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];-1013.2384637845921
696970;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
