evals;expr;nll;coeff;best_nll
1;p1 + abs(abs(x ^ -2.0) ^ p2) ^ p3;-248.58680796059835;[0.25056871138824527, 1.271373273174225, -0.3791124914240886, 0.1412112791498578, -0.49072768688599033, 0.747752231864976];-248.58680796059835
14;x + p1 ^ (x * abs(1.0 / x) ^ (p2 ^ x));-412.80845642915256;[-0.1259447462228581, 0.08087382808808315, 0.12659424742128134, -0.49092767118997244, -0.7498768924527445];-412.80845642915256
41;x / (p1 + (1.0 / (p2 - x) + abs(x) ^ p3));-989.4621624928851;[-0.11169882126547967, -2.172567062916236, 0.09167428174364627, 0.08161389953878176, -0.5025225809434691, -0.7417640193944774];-989.4621624928851
45;p1 * abs(x) ^ (p2 ^ (p3 + abs(1.0 / x) ^ p4));-1001.6914247581717;[-1.7137671691606102, 1.3143292364309258, -2.304369875312149, -0.15669156857072586, 0.08061612740290341, -0.5025066826276653, -0.739978323180857];-1001.6914247581717
126;p1 * (abs(x) ^ p2 / (p3 + x)) - x;-1002.2319925113804;[-3.0370970205867978, 0.49575449291388063, 3.2634401123294747, -0.08059075625191617, -0.502605307926588, 0.7398513251383873];-1002.2319925113804
187;x + p1 / p2 ^ (p3 ^ (abs(1.0 / x) ^ p4));-1002.2363146914183;[0.8706312903235455, -25.882966682243044, -0.06402501960560333, -0.4076038224645106, -0.08079540872173777, -0.5027520385958165, 0.7396366313696308];-1002.2363146914183
1192;abs(p1 ^ (abs(p2 + x) ^ p3) / x) ^ p4;-1008.7432024540316;[-0.3384831441307094, -0.03145740268889988, 0.34459948656862, -0.5011658987300118, -0.0800591593628918, -0.5024468074554761, 0.7397994842115981];-1008.7432024540316
36627;abs(x * p1 ^ (abs(1.0 / (p2 + x)) ^ p3)) ^ p4;-1008.9487655406347;[-2.9562427182851305, -0.03133256165870058, -0.34319839680996617, 0.5014909889158504, 0.08006189693490223, -0.5024990574609371, 0.7398515092177762];-1008.9487655406347
50144;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];-1011.7646849614036
432627;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];-1013.2384637845921
893918;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
