evals;expr;nll;coeff;best_nll
1;abs(x * (abs(x) ^ 0.0 - x)) ^ p1;836.6712077012481;[0.42153047420702106, 0.21141913179940283, -0.49508179727175095, -0.7518959325118939];836.6712077012481
5;1.0 / (p1 / x - p2 ^ -(p3 ^ -x));-398.267729486351;[-0.20985264596543576, -2.870089218020169, 0.9207584347664993, 0.12076179262943967, -0.5056315688957977, -0.7356758230587217];-398.267729486351
39;p1 ^ (p2 - abs(p3 + (x + x)) ^ p4);-974.0640460962375;[-0.009877132540672177, 0.9858191800109902, -0.02770608821385015, 0.13648022529495363, 0.0801670621965286, -0.5023624848155942, -0.7399768957459679];-974.0640460962375
43;x / (p1 + (1.0 / (p2 + x) - p3 ^ x));-983.6364659310751;[-1.081196197686332, 0.5047374877362177, 0.14841608529962336, 0.08150036549453152, -0.5021241132671326, -0.7407108816042326];-983.6364659310751
53;x + abs(abs((p1 - x) / x) ^ p2) ^ p3;-1000.6582771141094;[-1.0248753418783614, 0.6915782060744186, -0.7398194119233495, -0.08062011646699284, -0.5026173364281167, -0.7395996806815265];-1000.6582771141094
215;abs(p1 + 1.0 / (p2 / x + abs(x) ^ p3)) ^ p4;-1001.7230425452531;[-0.2250032372488842, 0.00016754731712355876, 0.25319930218217734, -2.1292753451592628, 0.08074441232709202, -0.5025642797719108, -0.7400232132893537];-1001.7230425452531
678;abs(p1 + -1.0 / (p2 + abs(x) ^ p3)) ^ p4 - x;-1002.228387778124;[-0.2017262510246599, -0.10638607360913023, -0.237227348920552, 3.5934518287788633, -0.0806463490557189, -0.5025295211214402, 0.7399751090320099];-1002.228387778124
1650;x + abs(1.0 / (p1 - p2 ^ (p3 + x))) ^ p4;-1002.4404357264139;[0.7004116422556205, -0.245531203166777, 0.2569616066272701, -0.5295676320244525, -0.08071995903877806, -0.5027203731569209, 0.739691228282837];-1002.4404357264139
3321;p1 + (x - abs(p2 + 1.0 / (p3 + x)) ^ x);-1010.725636418667;[1.0261882534490983, -0.7753443638093179, 1.2728211211908962, 0.07912180784214233, -0.5024686847563573, 0.7391069358313677];-1010.725636418667
453161;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];-1011.7646849614036
465157;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];-1013.2384637845921
1070566;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
