evals;expr;nll;coeff;best_nll
1;abs(x + abs(x) ^ (p1 + (x + x))) ^ (1.0 / x);1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];1.7976931348623157e308
2;abs(x) ^ (abs(x / (p1 + 1.0 / x)) ^ p2);227.73768833327335;[23.879686547069788, 0.12415846150257029, -0.17992691061321203, -0.48820601851113404, -0.7507440546267139];227.73768833327335
15;x * p1 ^ (abs(x) ^ -(p2 ^ (x + x)));32.04979536716506;[-1.0463053381129874, 4.378108185940505, -0.15207612438110513, -0.4917354791459517, 0.739829321862748];32.04979536716506
23;p1 + (x + p2 * abs(1.0 / x) ^ (x * x));-266.0139176694794;[-0.02129369857907418, 0.27117435030929987, -0.13993173719367788, -0.4909398381764563, -0.7475359079547984];-266.0139176694794
29;p1 / (x + (-1.0 / x - abs(p2 / x) ^ p3));-794.3318662861193;[-152.71186821859985, 1258.010652700221, 0.6281507999731324, -0.08502818575955418, -0.5052269063608695, -0.7349023586745159];-794.3318662861193
50;abs(p1 * x) ^ (abs(p2 + abs(1.0 / x) ^ x) ^ p3);-974.9273240808615;[-2.2009272120116616, 1.9412563702763568, -0.4286317829280975, 0.08195001297909935, -0.5025160225954136, -0.7406945818261516];-974.9273240808615
126;1.0 / (p1 + abs(p2 + p3 * x) ^ p4);-997.8334589847908;[-0.03412885085094582, -0.01637250148660948, -2.1194537319459483, -0.656740574141031, -0.0810948438057936, -0.5026001091617285, 0.7402252023753642];-997.8334589847908
139;abs(abs(abs(p1 / x) ^ -x) ^ (abs(x) ^ p2)) ^ p3;-998.9305763999588;[0.45333674572613075, -0.9606504849624127, 0.6923949258750687, 0.08093609366266967, -0.5024787092511137, -0.7399144284598796];-998.9305763999588
355;1.0 / (p1 - abs(x * p2 ^ (p3 - x)) ^ p4);-1000.9680732056371;[0.10789011350141182, 1.022416573935517, 28.977124328944665, -0.5876254163701478, -0.080616538714947, -0.5026638970106206, -0.7399869848869935];-1000.9680732056371
450;1.0 / (p1 - abs(x) ^ (1.0 / (p2 - x))) - x;-1001.945869935032;[-0.41673474198294164, -1.9704392012151484, 0.08059420497197242, -0.5026666997699366, -0.7398534592966679];-1001.945869935032
657;x + p1 * abs(1.0 / (p2 + abs(x) ^ p3)) ^ p4;-1002.3825459716261;[0.8504883401528841, 1.105758191040458, -2.039400875113636, 0.2313149450284504, -0.08065223097093088, -0.5026976828425349, 0.7396970872506606];-1002.3825459716261
859;p1 + p2 * p3 ^ (1.0 / (p4 + abs(x) ^ p5));-1002.4609817609572;[3.920271127924146, -3.9441257269577483, 1.4568242574837023, 0.05287646352080437, -0.624825338415793, 0.08067703424907577, -0.5025411977336771, 0.7399568977055544];-1002.4609817609572
942;p1 * abs(p2 ^ -x / x) ^ p3 - x;-1002.4878294959544;[-0.8944159751972603, -0.6480425069174548, -0.48443243325747765, 0.08065543260031295, -0.5023860867202488, 0.7403440098137699];-1002.4878294959544
2122;abs(p1 + (p2 ^ -x - abs(x) ^ p3)) ^ p4;-1002.5370352342384;[-1.1474046852720423, 1.0224397337227098, 0.21455990225213878, 3.4426710879905817, 0.08060810853307258, -0.5025408748505622, -0.7399553435099788];-1002.5370352342384
2677;abs(p1 + 1.0 / (p2 + p3 * p4 ^ x)) ^ p5;-1003.8208753264064;[-0.002906558645822152, 18.606773547303103, -18.62077094392954, 1.1239471077282364, -0.6526120550326434, -0.08082302939257817, -0.5026887254910448, -0.7398199330230799];-1003.8208753264064
6150;abs(p1 + 1.0 / (p2 - p3 ^ (p4 ^ x))) ^ p5;-1003.8846385873974;[-0.10176562705463714, 10.616379905858166, -10.60488157777959, -0.917995200960906, -0.6417205638362958, 0.08074565879615055, -0.502643426371475, -0.7398544814681676];-1003.8846385873974
8708;p1 + (x - abs(p2 + -1.0 / (p3 + x)) ^ x);-1006.7049673448552;[1.0314621165103826, 0.7777361650543936, 1.273810880176904, 0.08030334985914808, -0.5028137011210203, 0.7394264916980733];-1006.7049673448552
33695;x * p1 ^ (p2 ^ (abs(1.0 / (p3 + x)) ^ p4));-1008.2332589166806;[15.9819091260251, 0.1906658456434613, -0.011361237969231578, -0.3497027264379276, 0.08014201453350075, -0.5026425149396533, -0.7400685084709959];-1008.2332589166806
43095;abs(x / p1 ^ (abs(1.0 / (p2 - x)) ^ p3)) ^ p4;-1008.9487656626258;[-0.33826595525274566, 0.03133255381791816, -0.343201492794439, 0.501489199676716, -0.08006275294369603, -0.5025022074631658, -0.7398529700335786];-1008.9487656626258
203403;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];-1011.7646849614036
670114;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];-1013.2384637845921
1033171;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
