evals;expr;nll;coeff;best_nll
1;p1 * x + x ^ -2.0;6290.557147890307;[1.0117837804636771, -2.0226945027852126, -0.49902841146711746, -0.7382679077936906];6290.557147890307
2;abs(p1 ^ -(p2 ^ (p3 ^ x))) ^ p4;1756.1120426053672;[-20.5007472112631, -0.028197271639436937, -5.395369548777277, 22.41712065414915, 0.35514216732661863, -0.5027240203374489, 0.7406201397317154];1756.1120426053672
5;p1 + -1.0 / (p2 + p3 ^ (x + x));-764.0175216056059;[17.461687544939814, -0.9422109810681982, -1.0032171429964845, 0.09852354233325779, -0.49208142564272134, 0.7368950834364252];-764.0175216056059
19;x + abs(abs(p1 + x) ^ p2) ^ p3;-844.4251295794825;[0.002394341057098038, 0.7475039940508844, 0.715985393069139, 0.08950178740623094, -0.5131839765342222, 0.7303086916682691];-844.4251295794825
38;p1 * x - p2 ^ (p3 ^ -x);-919.7419518145057;[-0.8813539711265038, -0.14383014483876125, -48.61028704405075, -0.08877568154297051, -0.5032157996539528, -0.7400772248172027];-919.7419518145057
46;1.0 / (p1 - abs(p2 / x) ^ p3);-985.1004049690504;[0.05099309093460048, 0.4712384158174403, 0.6139328403576876, 0.08115311058922396, -0.5026318222125256, -0.7409751811143416];-985.1004049690504
50;p1 - (x + p2 ^ (p3 ^ x));-986.2330664375157;[0.33946868279992426, 0.44481139702366007, -0.00513410417482883, 0.08281593298496229, -0.5019628394093276, 0.7408896922860163];-986.2330664375157
202;abs(p1 + abs(x ^ -2.0) ^ p2) ^ p3;-1000.5286158538761;[-0.23177792259734023, 0.1294520154959596, -2.0476016252955596, 0.08059713162722183, -0.5025956584243648, -0.7401155514194129];-1000.5286158538761
310;x + p1 ^ (p2 ^ (abs(1.0 / x) ^ p3));-1001.5264412088159;[0.01942783122740578, 0.08497193729173662, -0.3310597966345188, -0.0806945129556579, -0.5030235702175677, -0.7391588622492441];-1001.5264412088159
595;abs(p1 + abs(1.0 / (p2 - x)) ^ p3) ^ p4;-1001.8909440819893;[-0.2220321071748251, -0.002529058347431829, 0.2518725161376088, -2.1574936071901054, -0.08072390083387157, -0.5025420890213698, -0.7399947007061016];-1001.8909440819893
9301;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
