evals;expr;nll;coeff;best_nll
1;abs(abs(p1 ^ -x) ^ p2) ^ (1.0 / x);2604.652925412598;[0.9278253762773297, -2.169862107803832, -0.5025468487639799, -0.5027739942543721, -0.7407943427497736];2604.652925412598
2;p1 * x + p2 / (p3 + x);-648.5412925076669;[-1.538419116398565, 12.682174797284496, -67.41777022887335, -0.10641100423063837, -0.5030141741693558, 0.7303486748846489];-648.5412925076669
32;p1 * (1.0 / (p2 - abs(x) ^ x) - x);-674.4049618744496;[1.5372047901405945, -7.252670015780697, 0.10491839510413448, -0.5027397284372465, -0.7310069476541081];-674.4049618744496
81;p1 + (1.0 / (p2 + x) - p3 ^ x);-725.8179156677816;[-0.9395240541433865, 0.5376316568751864, 1.3171463506227694, 0.09021291835902394, -0.5047252286271308, 0.7352354512784931];-725.8179156677816
108;p1 - p2 ^ (1.0 + p3 * x);-743.4336604844608;[19.587960859160802, -19.41717586907976, -0.0302335544985035, 0.10054983950575828, -0.5029650321493427, 0.7340365636142389];-743.4336604844608
130;p1 * abs(x * (p2 - x)) ^ p3;-998.494591663548;[0.4948314282880037, -6.7327907158250095, 0.6015253682963114, 0.0807035165088314, -0.5025901455955872, -0.7400317217641822];-998.494591663548
291;p1 / p2 ^ (abs(p3 + -1.0 / x) ^ p4);-1000.8753727511922;[9.581908856990473e-5, -5.581007571920379e-5, 0.005134046432947593, -0.07195149630916078, 0.08082356635593052, -0.5025727203739151, 0.739804904556264];-1000.8753727511922
760;abs(p1 + p2 ^ (abs(x) ^ p3)) ^ p4;-1001.7265121840247;[-2.232629436411228, 3.1047224926476455, -0.04404901720559848, -3.942442483098284, 0.08062692143755228, -0.5025072557600843, -0.7399760568244093];-1001.7265121840247
1400;p1 * abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.748840629242;[-0.3051014204207825, 0.4001564933048962, -0.1242931876545921, 3.378930035004588, -0.08062759542177837, -0.5025080727542265, -0.7399783289899232];-1001.748840629242
2041;abs(p1 + -1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.8152595632362;[0.06268286413915572, 0.18084733339357825, -0.27748201973742714, 2.171727705825204, -0.08065852167488347, -0.5025158396002724, 0.7399804480253125];-1001.8152595632362
6130;abs(p1 + abs(1.0 / (p2 + x)) ^ p3) ^ p4;-1001.8909440821421;[-0.2220318563114041, 0.0025290557443685044, 0.25187245412869247, -2.157493286338265, 0.08072380124264752, -0.5025444894180712, 0.7399945118794364];-1001.8909440821421
10992;1.0 / (p1 + p2 ^ (p3 ^ (abs(x) ^ p4)));-1001.9527055830329;[-0.992933975821711, -358.5992450223275, -0.07763149586146882, 0.2223180296608993, 0.08064963402386001, -0.5024959900148084, -0.7398880010189128];-1001.9527055830329
14448;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];-1002.3409364590589
26254;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
