evals;expr;nll;coeff;best_nll
1;p1 ^ (1.0 / (x - p2 ^ (p3 + x)));1755.2872430250695;[400.3234726565758, -2629.4828678572762, 0.13612500096351302, -0.35501052555100454, -0.5027549526570125, -0.7406931022383746];1755.2872430250695
6;abs(x * (x / (x + -1.0 / x))) ^ p1;1467.6291472859252;[0.15613327153077836, -0.3089736332669631, -0.4992109601814044, -0.7428631383050351];1467.6291472859252
20;x / (p1 + -2.0 * x) - x * x;1062.7303958486823;[-0.0761254212443243, -0.21320165199480462, -0.5177992003024375, -0.7067347845055405];1062.7303958486823
26;x / (p1 + p2 ^ (p3 - x));-878.7119367436261;[-0.7552814788864965, 5.824850004668053, -0.27267518286139664, 0.0881464558952673, -0.5029434978027937, -0.7374669216474894];-878.7119367436261
34;x * (x * abs(p1 * x) ^ p2);-906.4884220047763;[0.6372233995101024, -1.3332389250003165, -0.08588861603423299, -0.5034648408150504, -0.7419886860972906];-906.4884220047763
48;x + p1 ^ (1.0 / (p2 + p3 * x));-987.3553650768234;[-2.218079701736918, -0.3593780922869279, -2.6232762364150544, 0.08258900122049156, -0.5042519392335315, 0.7382071960679562];-987.3553650768234
344;p1 * x + -1.0 / (p2 - abs(x) ^ p3);-1000.1396972669585;[0.6147326382645006, 0.0907348826495884, -0.5006601629376533, 0.08076902756830358, -0.5023942307037522, -0.739822601407428];-1000.1396972669585
440;abs(p1 + abs(abs(x) ^ p2) ^ p3) ^ p4;-1000.5286158548093;[-0.23177814763139026, 0.17293266486510653, -1.4971387553900997, -2.0476001201716483, -0.080597177981281, -0.5025955830312102, -0.7401157016208114];-1000.5286158548093
489;abs(1.0 / (p1 - abs(p2 / x) ^ p3)) ^ p4;-1001.7470779623774;[0.5966233991939556, 22.998357520459447, 0.1190409816107534, 3.4674813067631645, 0.08063158234401083, -0.5025059976296826, -0.7399738939923767];-1001.7470779623774
1221;abs(p1 / (p2 - abs(1.0 / x) ^ p3)) ^ p4;-1001.7488406609073;[-0.7037026203734199, 0.4001920067478347, 0.12427628018537765, 3.3791954291193624, 0.08062748381829433, -0.5025083991377485, 0.7399781809803683];-1001.7488406609073
7544;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
