evals;expr;nll;coeff;best_nll
1;x / (x + abs(abs(1.0 / x) ^ x) ^ x);3364.821727799305;[0.6734792496715876, -0.49681423431958205, 0.7393848076486526];3364.821727799305
2;x - p1 ^ (p2 + abs(x) ^ x);-43.771725152423265;[-0.0002625056054219927, -0.7128259139569676, -0.106425911429014, -0.49585695578638284, -0.7516972247579587];-43.771725152423265
8;p1 / (abs(x) ^ p2 - p3 ^ x);-920.4625081483348;[-1.8059078417568537, -0.6815662989626106, 5.558851720097926e-7, -0.08520590705369786, -0.5032550658689389, 0.7421335657472];-920.4625081483348
22;x + p1 ^ (abs(x) ^ (1.0 / (p2 + x)));-938.8499125254029;[0.6091899959388669, -2.726922952587699, -0.08297007739408498, -0.49931936012888023, 0.7431991605344307];-938.8499125254029
32;x * (p1 + p2 ^ (abs(x) ^ p3));-991.1556807008449;[-0.69041072935552, 2.4465496438271925, -0.2251987970611489, 0.08155945363371236, -0.5025758735202943, -0.739978213756336];-991.1556807008449
252;abs(1.0 / (p1 * x - abs(x) ^ p2)) ^ p3;-999.773250018434;[-1.6364934563163944, 1.7358830157051444, -0.5545312275997571, 0.08068147965424395, -0.5025134733767562, -0.7399480419787247];-999.773250018434
481;p1 * abs(x) ^ (1.0 / (p2 - abs(x) ^ p3));-1001.359541005913;[-1.7178179703666818, 2.417022550713031, 0.059509848835837716, -0.08070250048965497, -0.5024816819829577, 0.739927934565506];-1001.359541005913
1154;p1 + abs(p2 + abs(x) ^ p3) ^ p4;-1001.8875235991673;[0.016211206434678403, -0.21541831492095403, -0.2517474062030645, -2.198487850417767, 0.08068322083640855, -0.5025246675253346, 0.739982307003524];-1001.8875235991673
5857;abs(p1 + abs(p2 + x) ^ p3) ^ p4;-1001.8909440939011;[-0.2220316929504526, 0.002529112330820049, -0.2518720610986618, -2.157499307170878, -0.080723936308259, -0.5025442913374536, 0.7399949589925887];-1001.8909440939011
12468;x - p1 ^ (p2 - abs(x) ^ p3);-1002.0572882599361;[1.390072488525905e-5, 0.910750425326041, 0.0722560377706656, -0.0806089027396649, -0.5025293716125293, 0.7399860482600139];-1002.0572882599361
50020;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];-1002.0572884848282
51698;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];-1002.3409364590589
68823;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
