evals;expr;nll;coeff;best_nll
1;abs(1.0 / (x - p1 ^ (x * x))) ^ x;4122.149852557365;[-0.9991525305089637, 0.4702598504811537, -0.5356083544108704, -0.6843303979408799];4122.149852557365
5;x + x / p1 ^ (abs(x) ^ (1.0 / x));1076.6274854638682;[-2.030251435214406, 0.2643577254852818, -0.49258088186363835, -0.7311736338533231];1076.6274854638682
6;abs(p1 / (x + abs(1.0 / x) ^ x)) ^ p2;414.2240192752572;[-1.9869483039837814, -2.1559384242217834, -0.18349899733887828, -0.5056055666865693, 0.7319448288848857];414.2240192752572
13;x / (-1.0 + abs(x) ^ -x);-96.12566382318943;[0.11478105867922997, -0.5008511331592541, -0.7451888584801872];-96.12566382318943
21;abs(p1 * x) ^ (p2 ^ (x + 1.0 / x));-117.95742896685121;[2.241328112122326, -0.9835068648151974, -0.14496306802243378, -0.506012493048518, 0.7247577512188292];-117.95742896685121
22;1.0 / (p1 + (x + p2 / x)) - x;-622.9747639170233;[-2.4297848983779646, -0.1088359454671281, -0.08354828221173985, -0.49660823630012146, 0.7453786306492619];-622.9747639170233
33;x / p1 ^ (abs(p2 + 1.0 / x) ^ p3);-934.0760939043062;[-0.5327418087261176, -0.1638701900447195, 0.31508531149890756, 0.08562269747464, -0.5043822301495214, -0.7341719032969568];-934.0760939043062
41;p1 * p2 ^ (-1.0 / (p3 - abs(x) ^ p4));-969.4283146417338;[-0.02289153781955723, 373.38661440866275, -0.37769538047243784, -0.2382300997084864, -0.0841653088385632, -0.503104479095063, -0.7397440739813382];-969.4283146417338
46;p1 ^ (p2 + x) * abs(x) ^ p3;-985.1111226886771;[1.034998535536154, 14.795009447838895, 0.626122471623856, 0.08129956267420546, -0.5028275666718637, -0.7404119812423551];-985.1111226886771
103;p1 * ((p2 - x) * abs(x) ^ p3);-994.9608643353428;[-0.09739735687316639, -16.463509947375233, 0.6118701947525512, -0.08087087661674601, -0.502687696272876, -0.740102953433342];-994.9608643353428
118;p1 + p2 / (p3 + abs(1.0 / x) ^ p4);-999.2112255443291;[0.04185923105813117, 1.615335547009205, -0.048592991597033494, 0.678002565521469, 0.08094538021642309, -0.5025617576398372, -0.7401352189438692];-999.2112255443291
189;p1 / (p2 + 1.0 / (p3 - x)) - x;-999.8463258966015;[3.326881896868579, -3.829948231160115, -0.028875409855998766, -0.08127998463221121, -0.502650007620769, 0.7398971904875995];-999.8463258966015
243;p1 + p2 ^ (abs(1.0 / (p3 - x)) ^ p4);-999.9204066022047;[-1.406261529537457, 3.0733183552359025, -0.046766816325324465, -0.3409549746109206, -0.08113963330236149, -0.5026711456649099, -0.7399870284370753];-999.9204066022047
707;p1 + (p2 ^ -(abs(x) ^ p3) - x);-1000.7434398557532;[-1.0195460217129098, -3.335066865478061, 0.5866218077663996, -0.08065077886500334, -0.5031063487097981, 0.7389823770372093];-1000.7434398557532
1042;abs(p1 / (p2 - abs(1.0 / x) ^ p3)) ^ p4;-1001.7488406609073;[-0.7037026203734199, 0.4001920067478347, 0.12427628018537765, 3.3791954291193624, 0.08062748381829433, -0.5025083991377485, 0.7399781809803683];-1001.7488406609073
2853;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];-1002.0572884848282
20133;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];-1002.3409364590589
24015;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
