evals;expr;nll;coeff;best_nll
1;p1 ^ (p2 ^ (x / p3 ^ x));1740.7807623758565;[0.1188257818111585, 0.00025886220174642843, 1.1495269083005717, -0.348978442393211, -0.5037226163767543, 0.738038638681421];1740.7807623758565
2;p1 * p2 ^ (1.0 / (x + p3 / x));835.8835865678705;[2.8873965531288195, 0.7717104228082642, 0.002170341644983263, 0.2364205915143987, -0.5052887867177676, 0.7381508916503564];835.8835865678705
4;p1 + (x / (x + -1.0 / x) - x);382.4919591522523;[-0.22748889976208966, 0.12627221519047963, -0.4914667359879194, -0.7509739587743547];382.4919591522523
8;x + -1.0 / (p1 + p2 / (p3 - x));-999.8463258968538;[-1.151213201375019, 0.3005813848236984, -0.028875328854659557, 0.0812799792229057, -0.5026500470224633, 0.7398971692294688];-999.8463258968538
833;abs(1.0 / (p1 - p2 ^ (abs(x) ^ p3))) ^ p4;-1001.7265137541334;[2.2314579206703193, 3.1034776824737387, -0.044106017689029366, 3.939928596185736, -0.08062610298942761, -0.5025042836855924, -0.7399736007184219];-1001.7265137541334
1682;abs(1.0 / (p1 + p2 * abs(x) ^ p3)) ^ p4;-1001.7488405781703;[0.5686262989308318, -1.4209781296900732, -0.12428936468950665, 3.3789895541288373, -0.08062758456205496, -0.5025084502459344, 0.7399783256825079];-1001.7488405781703
3741;abs(p1 / (p2 - abs(x) ^ p3)) ^ p4;-1001.748840631362;[-0.7037074110167589, 0.4001880547501707, -0.1242769568435339, 3.379202578505441, 0.0806276230901447, -0.502508163804586, -0.7399781550174557];-1001.748840631362
6244;abs(p1 + abs(p2 + x) ^ p3) ^ p4;-1001.8909440939011;[-0.2220316929504526, 0.002529112330820049, -0.2518720610986618, -2.157499307170878, -0.080723936308259, -0.5025442913374536, 0.7399949589925887];-1001.8909440939011
7003;p1 ^ (p2 - abs(1.0 / x) ^ p3) - x;-1002.0572884769697;[-1.390183897778798e-5, 0.9107499846414503, -0.07225640863726829, 0.08060908949831899, -0.5025292103945913, -0.7399858574698234];-1002.0572884769697
32501;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
