evals;expr;nll;coeff;best_nll
1;p1 + (1.0 / x - abs(abs(x) ^ p2) ^ p3);2245.0921642596204;[-1.0952752658365117, -1.1224315025479383, 0.8825050218591637, 0.42487798957492695, -0.5040283775306905, -0.7412568887665999];2245.0921642596204
10;abs(1.0 / x) ^ (1.0 / (p1 - abs(1.0 / x) ^ p2));192.78735716751987;[-0.42986440004303134, 0.21511353060970453, 0.17702292496438027, -0.48871317912361134, 0.7492101329197454];192.78735716751987
12;p1 - abs(x) ^ (p2 ^ (p3 ^ (1.0 / x)));-255.52056211159024;[-0.2498135738569877, 0.9391460588420091, -0.9583988580804771, 0.14040060473971722, -0.4903535409960923, -0.7486219309853122];-255.52056211159024
20;1.0 / (p1 * abs(x) ^ p2 + 1.0 / x);-927.5202093092355;[-1.551957152577505, -0.9157536576944656, 0.0867672002359896, -0.5031535090193971, 0.7353953582303613];-927.5202093092355
43;p1 * x - x / (p2 + p3 * x);-946.0590176125522;[-1.171210370637197, 0.13488718152207216, 2.083054684783759, -0.08366891379230494, -0.5025587262831286, 0.7382234695331209];-946.0590176125522
52;p1 + abs(p2 / (p3 + 1.0 / x)) ^ p4;-993.9857776311715;[0.0559777060456444, 2.0766417832364916, -0.013848623651170063, 0.7157523137576413, 0.0813808439722092, -0.5025327987944376, 0.7403478077770949];-993.9857776311715
73;abs(p1 + abs(1.0 / (p2 + x)) ^ p3) ^ p4;-1001.8909440821421;[-0.2220318563114041, 0.0025290557443685044, 0.25187245412869247, -2.157493286338265, 0.08072380124264752, -0.5025444894180712, 0.7399945118794364];-1001.8909440821421
3838;abs(1.0 / (p1 - abs(p2 + x) ^ p3)) ^ p4;-1001.8909440929008;[0.22203139014632872, 0.0025292244969319726, -0.25187198941274425, 2.1575013080643513, 0.08072396095366591, -0.5025441679771543, 0.7399949425293106];-1001.8909440929008
6801;x - p1 ^ (p2 - abs(x) ^ p3);-1002.0572882599361;[1.390072488525905e-5, 0.910750425326041, 0.0722560377706656, -0.0806089027396649, -0.5025293716125293, 0.7399860482600139];-1002.0572882599361
26396;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];-1002.0572884848282
30998;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];-1002.3409364590589
32019;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];-1002.3409364613959
