n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;abs(x) ^ (p1 - abs(p2 * x ^ -2.0) ^ (1.0 / x));1.7976931348623157e308;[0.0, 0.0, 0.0];0;0;0;4.966003134978773e305
2;abs(x) ^ (p1 * abs(x) ^ 0.0 - x);1.7976931348623157e308;[0.0, 0.0];245;0;0.202143208;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;p1 / (-1.0 / (1.0 / x - x) + abs(x) ^ -x);700.2386143483271;[0.3312872568247947, -1.6743453708466267];2443;35;1.289388357;2.803432423611478
8;1.0 / (x + abs(1.0 / (p1 + abs(x) ^ -x)) ^ p2);598.2484008395809;[-0.44152336724512575, -2.1511263412504413, 1.2632419166571287];16136;251;12.292461902;1.595780071000348
14;p1 / (x ^ -2.0 - abs(abs(x) ^ x) ^ p2);588.2094928356835;[0.320012710008957, -1630.3795368261983, 1.2286762982489088];20218;262;16.87447549;1.509682115276753
16;1.0 / (p1 + (x + abs(abs(abs(x) ^ x) ^ p2) ^ p3));400.9027675389139;[-1.3521748632477366, 0.3594519683974888, -5.739026310399224, -0.7323678667311567];32437;431;25.804795970999997;0.5363626950419268
19;1.0 / (p1 + -1.0 / (p2 - x / p3 ^ x));-209.85561843439018;[-0.370649699443817, -0.6949239027950614, -2.2334854524548287, -0.13551808241495136];56204;711;37.735205242;0.018365150579040597
43;abs(1.0 / (x + p1 ^ (x * (p2 - x)))) ^ p3;-319.34520761944384;[-3.1890099113841406, 1.9288422554269067, -0.5244766074403681, -0.10014785425726688];145125;1648;77.41943464699999;0.010029592982113228
290;abs(1.0 / (p1 + p2 ^ (p3 / abs(x) ^ x))) ^ x;-369.5588015719109;[-0.14100880777110825, 0.841623812849004, 2.710883385401635, -0.08717660906892008];970439;9185;495.4352657599998;0.007599761385037566
741;p1 ^ (1.0 / (x + 1.0 / (p2 - p3 ^ -x)));-418.76616871359926;[-8.12997255835601, 0.6626453033312646, 7.2618881145613114, 0.07609663834182756];2214759;20082;1130.8460274330002;0.005790698615189979
1000;abs(p1 + abs(p2 + x) ^ -(p3 ^ x)) ^ p4;-488.40596885232617;[-0.9479363896064584, 0.4248453326874724, -0.10913976134951872, -0.18036713740642327, 0.06277995553841303];3422172;27805;1920.9801980190005;0.003941268658917123
3375;1.0 / (p1 - abs(p2 ^ x) ^ (p3 ^ (p4 ^ x)));-625.7107557944737;[2.512588176345795, -1.1436547366263006, -21.579792162423633, -0.5433499961907414, 0.04296285005019182];10116125;87042;5650.982500404993;0.0018457998066754343
27298;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];155720085;677804;105054.9099452001;0.0015172598382402283
220904;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];2212211967;5379954;1597695.27754805;0.0014559417346996454
405242;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];4032626639;9822472;2934495.7709462633;0.00145594173469909
