n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;1.0 / (x - abs(abs(x) ^ (abs(x + x) ^ x)) ^ p1);1.7976931348623157e308;[0.0, 0.0];237;0;0.204935219;4.966003134978773e305
2;abs(abs(p1 ^ (1.0 / x)) ^ x) ^ p2 - abs(x) ^ x;1.7976931348623157e308;[0.0, 0.0, 0.0];682;0;0.327104991;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5;abs(x) ^ x + abs(1.0 / (x - p1 ^ x)) ^ p2;1373.9733311854093;[2.0729825183028137, 5.225754399938895, -10.767882104513921];3871;57;2.642255594;115.94730089385901
6;x * (p1 ^ (p2 - x) - x);173.3376108933294;[0.8717566114832681, -6.0692125085289925, 0.39058667913711026];21145;140;4.703726162;0.15255795296056812
12;p1 + -1.0 / (x + abs(1.0 / x) ^ (1.0 / x - x));169.99423243011148;[2.0615263939658623, 0.3869958845057913];24752;175;5.460664871;0.14976581474346104
36;x * (p1 / (p2 + (x + -1.0 / (p3 - x))));-319.0790018141974;[1.3001922789037872, -0.9224568858531212, -0.7690167637138989, 0.10022152968981146];93912;785;44.079532924;0.010044354861911653
158;p1 + (x + p2 / (x - p3 ^ -x));-395.09974734013554;[-1.940270957825633, -2.697616423456133, -0.5268672932803, -0.08123783411929443];496660;4259;268.4591555729999;0.006599584235845603
658;p1 / abs(1.0 / (p2 - p3 ^ (p4 ^ x))) ^ x;-562.5179023638419;[0.4819259470175693, -0.39521279629829426, 90.26000380544619, 0.3041419973809257, -0.05115702815516535];2057516;16943;1095.970802228;0.0026170414705664505
12255;p1 * p2 ^ (abs(1.0 / (p3 - p4 ^ x)) ^ p5);-613.168784842506;[2.16960101244266, 0.16649197988341682, 0.2177483204546858, 0.2020527200138283, -1.2667492996792733, -0.04447734589310456];67885906;302293;49162.5665979859;0.0019782356078961354
28319;abs(p1 + abs(p2 + p3 ^ x) ^ p4) ^ p5;-619.6811497754206;[0.6228121199918263, -0.212306087769066, 0.19378791669202647, 1.4554564103447518, -1.6220670489896072, -0.043684456457296725];195395334;703372;141921.6869026544;0.001908324102317749
32045;abs(p1 / (p2 - x) + p3 ^ x) ^ p4;-628.0206403052349;[0.36451708528692905, -0.02938928059779302, 0.3216701111123644, -0.22185012240919613, 0.04268952298102868];206345737;794826;148017.78273470307;0.0018223937610789976
42266;p1 * (x + 1.0 / (p2 - x * p3 ^ x));-638.8278984860274;[0.31939564381642055, 0.5022263563437547, 0.3261767340833659, 0.041433883133394814];334520636;1042815;231926.91981088943;0.0017167659881479865
139624;p1 - abs(p2 + -1.0 / (p3 - p4 ^ x)) ^ p5;-642.5677312213526;[2.1599179109043236, -2.101400095710107, -0.3724608457307987, -0.0954766211313884, 1.4308150149465624, 0.041008068043925906];1062924140;3400423;783455.6212536083;0.0016816580179723531
696295;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;[1.927580431816604, 4.042534136469229, 0.4626950274627606, -0.0389520185097851];7003868261;16872253;5194155.021959414;0.0015172598382402268
795922;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];7773786817;19282962;5784826.947154384;0.0014559417346996454
972752;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];9314295872;23558584;6912702.0778093515;0.00145594173469909
