n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;abs(abs(abs(x * x) ^ p1) ^ (abs(x) ^ (1.0 / x))) ^ x;1.7976931348623157e308;[0.0, 0.0];323;0;0.089429077;4.966003134978773e305
2;p1 ^ x / (x - abs(x) ^ x / x);1.7976931348623157e308;[0.0, 0.0];323;0;0.089429077;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4;abs(1.0 / (x + abs(x))) ^ x - x;949.4062374668204;[-3.3325261405117734];1213;15;0.21580337500000002;11.105730477194797
7;1.0 - p1 ^ -(x * x);452.47159477936657;[1.5371168703333518e8, -0.8444945357615683];9777;167;1.6374798259999999;0.7131710188764263
10;p1 + -1.0 / (p2 + (x + x * p3 ^ x));-169.6292879476032;[1.8553961209092433, 0.7012437080885934, 105.47710106472314, -0.15144576085264594];30883;430;11.245913539;0.022935818111666416
102;x * abs(1.0 / (p1 ^ (p2 ^ x) - x)) ^ p3;-227.51832123099777;[0.026477199405451325, -0.14900793831438244, 0.8271912275447694, -0.12906446301153632];174834;1668;93.58297822300001;0.016657671900782618
276;p1 * abs(abs(1.0 / (p2 - x)) ^ (p3 ^ x)) ^ p4;-462.84195321952257;[1.6073733947590143, -0.5654336235129005, -0.2139907004843732, -2.547563578969252, 0.06737323531338797];565950;5128;293.9225384640001;0.004539152504699318
381;p1 * abs(1.0 / (x + p2 ^ (p3 + x))) ^ p4;-508.5657783134592;[2.1010380989686444, 0.000400383318134808, -0.6234284584288796, 0.22233555657274706, -0.05937888269715285];855136;7835;442.84375188900015;0.00352585339013327
2037;p1 + abs(p2 / p3 ^ (p4 ^ -x)) ^ x;-521.985516531131;[-0.590913950756157, -1.2497327280923405, 0.0627751972006001, -3.6640978513488274, 0.05721796141916704];5055471;44950;2802.7304405839936;0.00327389465880926
4461;p1 * abs(p2 + p3 ^ (p4 ^ x)) ^ x;-562.5179023632735;[0.4819261379029698, 0.39521259536238557, -90.25990540269585, 0.30414198502333634, -0.0511570253834108];18923174;102316;10580.007284632016;0.002617041470574661
7413;1.0 / (p1 + x * (p2 + p3 / p4 ^ x));-570.1460785843622;[1.4020734818052725, -0.22520684929498025, -2.627194847948587, -3.7275457189025856, 0.05009030605370531];101842818;172757;74730.76734956197;0.002509039097150209
10487;1.0 / (p1 + abs(p2 / (p3 - p4 ^ x)) ^ p5);-620.4787457230293;[0.46549213645928544, 0.7589662622747589, 0.20929001464156866, 0.1891772531104728, -1.5765458334885558, -0.04358823735738696];120873328;244814;87516.25885738363;0.001899933368049047
148339;1.0 / (p1 + abs(p2 + p3 / p4 ^ x) ^ p5);-620.4787457231346;[0.46549213407698237, 0.27575661100909576, -1.3175814847541025, 5.286048694883292, 1.5765456452976063, 0.04358823347198032];1556250049;3588987;1165198.1893090962;0.001899933368048102
268021;abs(1.0 / (p1 / (p2 + x) - p3 ^ x)) ^ p4;-628.0206402825863;[0.3645165869452688, 0.029388546245266992, -0.32166986660814023, 0.22185008096755235, -0.04268945960938051];2697727503;6483779;2011899.9336858273;0.0018223937613037853
298302;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];3163892344;7222219;2373951.3889379967;0.00145594173469909
