evals;expr;nll;coeff;mse;best_mse
1;466628;p1 ^ (1.0 / (x + x / (x - abs(x) ^ x)));1.7976931348623157e308;1.7976931348623157e308;1.7976931348623157e308
2;654310;1.0 / (x + abs(x)) - x;1.7976931348623157e308;1.7976931348623157e308;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;136809;1.0 / (p1 - abs(abs(x) ^ x) ^ (x - p2 ^ x));344.2396888427259;0.39219333458654393;0.39219333458654393
4;64137;p1 ^ (p2 - x) * p3 ^ (abs(x) ^ x);4.200458212253532;0.05992448200297169;0.05992448200297169
13;21634;p1 / (p2 + 1.0 / (x - p3 ^ (x * x)));-188.3307962907386;0.020684332875375737;0.020684332875375737
133;11043;p1 * (x / (p2 + p3 ^ x)) - x;-247.5088648376593;0.014915872178003357;0.014915872178003357
197;5680;p1 / ((-1.0 / x - x) + p2 / p3 ^ x);-322.13667037896664;0.009876098794406055;0.009876098794406055
213;716;1.0 / (p1 - abs(p2 + p3 / p4 ^ x) ^ x);-487.8388806420975;0.003953636349590435;0.003953636349590435
371;3;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;0.0015172598382402283;0.0015172598382402283
93399;4;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;0.0015172598382402268;0.0015172598382402268
659839;1;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;0.00145594173469909;0.00145594173469909
