n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 * (-1.0 / x + abs(abs(x) ^ x) ^ x / x);1.7976931348623157e308;[0.0, 0.0];0;0;0;4.966003134978773e305
2;p1 ^ (x * abs(x) ^ (0.5 * x));398.045050951736;[-1.0396288499729296, -0.7266091342152025];3093;16;2.149417041;0.5279608391374646
11;p1 - p2 ^ (p3 ^ (p4 / abs(x) ^ x));-22.907422094071062;[2.8348693092757644, 1.0000274393964879, 0.04791886186900398, -2.199855351766191, -0.24587799361990054];38982;324;29.944066831;0.05086780209968024
16;p1 ^ (x / (p2 - x) - x * p3 ^ x);-264.40581318832307;[0.16948374835132343, -12.947255247936411, -0.31694825667599896, -0.11656090657112521];53710;533;40.83043628;0.013586444761980603
523;p1 * abs(1.0 / (x - abs(p2 + x) ^ p3)) ^ p4;-332.98951526530516;[1.9289127380499436, 0.1682774864415642, -6.241226339610123, 0.08913956644626893, 0.09644361801981903];1641386;14259;906.813897173999;0.009301327258277961
800;p1 - abs(x - p2 ^ (p3 - x)) ^ p4;-407.8846022959757;[2.9584025468277866, -88.05253925938595, 0.8707710399969558, 0.21303710293709924, 0.07841880773385977];35003084;19987;31209.746776016993;0.006149508098969964
900;p1 + p2 ^ (abs(p3 + -1.0 / (p4 - x)) ^ p5);-439.0956402549407;[1.0804510215569787, 0.35842601059162926, -0.9830760884331236, -0.09466861300971582, 1.6128374236776948, 0.07194093391557453];35343501;22915;31414.924577432004;0.005175497246966627
1804;p1 * abs(p2 ^ (p3 ^ (p4 ^ x))) ^ x;-483.78492564595615;[0.3560426830603653, -1.340795564676654, 23.627263407580074, 0.5654785932575268, -0.0635860656350795];38014168;45632;32894.96696950899;0.004043187199337502
6294;p1 / p2 ^ (abs(p3 + p4 ^ -x) ^ x);-574.589593853051;[0.009209286956375554, 0.015359170646327126, 1.0658740815325052, -4.264659658265242, 0.04947922094412082];110829937;147964;87038.46765835861;0.0024481926095108438
9232;1.0 / (p1 + abs(p2 + p3 / p4 ^ x) ^ p5);-620.4787457231346;[0.46549213407698237, 0.27575661100909576, -1.3175814847541025, 5.286048694883292, 1.5765456452976063, 0.04358823347198032];121595650;219844;92668.88749066765;0.001899933368048102
19766;abs(p1 / (p2 - x) + p3 ^ x) ^ p4;-628.0206403052349;[0.36451708528692905, -0.02938928059779302, 0.3216701111123644, -0.22185012240919613, 0.04268952298102868];216539417;470861;158604.00158207456;0.0018223937610789976
27141;p1 - abs(p2 + -1.0 / (p3 - p4 ^ x)) ^ p5;-642.5677312213526;[2.1599179109043236, -2.101400095710107, -0.3724608457307987, -0.0954766211313884, 1.4308150149465624, 0.041008068043925906];303832282;646401;220613.87117188182;0.0016816580179723531
60281;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];712185182;1451733;535710.4538756756;0.0015172598382402283
63567;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;[1.927580431816604, 4.042534136469229, 0.4626950274627606, -0.0389520185097851];724071322;1533355;541849.4598305842;0.0015172598382402268
205630;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];2196267968;4982622;1673201.374631432;0.0014559417346996454
517328;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];5159159661;12576698;3912100.409909399;0.00145594173469909
