n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;abs(x) ^ (x + abs(x) ^ (p1 + x)) / x;1.7976931348623157e308;[0.0, 0.0];0;0;0;4.966003134978773e305
2;1.0 / (x + p1 / (1.0 / x + abs(1.0 / x) ^ x));1.7976931348623157e308;[0.0, 0.0];0;0;0;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;x * abs(p1 ^ x) ^ (x - abs(x) ^ -x);371.2193385847391;[-0.9483093000967051, -0.6747110504426352];3227;27;2.971780392;0.45523499449206767
8;x + (1.0 / (p1 - p2 ^ x) - p3 ^ x);-34.98201099444046;[1.4091888752658224, 0.9780910829473213, 1.519379748948449, 0.2196820445750224];29616;43;19.024944221000002;0.04826020971783493
15;1.0 / (p1 + (p2 ^ (p3 / (p4 + x)) - x));-47.79495251063699;[-12.194023855346773, 33.75230308330821, -28.878511286116048, -39.78540271484027, 0.21204243959603553];72141;400;39.896569005;0.04496199932804044
83;p1 ^ (p2 ^ (p3 ^ (p4 + x * x)));-185.69348041245104;[-1.8591548561175766, -0.8511353113093995, -6.760326399357262e-7, -0.24339002685866928, -0.14487215901799186];171125;1199;90.38792214499998;0.020987926708195367
154;p1 ^ (p2 ^ (abs(1.0 / (p3 - x)) ^ (p4 ^ x)));-260.49682315358484;[280.4147797537597, 0.09183661730967448, -0.49915533720916444, -0.27607868371698424, -0.11782623261895667];400646;2891;215.51734636700004;0.013883057572778423
194;abs(x + -1.0 / (p1 + (x - abs(x) ^ x))) ^ p2;-348.4208598613955;[-0.35569913805233494, 0.5791303800681764, -0.0924185916706844];451293;3648;242.88414466999998;0.008541196116211187
1390;p1 + abs(p2 ^ (p3 - p4 ^ -x)) ^ x;-521.985516531157;[-0.5909138251228738, -0.06277520564961404, -0.08053250590678439, 3.6640977505813814, -0.057217953146058036];4146527;31780;2095.4196172980005;0.0032738946588087812
3836;abs(p1 ^ x) ^ (abs(p2 ^ -x) ^ (p3 ^ x));-525.1043766771652;[1.1688024535207133, 0.0002099650636714076, 0.18619365286107323, 0.056727227390833385];10788794;94134;5791.873694386017;0.0032179645483046693
6972;p1 ^ (p2 + abs(1.0 / (p3 - p4 ^ x)) ^ x);-556.8000061023295;[0.002012488876303561, -0.8878849440742345, -1.0646432054871156, 0.23522231807843927, 0.05197150504873461];22093547;175331;12158.614302403026;0.002701035065412471
12451;p1 + 1.0 / (p2 - x * abs(p3 + x) ^ p4);-562.0253469767108;[2.186759194664518, -0.6032223715809368, -0.9513252754423634, -1.106837482263656, 0.05122668359010549];101470324;304811;86471.62975292394;0.002624172925795395
14876;abs(1.0 / (p1 / (p2 + x) - p3 ^ x)) ^ p4;-628.0206402825863;[0.3645165869452688, 0.029388546245266992, -0.32166986660814023, 0.22185008096755235, -0.04268945960938051];108057400;363923;90081.28234288772;0.0018223937613037853
114920;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];1370521256;2784373;1051167.6200196808;0.00145594173469909
